position,age,mult,lo,hi
FW,17.0,0.8394311535782336,0.747674961365744,0.9181990164032273
FW,17.5,0.8602579672234755,0.7771428566618944,0.9316136794367412
FW,18.0,0.8796387488853192,0.8050144817518109,0.9438287216701734
FW,18.5,0.8975734985637637,0.8307403560914779,0.9548441431035236
FW,19.0,0.9140622162588096,0.8544335323056867,0.9646599437367922
FW,19.5,0.9291049019704568,0.8765888015297498,0.9732761235699793
FW,20.0,0.9427015556987054,0.896962548857259,0.9806926826030846
FW,20.5,0.9548521774435552,0.9155122239692849,0.9868830802738883
FW,21.0,0.9655567672050063,0.9321466604068549,0.991503091949861
FW,21.5,0.9748153249830588,0.9465156988866826,0.9951328406781809
FW,22.0,0.9826278507777122,0.9591409782571745,0.9977551958520418
FW,22.5,0.9889943445889673,0.9701220706378142,0.9994372777714989
FW,23.0,0.9939148064168236,0.979358327779773,1.0
FW,23.5,0.9973892362612811,0.986899788067862,1.0
FW,24.0,0.9994176341223399,0.9926552848641015,1.0
FW,24.5,1.0,0.9944378106666613,1.0
FW,25.0,0.9991363338942615,0.9902764382592476,1.0
FW,25.5,0.9968266358051242,0.9846580328402414,1.0
FW,26.0,0.9930709057325882,0.9774581107210448,0.9989805980790045
FW,26.5,0.9878691436766535,0.969212699993695,0.9963528078532509
FW,27.0,0.98122134963732,0.9597833361585661,0.9921667752723586
FW,27.5,0.973127523614588,0.9493455639386341,0.9868200234066994
FW,28.0,0.963587665608457,0.9378409271457898,0.9796740960990193
FW,28.5,0.9526017756189274,0.9251037546050878,0.9711393592833292
FW,29.0,0.9401698536459993,0.9113456874250516,0.9610221637315534
FW,29.5,0.9262918996896722,0.8962649907687478,0.9496489405924673
FW,30.0,0.9109679137499465,0.877363565084265,0.9363848782184043
FW,30.5,0.8941978958268223,0.8580022184027356,0.9215724773577191
FW,31.0,0.8759818459202989,0.8365981257897439,0.90508400799585
FW,31.5,0.8563197640303772,0.8145386860973497,0.8887638284363736
FW,32.0,0.8352116501570567,0.7913047592166392,0.8723722424219978
FW,32.5,0.8126575043003373,0.7645981120247789,0.8550552966268588
FW,33.0,0.7886573264602197,0.7358226220700642,0.8372633971062957
FW,33.5,0.7632111166367028,0.7066966064386602,0.8184419708636642
FW,34.0,0.7363188748297875,0.677583215078566,0.7985899265255301
FW,34.5,0.7079806010394735,0.6433848233842104,0.7762679422269206
FW,35.0,0.6781962952657604,0.6082915782363916,0.7500803360146919
FW,35.5,0.6469659575086492,0.5723131462516973,0.7256188920636848
FW,36.0,0.6142895877681391,0.5326784423678345,0.7000777354220691
FW,36.5,0.5801671860442299,0.49072202589919295,0.6734000205833365
FW,37.0,0.5445987523369222,0.4472476280783653,0.6456373276051199
FW,37.5,0.5075842866462159,0.4035359785611242,0.6166845788703771
FW,38.0,0.46912378897211093,0.35781093527982505,0.5870768190444943
MF,17.0,0.9195123581766586,0.7991646029929722,0.9987206340355733
MF,17.5,0.933794177708775,0.8248140978341791,0.9979054712756692
MF,18.0,0.9466830450039835,0.8507885148198585,0.9975215180125288
MF,18.5,0.9581789600622841,0.8749520999599368,0.9987997043639831
MF,19.0,0.9682819228836764,0.8969830860621242,0.999456127395421
MF,19.5,0.9769919334681609,0.9168814731264205,0.9998642652546186
MF,20.0,0.9843089918157375,0.9346472611528263,0.9998319450789176
