understat_game_id,tm_game_id,league,season,home,away,match_confidence
4749,2460300,ENG-Premier League,2014-2015,Manchester United,Swansea,alias
4750,2460298,ENG-Premier League,2014-2015,Leicester,Everton,alias
4751,2460302,ENG-Premier League,2014-2015,Queens Park Rangers,Hull,alias
4752,2460303,ENG-Premier League,2014-2015,Stoke,Aston Villa,alias
4753,2460304,ENG-Premier League,2014-2015,West Bromwich Albion,Sunderland,exact
4754,2460305,ENG-Premier League,2014-2015,West Ham,Tottenham,alias
4755,2460296,ENG-Premier League,2014-2015,Arsenal,Crystal Palace,exact
4756,2460299,ENG-Premier League,2014-2015,Liverpool,Southampton,exact
4757,2460301,ENG-Premier League,2014-2015,Newcastle United,Manchester City,exact
4758,2460297,ENG-Premier League,2014-2015,Burnley,Chelsea,exact
4759,2478479,ENG-Premier League,2014-2015,Aston Villa,Newcastle United,exact
4760,2478480,ENG-Premier League,2014-2015,Chelsea,Leicester,alias
4761,2478481,ENG-Premier League,2014-2015,Crystal Palace,West Ham,alias
4762,2478482,ENG-Premier League,2014-2015,Southampton,West Bromwich Albion,exact
4763,2478483,ENG-Premier League,2014-2015,Swansea,Burnley,alias
4764,2478484,ENG-Premier League,2014-2015,Everton,Arsenal,exact
4765,2478485,ENG-Premier League,2014-2015,Hull,Stoke,alias
4766,2478486,ENG-Premier League,2014-2015,Tottenham,Queens Park Rangers,alias
4767,2478487,ENG-Premier League,2014-2015,Sunderland,Manchester United,exact
4768,2478488,ENG-Premier League,2014-2015,Manchester City,Liverpool,exact
4769,2486489,ENG-Premier League,2014-2015,Burnley,Manchester United,exact
4770,2486491,ENG-Premier League,2014-2015,Manchester City,Stoke,alias
4771,2486492,ENG-Premier League,2014-2015,Newcastle United,Crystal Palace,exact
4772,2486493,ENG-Premier League,2014-2015,Queens Park Rangers,Sunderland,exact
4773,2486494,ENG-Premier League,2014-2015,Swansea,West Bromwich Albion,alias
4774,2486495,ENG-Premier League,2014-2015,West Ham,Southampton,alias
4775,2486496,ENG-Premier League,2014-2015,Everton,Chelsea,exact
4776,2486490,ENG-Premier League,2014-2015,Aston Villa,Hull,alias
4777,2486497,ENG-Premier League,2014-2015,Tottenham,Liverpool,alias
4778,2486498,ENG-Premier League,2014-2015,Leicester,Arsenal,alias
4719,2486499,ENG-Premier League,2014-2015,Arsenal,Manchester City,exact
4720,2486500,ENG-Premier League,2014-2015,Chelsea,Swansea,alias
4721,2486501,ENG-Premier League,2014-2015,Crystal Palace,Burnley,exact
4722,2486502,ENG-Premier League,2014-2015,Southampton,Newcastle United,exact
4723,2486503,ENG-Premier League,2014-2015,Stoke,Leicester,alias
4724,2486504,ENG-Premier League,2014-2015,Sunderland,Tottenham,alias
4725,2486505,ENG-Premier League,2014-2015,West Bromwich Albion,Everton,exact
4726,2486506,ENG-Premier League,2014-2015,Liverpool,Aston Villa,exact
4727,2486507,ENG-Premier League,2014-2015,Manchester United,Queens Park Rangers,exact
4728,2486508,ENG-Premier League,2014-2015,Hull,West Ham,alias
4729,2486509,ENG-Premier League,2014-2015,Queens Park Rangers,Stoke,alias
4730,2486513,ENG-Premier League,2014-2015,Swansea,Southampton,alias
4731,2486510,ENG-Premier League,2014-2015,Aston Villa,Arsenal,exact
4732,2486511,ENG-Premier League,2014-2015,Burnley,Sunderland,exact
