us_player_id,tm_player_id,us_name,tm_name,n_seasons,votes,vote_share,method
2,2926,György Garics,György Garics,1,1,1.0,name
3,88680,Luca Caldirola,Luca Caldirola,7,7,1.0,name
4,11765,Aytac Sulu,Aytac Sulu,2,2,1.0,name
5,54846,Fabian Holland,Fabian Holland,3,3,1.0,name
6,32207,Marcel Heller,Marcel Heller,3,3,1.0,name
7,33078,Florian Jungwirth,Florian Jungwirth,2,2,1.0,name
8,77108,Jérôme Gondorf,Jérôme Gondorf,5,5,1.0,name
9,42072,Tobias Kempe,Tobias Kempe,2,2,1.0,name
10,31173,Jan Rosenthal,Jan Rosenthal,2,2,1.0,name
11,39743,Sandro Wagner,Sandro Wagner,5,5,1.0,name
12,39372,Mario Vrancic,Mario Vrancic,4,4,1.0,name
13,45668,Konstantin Rausch,Konstantin Rausch,4,4,1.0,name
14,18277,Marco Sailer,Marco Sailer,1,1,1.0,name
15,35383,Júnior Díaz,Júnior Díaz,2,2,1.0,name
16,19736,Dominik Stroh-Engel,Dominik Stroh-Engel,1,1,1.0,name
18,35934,Slobodan Rajkovic,Slobodan Rajković,3,3,1.0,name
19,24112,Rune Jarstein,Rune Jarstein,1,1,1.0,name
20,170522,Yanni Regäsel,Yanni Regäsel,1,1,1.0,name
21,39094,Sebastian Langkamp,Sebastian Langkamp,6,6,1.0,name
22,124732,John Brooks,John Brooks,10,10,1.0,name
23,89592,Marvin Plattenhardt,Marvin Plattenhardt,9,9,1.0,name
25,42203,Fabian Lustenberger,Fabian Lustenberger,5,5,1.0,name
26,7971,Salomon Kalou,Salomon Kalou,6,6,1.0,name
27,179643,Vladimir Darida,Vladimír Darida,8,8,1.0,name
28,119211,Mitchell Weiser,Mitchell Weiser,10,10,1.0,name
29,21175,Vedad Ibisevic,Vedad Ibisevic,7,7,1.0,name
30,51168,Jens Hegeler,Jens Hegeler,3,3,1.0,name
31,31218,Johannes van den Bergh,Johannes van den Bergh,2,2,1.0,name
32,45178,Valentin Stocker,Valentin Stocker,4,4,1.0,name
34,16474,Alexander Baumjohann,Alexander Baumjohann,1,1,1.0,name
35,79377,Genki Haraguchi,Genki Haraguchi,6,6,1.0,name
36,25427,Roy Beerens,Roy Beerens,2,2,1.0,name
38,43984,Daniel Brosinski,Daniel Brosinski,8,8,1.0,name
39,30070,Niko Bungert,Niko Bungert,4,4,1.0,name
40,82350,Stefan Bell,Stefan Bell,10,10,1.0,name
41,50577,Pierre Bengtsson,Pierre Bengtsson,3,3,1.0,name
42,34787,Julian Baumgartlinger,Julian Baumgartlinger,8,8,1.0,name
43,39025,Danny Latza,Danny Latza,7,7,1.0,name
44,75446,Pablo De Blasis,Pablo de Blasis,7,7,1.0,name
46,171167,Jairo Samperio,Jairo Samperio,5,5,1.0,name
47,230541,Yoshinori Muto,Yoshinori Muto,6,6,1.0,name
48,185245,Jhon Córdoba,Jhon Córdoba,6,6,1.0,name
49,44713,Christian Clemens,Christian Clemens,4,4,1.0,name
50,40429,Gonzalo Jara,Gonzalo Jara,2,2,1.0,name
52,126281,Alexander Hack,Alexander Hack,8,8,1.0,name
53,58379,Maximilian Beister,Maximilian Beister,1,1,1.0,name
54,55519,Christoph Moritz,Christoph Moritz,2,2,1.0,name
56,38434,Daniel Schwaab,Daniel Schwaab,2,2,1.0,name
57,60790,Toni Sunjic,Toni Sunjic,2,2,1.0,name
58,31570,Georg Niedermeier,Georg Niedermeier,3,3,1.0,name
59,45599,Emiliano Insúa,Emiliano Insúa,4,4,1.0,name
60,19112,Christian Gentner,Christian Gentner,6,6,1.0,name
61,77708,Geoffroy Serey Dié,Geoffroy Serey Dié,2,2,1.0,name
62,82863,Lukas Rupp,Lukas Rupp,7,7,1.0,name
63,129513,Alexandru Maxim,Alexandru Maxim,5,5,1.0,name
64,161011,Filip Kostic,Filip Kostić,11,11,1.0,name
65,170527,Timo Werner,Timo Werner,12,12,1.0,name
66,51972,Robbie Kruse,Robbie Kruse,2,2,1.0,name
67,62800,Adam Hlousek,Adam Hlousek,2,2,1.0,name
68,138292,Boris Tashchy,Boris Tashchy,1,1,1.0,name
69,189475,Carlos Gruezo,Carlos Gruezo,5,5,1.0,name
70,112617,Philip Heise,Philip Heise,1,1,1.0,name
71,187491,Timo Baumgartl,Timo Baumgartl,6,6,1.0,name
74,143798,Pavel Kaderábek,Pavel Kaderabek,10,10,1.0,name
75,166601,Niklas Süle,Niklas Süle,11,11,1.0,name
76,135343,Fabian Schär,Fabian Schär,10,10,1.0,name
77,132529,Jin-Su Kim,Jin-su Kim,2,2,1.0,name
78,37287,Tarik Elyounoussi,Tarik Elyounoussi,2,2,1.0,name
79,57845,Tobias Strobl,Tobias Strobl,7,7,1.0,name
80,14533,Pirmin Schwegler,Pirmin Schwegler,5,5,1.0,name
81,70285,Jonathan Schmid,Jonathan Schmid,9,9,1.0,name
82,232454,Nadiem Amiri,Nadiem Amiri,12,12,1.0,name
83,82009,Kevin Volland,Kevin Volland,10,10,1.0,name
84,51676,Ermin Bicakcic,Ermin Bicakcic,7,7,1.0,name
85,89718,Eduardo Vargas,Eduardo Vargas,3,3,1.0,name
86,19548,Eugen Polanski,Eugen Polanski,4,4,1.0,name
87,333241,Joelinton,Joelinton,8,8,1.0,name
88,112935,Mark Uth,Mark Uth,9,9,1.0,name
90,57051,Sebastian Rudy,Sebastian Rudy,9,9,1.0,name
91,21327,Ron-Robert Zieler,Ron-Robert Zieler,1,1,1.0,name
92,83002,Hiroki Sakai,Hiroki Sakai,6,6,1.0,name
93,52920,Marcelo,Marcelo,7,7,1.0,name
94,1586,Christian Schulz,Christian Schulz,2,2,1.0,name
95,75852,Miiko Albornoz,Miiko Albornoz,4,4,1.0,name
96,126534,Salif Sané,Salif Sané,6,6,1.0,name
97,37216,Ceyhun Gülselam,Ceyhun Gülselam,2,2,1.0,name
98,119557,Kenan Karaman,Kenan Karaman,6,6,1.0,name
99,22837,Leon Andreasen,Leon Andreasen,2,2,1.0,name
100,60028,Edgar Prib,Edgar Prib,3,3,1.0,name
101,272642,Allan Saint-Maximin,Allan Saint-Maximin,9,9,1.0,name
103,66783,Charlison Benschop,Charlison Benschop,2,2,1.0,name
104,38360,Mevlüt Erdinc,Mevlüt Erdinc,4,4,1.0,name
106,193004,Waldemar Anton,Waldemar Anton,8,8,1.0,name
107,21726,Philipp Tschauner,Philipp Tschauner,1,1,1.0,name
108,41507,Manuel Schmiedebach,Manuel Schmiedebach,2,2,1.0,name
109,44594,Felix Wiedwald,Felix Wiedwald,1,1,1.0,name
110,60632,Theodor Gebre Selassie,Theodor Gebre Selassie,7,7,1.0,name
111,99331,Jannik Vestergaard,Jannik Vestergaard,9,9,1.0,name
112,128488,Alejandro Gálvez,Alejandro Gálvez,5,5,1.0,name
113,90489,Santiago García,Santiago García,3,3,1.0,name
114,42033,Philipp Bargfrede,Philipp Bargfrede,6,6,1.0,name
115,36207,Fin Bartels,Fin Bartels,5,5,1.0,name
116,195736,Florian Grillitsch,Florian Grillitsch,9,9,1.0,name
117,1277,Clemens Fritz,Clemens Fritz,3,3,1.0,name
118,168543,Levin Öztunali,Levin Öztunali,8,8,1.0,name
119,142281,Anthony Ujah,Anthony Ujah,6,6,1.0,name
120,31910,Felix Kroos,Felix Kroos,3,3,1.0,name
121,143121,Melvyn Lorenzen,Melvyn Lorenzen,2,2,1.0,name
122,532,Claudio Pizarro,Claudio Pizarro,6,6,1.0,name
123,32618,Assani Lukimya,Assani Lukimya,2,2,1.0,name
124,89542,Janek Sternberg,Janek Sternberg,3,3,1.0,name
125,190284,Maximilian Eggestein,Maximilian Eggestein,10,10,1.0,name
126,196813,Michael Zetterer,Michael Zetterer,1,1,1.0,name
127,84938,Timo Horn,Timo Horn,1,1,1.0,name
129,110036,Dominique Heintz,Dominique Heintz,8,8,1.0,name
130,41023,Dominic Maroh,Dominic Maroh,4,4,1.0,name
131,108537,Jonas Hector,Jonas Hector,8,8,1.0,name
132,1126,Matthias Lehmann,Matthias Lehmann,4,4,1.0,name
133,84435,Kevin Vogt,Kevin Vogt,10,10,1.0,name
134,51176,Marcel Risse,Marcel Risse,5,5,1.0,name
135,108650,Yuya Osako,Yuya Osako,7,7,1.0,name
136,34543,Dusan Svento,Dusan Svento,2,2,1.0,name
137,50512,Anthony Modeste,Anthony Modeste,8,8,1.0,name
138,91716,Frederik Sörensen,Frederik Sörensen,5,5,1.0,name
139,79967,Simon Zoller,Simon Zoller,6,6,1.0,name
140,119277,Yannick Gerhardt,Yannick Gerhardt,11,11,1.0,name
141,37788,Philipp Hosiner,Philipp Hosiner,2,2,1.0,name
143,202925,Bard Finne,Bård Finne,1,1,1.0,name
144,160285,Milos Jojic,Milos Jojic,4,4,1.0,name
146,38440,Christian Träsch,Christian Träsch,3,3,1.0,name
147,32213,Naldo,Naldo,6,6,1.0,name
148,16136,Dante,Dante,11,11,1.0,name
149,8317,Marcel Schäfer,Marcel Schäfer,3,3,1.0,name
150,93704,Josuha Guilavogui,Josuha Guilavogui,10,10,1.0,name
151,35247,Vieirinha,Vieirinha,3,3,1.0,name
152,85148,Julian Draxler,Julian Draxler,9,9,1.0,name
153,117674,Maximilian Arnold,Maximilian Arnold,11,11,1.0,name
154,58205,André Schürrle,André Schürrle,6,6,1.0,name
155,36182,Max Kruse,Max Kruse,8,8,1.0,name
156,49730,Sebastian Jung,Sebastian Jung,2,2,1.0,name
157,38410,Daniel Caligiuri,Daniel Caligiuri,9,9,1.0,name
158,56331,Bas Dost,Bas Dost,4,4,1.0,name
159,108880,Koen Casteels,Koen Casteels,1,1,1.0,name
160,34557,Nicklas Bendtner,Nicklas Bendtner,2,2,1.0,name
161,94201,Robin Knoche,Robin Knoche,10,10,1.0,name
162,65255,Timm Klose,Timm Klose,4,4,1.0,name
164,103310,Gotoku Sakai,Gotoku Sakai,4,4,1.0,name
165,25812,Emir Spahic,Emir Spahic,3,3,1.0,name
167,53669,Matthias Ostrzolek,Matthias Ostrzolek,5,5,1.0,name
168,247661,Gideon Jung,Gideon Jung,3,3,1.0,name
169,55508,Lewis Holtby,Lewis Holtby,6,6,1.0,name
170,39426,Nicolai Müller,Nicolai Müller,5,5,1.0,name
171,120205,Michael Gregoritsch,Michael Gregoritsch,10,10,1.0,name
172,30308,Ivo Ilicevic,Ivo Ilicevic,2,2,1.0,name
173,73013,Pierre-Michel Lasogga,Pierre-Michel Lasogga,3,3,1.0,name
174,4687,Aaron Hunt,Aaron Hunt,4,4,1.0,name
175,42044,Dennis Diekmeier,Dennis Diekmeier,4,4,1.0,name
176,52530,Sven Schipplock,Sven Schipplock,5,5,1.0,name
177,83895,Marcelo Díaz,Marcelo Díaz,4,4,1.0,name
179,61591,Zoltán Stieber,Zoltán Stieber,1,1,1.0,name
181,72476,Bernd Leno,Bernd Leno,3,3,1.0,name
182,3256,Roberto Hilbert,Roberto Hilbert,3,3,1.0,name
183,196357,Jonathan Tah,Jonathan Tah,10,10,1.0,name
184,43512,Ömer Toprak,Ömer Toprak,7,7,1.0,name
185,228433,Wendell,Wendell,7,7,1.0,name
186,61087,Karim Bellarabi,Karim Bellarabi,8,8,1.0,name
187,82097,Christoph Kramer,Christoph Kramer,10,10,1.0,name
188,53418,Kevin Kampl,Kevin Kampl,11,11,1.0,name
189,126414,Hakan Calhanoglu,Hakan Çalhanoğlu,11,11,1.0,name
190,6237,Stefan Kießling,Stefan Kießling,4,4,1.0,name
191,50935,Chicharito,Chicharito,8,8,1.0,name
192,182752,Marlon Frey,Marlon Frey,1,1,1.0,name
193,88684,Giulio Donati,Giulio Donati,8,8,1.0,name
194,66058,Admir Mehmedi,Admir Mehmedi,7,7,1.0,name
195,175792,André Ramalho,André Ramalho,2,2,1.0,name
197,58489,Kyriakos Papadopoulos,Kyriakos Papadopoulos,4,4,1.0,name
198,157373,Vladlen Yurchenko,Vladlen Yurchenko,3,3,1.0,name
199,42205,Yann Sommer,Yann Sommer,1,1,1.0,name
200,196948,Andreas Christensen,Andreas Christensen,8,8,1.0,name
201,47587,Tony Jantschke,Tony Jantschke,8,8,1.0,name
202,42234,Håvard Nordtveit,Havard Nordtveit,8,8,1.0,name
203,77809,Julian Korb,Julian Korb,5,5,1.0,name
204,111455,Granit Xhaka,Granit Xhaka,11,11,1.0,name
205,191422,Mahmoud Dahoud,Mahmoud Dahoud,11,11,1.0,name
206,19305,Oscar Wendt,Oscar Wendt,7,7,1.0,name
207,47285,Ibrahima Traoré,Ibrahima Traoré,6,6,1.0,name
208,48298,Lars Stindl,Lars Stindl,9,9,1.0,name
209,140579,Josip Drmic,Josip Drmic,6,6,1.0,name
210,19819,Raffael,Raffael,6,6,1.0,name
211,168678,Marvin Schulz,Marvin Schulz,2,2,1.0,name
212,192635,Nico Elvedi,Nico Elvedi,10,10,1.0,name
213,102226,Thorgan Hazard,Thorgan Hazard,9,9,1.0,name
215,4607,Roel Brouwers,Roel Brouwers,2,2,1.0,name
216,171209,Branimir Hrgota,Branimir Hrgota,5,5,1.0,name
217,17259,Manuel Neuer,Manuel Neuer,1,1,1.0,name
218,2219,Philipp Lahm,Philipp Lahm,3,3,1.0,name
219,54659,Holger Badstuber,Holger Badstuber,4,4,1.0,name
220,26485,Jérôme Boateng,Jérôme Boateng,9,9,1.0,name
221,33947,Rafinha,Rafinha,5,5,1.0,name
222,37666,Arturo Vidal,Arturo Vidal,8,8,1.0,name
223,161056,Joshua Kimmich,Joshua Kimmich,10,10,1.0,name
224,58358,Thomas Müller,Thomas Müller,10,10,1.0,name
225,44017,Javi Martínez,Javi Martínez,7,7,1.0,name
226,243714,Kingsley Coman,Kingsley Coman,12,12,1.0,name
227,38253,Robert Lewandowski,Robert Lewandowski,11,11,1.0,name
228,44466,Sebastian Rode,Sebastian Rode,8,8,1.0,name
229,60444,Thiago Alcántara,Thiago Alcántara,9,9,1.0,name
230,7476,Xabi Alonso,Xabi Alonso,3,3,1.0,name
232,49734,Jan Kirchhoff,Jan Kirchhoff,3,3,1.0,name
233,16498,Ramazan Özcan,Ramazan Özcan,1,1,1.0,name
234,31216,Tobias Levels,Tobias Levels,2,2,1.0,name
235,43257,Romain Brègerie,Romain Brégerie,2,2,1.0,name
236,17025,Marvin Matip,Marvin Matip,2,2,1.0,name
237,179634,Robert Bauer,Robert Bauer,4,4,1.0,name
238,56435,Roger,Roger,2,2,1.0,name
239,82873,Pascal Groß,Pascal Groß,10,10,1.0,name
240,56711,Almog Cohen,Almog Cohen,2,2,1.0,name
241,126214,Mathew Leckie,Mathew Leckie,6,6,1.0,name
242,59054,Lukas Hinterseer,Lukas Hinterseer,2,2,1.0,name
243,116792,Stefan Lex,Stefan Lex,2,2,1.0,name
245,192300,Max Christiansen,Max Christiansen,3,3,1.0,name
246,187496,Maurice Multhaup,Maurice Multhaup,1,1,1.0,name
247,154396,Danilo Soares,Danilo Soares,4,4,1.0,name
248,49501,Elias Kachunga,Elias Kachunga,4,4,1.0,name
249,85906,Danny da Costa,Danny da Costa,9,9,1.0,name
251,52348,Benjamin Hübner,Benjamin Hübner,6,6,1.0,name
252,58500,Alfredo Morales,Alfredo Morales,4,4,1.0,name
253,38746,Tomas Pekhart,Tomas Pekhart,1,1,1.0,name
254,68033,Steven Zuber,Steven Zuber,7,7,1.0,name
255,1331,Kevin Kurányi,Kevin Kuranyi,1,1,1.0,name
257,129674,Jeremy Toljan,Jeremy Toljan,9,9,1.0,name
258,94199,Tolga Cigerci,Tolga Cigerci,3,3,1.0,name
260,36914,Sebastian Boenisch,Sebastian Boenisch,2,2,1.0,name
261,187492,Julian Brandt,Julian Brandt,11,11,1.0,name
262,93844,Leonardo Bittencourt,Leonardo Bittencourt,10,10,1.0,name
263,59238,Marwin Hitz,Marwin Hitz,3,3,1.0,name
264,18021,Paul Verhaegh,Paul Verhaegh,4,4,1.0,name
265,26669,Ragnar Klavan,Ragnar Klavan,7,7,1.0,name
266,3851,Jan-Ingwer Callsen-Bracker,Jan-Ingwer Callsen-Bracker,3,3,1.0,name
267,111275,Philipp Max,Philipp Max,7,7,1.0,name
268,4018,Daniel Baier,Daniel Baier,6,6,1.0,name
269,118847,Dominik Kohr,Dominik Kohr,11,11,1.0,name
270,45662,Alexander Esswein,Alexander Esswein,6,6,1.0,name
271,91841,Ja-Cheol Koo,Ja-cheol Koo,5,5,1.0,name
272,54137,Caiuby,Caiuby,5,5,1.0,name
273,51356,Raúl Bobadilla,Raúl Bobadilla,4,4,1.0,name
274,14977,Christoph Janker,Christoph Janker,2,2,1.0,name
275,50303,Tim Matavz,Tim Matavz,3,3,1.0,name
276,164265,Dong-Won Ji,Dong-won Ji,4,4,1.0,name
278,1986,Markus Feulner,Markus Feulner,2,2,1.0,name
279,2623,Piotr Trochowski,Piotr Trochowski,1,1,1.0,name
280,1791,Halil Altintop,Halil Altintop,3,3,1.0,name
281,48015,Lukas Hradecky,Lukas Hradecky,1,1,1.0,name
282,39259,Makoto Hasebe,Makoto Hasebe,6,6,1.0,name
283,58178,David Abraham,David Abraham,7,7,1.0,name
284,53533,Carlos Zambrano,Carlos Zambrano,2,2,1.0,name
285,53437,Bastian Oczipka,Bastian Oczipka,8,8,1.0,name
