player,season,to_club,from_club,from_league,to_league,age,market_value,fee_eur,fee_pred_eur,overpay_pct,mv_point_in_time,date_source,fee_vs_mv_implausible
Andrea Masiello,2019,Genoa CFC,Atalanta BC,Serie A,Serie A,33.0,1000000.0,100000000.0,346472.0,28762.0,True,proxy,True
Alessandro Malomo,2012,AC Prato,AS Roma,Serie A,Other,21.0,250000.0,50000000.0,229804.0,21658.0,False,proxy,True
Luca Zanimacchia,2019,Juventus U23,Genoa CFC,Serie A,Other,20.0,275000.0,4000000.0,55415.0,7118.0,True,proxy,False
Erasmo Mulè,2019,Juventus U23,UC Sampdoria,Serie A,Other,20.0,125000.0,3500000.0,51515.0,6694.0,True,proxy,False
Marco Sala,2019,Sassuolo,Inter Milan,Serie A,Other,20.0,300000.0,3000000.0,61285.0,4795.0,True,proxy,False
Alessandro Minelli,2019,Juventus U23,Parma Calcio 1913,Serie A,Other,20.0,300000.0,2910000.0,61285.0,4648.0,True,proxy,False
Luca Ceccarelli,2014,Bologna FC 1909,AC Cesena,Serie A,Other,31.0,200000.0,2500000.0,60345.0,4043.0,True,proxy,False
Kim,2008,Al-Arabi SC,AS Nancy-Lorraine,Ligue 1,Other,28.0,50000.0,9000000.0,220547.0,3981.0,True,proxy,False
Mert Cetin,2019,AS Roma,Genclerbirligi Ankara,Other,Serie A,22.0,250000.0,4300000.0,105901.0,3960.0,True,exact,False
Thiago Neves,2009,Al-Hilal Riyadh,Hamburger SV,Bundesliga,Other,24.0,600000.0,7000000.0,178089.0,3831.0,False,proxy,False
Mario Hermoso,2017,RCD Espanyol Barcelona,RM Castilla,Other,La Liga,22.0,400000.0,12500000.0,336692.0,3613.0,True,proxy,True
Jefferson Lerma,2018,Bournemouth,Levante UD,La Liga,Other,23.0,2000000.0,28000000.0,766116.0,3555.0,True,proxy,False
Oliver Burke,2016,RB Leipzig,Nottingham Forest,Other,Bundesliga,19.0,250000.0,15200000.0,450654.0,3273.0,True,exact_raw,True
Mohamed Camara,2022,AS Monaco,RB Salzburg,Other,Ligue 1,22.0,100000.0,15000000.0,449452.0,3237.0,True,proxy,True
David Ivan,2019,Chievo Verona,UC Sampdoria,Serie A,Other,24.0,250000.0,900000.0,31022.0,2801.0,True,proxy,False
Alessandro Bastoni,2017,Inter Milan,Atalanta BC,Serie A,Serie A,18.0,1500000.0,31100000.0,1104989.0,2715.0,True,exact_raw,True
Michael Ventre,2015,Genoa,Inter Milan,Serie A,Other,19.0,100000.0,3500000.0,128989.0,2613.0,True,proxy,False
Emre Can,2013,Bayer 04 Leverkusen,Bayern Munich,Bundesliga,Bundesliga,19.0,1500000.0,5000000.0,199225.0,2410.0,True,exact_raw,False
Wesley,2011,Sociedade Esportiva Palmeiras,SV Werder Bremen,Bundesliga,Other,24.0,400000.0,6000000.0,240089.0,2399.0,False,proxy,False
Emre Can,2013,Bay. Leverkusen,Bayern Munich,Bundesliga,Other,19.0,1500000.0,5000000.0,202279.0,2372.0,True,proxy,False
Cristian Galano,2019,Delfino Pescara 1936,Parma Calcio 1913,Serie A,Other,28.0,400000.0,2000000.0,81338.0,2359.0,True,proxy,False
Cristian Galano,2019,Pescara,Parma Calcio 1913,Serie A,Other,28.0,400000.0,2000000.0,81338.0,2359.0,True,proxy,False
Koray Günter,2013,Galatasaray,Borussia Dortmund,Bundesliga,Other,19.0,500000.0,2500000.0,102822.0,2331.0,True,proxy,False
Koray Günter,2013,Galatasaray A.S.,Borussia Dortmund,Bundesliga,Other,19.0,500000.0,2500000.0,102822.0,2331.0,True,exact_raw,False
Matteo Cotali,2019,Chievo Verona,Cagliari Calcio,Serie A,Other,22.0,150000.0,800000.0,32965.0,2327.0,True,proxy,False
Saïmon Bouabré,2025,NEOM SC,Monaco,Ligue 1,Other,19.2,300000.0,10000000.0,414136.0,2315.0,True,exact,True
Luigi Liguori,2020,LOSC Lille B,SSC Napoli,Serie A,Other,22.0,50000.0,5000000.0,232627.0,2049.0,False,proxy,False
Rodney Strasser,2010,Genoa,AC Milan,Serie A,Other,20.0,150000.0,2250000.0,107033.0,2002.0,True,proxy,False
Paolo Guerrero,2012,Sport Club Corinthians Paulista,Hamburger SV,Bundesliga,Other,28.0,500000.0,3500000.0,170190.0,1957.0,False,proxy,False
Pablo González,2010,US Palermo,Novara Calcio 1908,Other,Serie A,25.0,175000.0,5000000.0,254918.0,1861.0,False,proxy,False
Alessandro Bastoni,2017,Inter,Atalanta BC,Serie A,Other,18.0,1500000.0,31100000.0,1648668.0,1786.0,True,proxy,True
Fabian Delph,2009,Aston Villa,Leeds United,Other,Premier League,19.0,100000.0,9500000.0,509923.0,1763.0,True,proxy,False
Yann Aurel Bisseck,2021,Aarhus GF,1. FC Köln,Bundesliga,Other,20.0,325000.0,1720000.0,93912.0,1731.0,True,exact_raw,False
Diant Ramaj,2023,Ajax,E. Frankfurt,Bundesliga,Other,21.9,750000.0,5000000.0,275207.0,1717.0,True,exact,False
Stefano Sturaro,2014,Juventus FC,Genoa CFC,Serie A,Serie A,21.0,300000.0,10600000.0,584596.0,1713.0,True,exact,True
Esteban Rolón,2017,Málaga CF,Asociación Atlética Argentinos Juniors,Other,La Liga,22.0,75000.0,3200000.0,178831.0,1689.0,True,proxy,False
Hassane Kamara,2022,Udinese Calcio,Watford,Other,Serie A,28.0,4000000.0,19000000.0,1064674.0,1685.0,True,proxy,False
Jordan,2022,1.FC Union Berlin,BSC Young Boys,Other,Bundesliga,26.0,300000.0,6000000.0,337608.0,1677.0,True,proxy,False
David Wheater,2010,Bolton Wanderers,Middlesbrough FC,Other,Premier League,23.0,200000.0,2750000.0,155554.0,1668.0,False,proxy,False
Cheick Doucouré,2022,Crystal Palace,Lens,Other,Premier League,22.0,600000.0,22600000.0,1290600.0,1651.0,True,proxy,True
Riccardo Pasi,2011,Bologna,Parma FC,Serie A,Other,20.0,100000.0,1500000.0,87651.0,1611.0,True,proxy,False
Marco Sala,2019,US Sassuolo,Inter,Other,Serie A,20.0,300000.0,3000000.0,176480.0,1600.0,True,proxy,False
Maxime Leverbe,2019,Chievo Verona,UC Sampdoria,Serie A,Other,22.0,100000.0,600000.0,35786.0,1577.0,True,proxy,False
Emerson Royal,2018,Real Betis,FC Barcelona,La Liga,Other,20.0,50000.0,6000000.0,365108.0,1543.0,True,proxy,False
Jefferson Lerma,2018,AFC Bournemouth,Levante UD,La Liga,Premier League,23.0,2000000.0,28000000.0,1704875.0,1542.0,True,exact_raw,False
Stefano Russo,2012,Brescia Calcio,Parma FC,Serie A,Other,23.0,50000.0,1200000.0,73164.0,1540.0,False,proxy,False
Federico Varano,2015,AC Cesena,Atalanta BC,Serie A,Other,20.0,225000.0,2500000.0,156177.0,1501.0,True,proxy,False
Roger Martínez,2018,Villarreal CF,Jiangsu Suning,Other,La Liga,24.0,2500000.0,14900000.0,935364.0,1493.0,True,proxy,False
Gonzalo Villar,2019,AS Roma,Elche CF,Other,Serie A,21.0,700000.0,5000000.0,316833.0,1478.0,True,exact_raw,False
Andy Carroll,2010,Liverpool FC,Newcastle United,Premier League,Premier League,22.0,2500000.0,41000000.0,2630263.0,1459.0,True,proxy,True
Pawel Jaroszynski,2019,Genoa CFC,Chievo Verona,Other,Serie A,24.0,400000.0,4000000.0,261227.0,1431.0,True,proxy,False
Yohan Benalouane,2015,Leicester,Atalanta BC,Serie A,Other,28.0,1300000.0,7000000.0,459763.0,1423.0,True,proxy,False
