player,from_league,age,position,efficiency,usage,mv_eur_m,fee_gbp_m,wage_gbp_m,npv_m,npv_lo_m,npv_hi_m,prog_pctl,talent_pctl
Mateo Cassierra,RUS-Premier League,24.7,FW,0.1912,0.125,9.0,7.7,0.1,13.8,4.8,22.1,,
Mohamed Bayo,FRA-Ligue 1,23.6,FW,0.1668,0.122,3.0,2.5,1.2,4.3,-2.4,10.4,32.0,53.0
Moussa Dembele,FRA-Ligue 1,25.5,FW,0.2061,0.114,12.0,10.2,2.7,3.0,-8.5,13.5,12.0,
Lucas Höler,GER-Bundesliga,27.5,FW,0.1584,0.125,4.0,3.4,0.6,2.9,-1.0,6.6,16.0,83.0
Raheem Sterling,ENG-Premier League,27.1,FW,0.1909,0.078,5.0,4.2,1.2,2.6,-3.2,7.9,61.0,34.0
Taiwo Awoniyi,GER-Bundesliga,24.4,FW,0.1701,0.13,12.0,10.2,2.6,-1.8,-10.0,5.7,22.0,52.0
Ludovic Ajorque,FRA-Ligue 1,27.8,FW,0.1674,0.125,3.0,2.5,2.2,-2.3,-8.4,3.2,10.0,92.0
Giovanni Simeone,ITA-Serie A,26.5,FW,0.1586,0.117,5.0,4.2,2.7,-6.4,-11.9,-1.4,14.0,82.0
Josip Brekalo,ITA-Serie A,23.5,FW,0.1147,0.128,2.5,2.1,1.2,-7.4,-7.0,-7.9,50.0,44.0
Gaetan Laborde,FRA-Ligue 1,27.7,FW,0.1715,0.125,10.0,8.5,3.3,-7.5,-14.9,-0.7,12.0,78.0
Emmanuel Dennis,ENG-Premier League,24.1,FW,0.1179,0.136,2.0,1.7,1.5,-8.3,-8.3,-8.4,35.0,56.0
Steve Mounie,FRA-Ligue 1,27.3,FW,0.1361,0.131,1.8,1.5,2.3,-9.0,-11.3,-7.0,21.0,90.0
Daniele Verde,ITA-Serie A,25.5,FW,0.0985,0.136,2.2,1.9,0.6,-10.3,-6.6,-13.8,46.0,
Moses Simon,FRA-Ligue 1,26.5,FW,0.1301,0.143,7.0,6.0,2.3,-11.1,-12.8,-9.5,63.0,71.0
Alassane Pléa,GER-Bundesliga,28.8,FW,0.137,0.133,3.0,2.5,2.5,-11.1,-13.2,-9.3,54.0,40.0
Denis Bouanga,FRA-Ligue 1,27.1,FW,0.1132,0.157,8.0,6.8,1.1,-11.2,-9.2,-13.1,38.0,
Ivan Toney,ENG-Premier League,25.8,FW,0.1237,0.169,50.0,42.5,1.0,-12.6,-12.6,-12.6,13.0,94.0
Felipe Anderson,ITA-Serie A,28.7,FW,0.1321,0.12,8.0,6.8,2.4,-12.6,-14.0,-11.4,52.0,53.0
Sofiane Boufal,FRA-Ligue 1,28.3,MF,0.1051,0.172,2.0,1.7,0.6,-12.7,-7.6,-17.5,68.0,47.0
Martin Terrier,FRA-Ligue 1,24.8,FW,0.145,0.132,12.0,10.2,4.0,-14.6,-20.0,-9.7,35.0,82.0
Enes Ünal,ESP-La Liga,24.6,FW,0.0907,0.159,8.0,6.8,0.8,-14.6,-9.2,-19.7,9.0,57.0
Musa Barrow,ITA-Serie A,23.1,FW,0.0933,0.15,9.0,7.7,1.3,-14.7,-10.6,-18.5,49.0,
Jonathan Burkardt,GER-Bundesliga,21.5,FW,0.1391,0.145,35.0,29.8,4.2,-14.9,-20.9,-9.5,26.0,21.0
Patrik Schick,GER-Bundesliga,25.9,FW,0.1977,0.13,25.0,21.2,6.4,-15.5,-29.5,-2.8,11.0,57.0
Branimir Hrgota,GER-Bundesliga,29.0,FW,0.0906,0.184,1.3,1.1,0.4,-15.8,-7.9,-23.2,21.0,
Yacine Adli,FRA-Ligue 1,21.4,MF,0.073,0.12,9.0,7.7,0.9,-16.2,-10.1,-21.9,59.0,10.0
Mattia Aramu,ITA-Serie A,26.6,MF,0.0858,0.15,1.3,1.1,0.8,-16.3,-9.5,-22.5,30.0,58.0
Pablo Fornals,ENG-Premier League,25.9,MF,0.122,0.119,14.0,11.9,2.7,-16.4,-17.0,-15.9,32.0,90.0
Gerard Deulofeu,ITA-Serie A,27.8,FW,0.1016,0.181,1.0,0.8,1.6,-17.1,-12.6,-21.4,63.0,56.0
Gianluca Caprari,ITA-Serie A,28.4,FW,0.0973,0.163,4.0,3.4,1.4,-17.4,-12.4,-22.1,52.0,61.0
Amine Gouiri,FRA-Ligue 1,21.9,FW,0.1254,0.155,28.0,23.8,3.9,-17.4,-20.8,-14.3,42.0,19.0
Anton Zinkovskiy,RUS-Premier League,25.7,FW,0.0847,0.164,2.5,2.1,1.1,-17.8,-12.9,-23.0,,
Houssem Aouar,FRA-Ligue 1,23.5,MF,0.1129,0.118,10.0,8.5,3.0,-17.9,-18.1,-17.7,60.0,36.0
Allan Saint-Maximin,ENG-Premier League,24.8,FW,0.0958,0.151,24.0,20.4,1.6,-18.0,-14.2,-21.7,62.0,
Nedim Bajrami,ITA-Serie A,22.8,MF,0.0734,0.125,4.5,3.8,1.3,-18.5,-12.3,-24.3,57.0,5.0
Daniil Utkin,RUS-Premier League,22.2,MF,0.0745,0.166,2.0,1.7,0.7,-18.8,-11.3,-26.2,,
Raúl de Tomás,ESP-La Liga,27.2,FW,0.108,0.179,0.5,0.4,2.7,-19.1,-16.7,-21.4,15.0,67.0
Benjamin Bourigeaud,FRA-Ligue 1,28.0,MF,0.1053,0.178,5.0,4.2,1.9,-19.3,-15.0,-23.3,25.0,78.0
Nicolo Zaniolo,ITA-Serie A,22.5,FW,0.0889,0.096,13.0,11.1,2.8,-19.5,-17.9,-21.1,65.0,25.0
