league,season,team,player,matches,minutes,dispossessed,miscontrol,dispossessed_p90,miscontrol_p90,turnovers_p90
ENG-Premier League,2015-2016,AFC Bournemouth,Adam Federici,6,520.0,0,0,0.0,0.0,0.0
ENG-Premier League,2015-2016,AFC Bournemouth,Adam Smith,31,2252.0,37,38,1.4786856127886325,1.5186500888099466,2.997335701598579
ENG-Premier League,2015-2016,AFC Bournemouth,Andrew Surman,38,3616.0,24,25,0.5973451327433629,0.6222345132743363,1.2195796460176993
ENG-Premier League,2015-2016,AFC Bournemouth,Artur Boruc,32,3042.0,0,0,0.0,0.0,0.0
ENG-Premier League,2015-2016,AFC Bournemouth,Benik Afobe,15,958.0,18,35,1.6910229645093944,3.288100208768267,4.979123173277662
ENG-Premier League,2015-2016,AFC Bournemouth,Callum Wilson,13,817.0,26,27,2.864137086903305,2.974296205630355,5.83843329253366
ENG-Premier League,2015-2016,AFC Bournemouth,Charlie Daniels,37,3467.0,44,36,1.1421978655898473,0.9345255263916932,2.0767233919815404
ENG-Premier League,2015-2016,AFC Bournemouth,Dan Gosling,34,2589.0,55,55,1.9119351100811124,1.9119351100811124,3.8238702201622248
ENG-Premier League,2015-2016,AFC Bournemouth,Eunan O''Kane,15,789.0,10,9,1.1406844106463878,1.0266159695817492,2.167300380228137
ENG-Premier League,2015-2016,AFC Bournemouth,Eunan O'Kane,1,34.0,0,2,0.0,5.294117647058823,5.294117647058823
ENG-Premier League,2015-2016,AFC Bournemouth,Glenn Murray,19,750.0,19,32,2.28,3.84,6.119999999999999
ENG-Premier League,2015-2016,AFC Bournemouth,Harry Arter,21,1701.0,28,30,1.4814814814814816,1.5873015873015872,3.068783068783069
ENG-Premier League,2015-2016,AFC Bournemouth,Joshua King,31,1978.0,76,100,3.4580384226491407,4.55005055611729,8.00808897876643
ENG-Premier League,2015-2016,AFC Bournemouth,Juan Manuel Iturbe Arévalo,2,69.0,4,0,5.217391304347826,0.0,5.217391304347826
ENG-Premier League,2015-2016,AFC Bournemouth,Junior Stanislas,21,1499.0,37,30,2.2214809873248833,1.801200800533689,4.0226817878585726
