league,season,team,matches,dispossessed,miscontrol,dispossessed_pm,miscontrol_pm
ENG-Premier League,2015-2016,AFC Bournemouth,38,572,612,15.052631578947368,16.105263157894736
ENG-Premier League,2015-2016,Arsenal,38,545,595,14.342105263157896,15.657894736842104
ENG-Premier League,2015-2016,Aston Villa,38,494,566,13.0,14.894736842105264
ENG-Premier League,2015-2016,Chelsea,38,545,506,14.342105263157896,13.31578947368421
ENG-Premier League,2015-2016,Crystal Palace,38,573,573,15.078947368421053,15.078947368421053
ENG-Premier League,2015-2016,Everton,38,505,511,13.289473684210526,13.447368421052632
ENG-Premier League,2015-2016,Leicester City,38,482,515,12.68421052631579,13.552631578947368
ENG-Premier League,2015-2016,Liverpool,38,613,580,16.13157894736842,15.263157894736842
ENG-Premier League,2015-2016,Manchester City,38,580,535,15.263157894736842,14.078947368421053
ENG-Premier League,2015-2016,Manchester United,38,607,536,15.973684210526315,14.105263157894736
ENG-Premier League,2015-2016,Newcastle United,38,568,574,14.947368421052632,15.105263157894736
ENG-Premier League,2015-2016,Norwich City,38,486,470,12.789473684210526,12.368421052631579
ENG-Premier League,2015-2016,Southampton,38,478,507,12.578947368421053,13.342105263157896
ENG-Premier League,2015-2016,Stoke City,38,406,526,10.68421052631579,13.842105263157896
ENG-Premier League,2015-2016,Sunderland,38,454,479,11.947368421052632,12.605263157894736
ENG-Premier League,2015-2016,Swansea City,38,511,516,13.447368421052632,13.578947368421053
ENG-Premier League,2015-2016,Tottenham Hotspur,38,586,572,15.421052631578947,15.052631578947368
ENG-Premier League,2015-2016,Watford,38,509,543,13.394736842105264,14.289473684210526
ENG-Premier League,2015-2016,West Bromwich Albion,38,460,530,12.105263157894736,13.947368421052632
ENG-Premier League,2015-2016,West Ham United,38,546,540,14.368421052631579,14.210526315789474
GER-Bundesliga,2015-2016,Augsburg,2,14,28,7.0,14.0
GER-Bundesliga,2015-2016,Bayer Leverkusen,34,512,564,15.058823529411764,16.58823529411765
GER-Bundesliga,2015-2016,Bayern Munich,2,35,40,17.5,20.0
GER-Bundesliga,2015-2016,Borussia Dortmund,2,34,38,17.0,19.0
GER-Bundesliga,2015-2016,Borussia Mönchengladbach,2,27,32,13.5,16.0
GER-Bundesliga,2015-2016,Darmstadt 98,2,20,41,10.0,20.5
GER-Bundesliga,2015-2016,Eintracht Frankfurt,2,31,27,15.5,13.5
GER-Bundesliga,2015-2016,FC Köln,2,20,28,10.0,14.0
GER-Bundesliga,2015-2016,FSV Mainz 05,2,31,40,15.5,20.0
GER-Bundesliga,2015-2016,Hamburger SV,2,28,32,14.0,16.0
GER-Bundesliga,2015-2016,Hannover 96,2,22,40,11.0,20.0
GER-Bundesliga,2015-2016,Hertha Berlin,2,24,32,12.0,16.0
GER-Bundesliga,2015-2016,Hoffenheim,2,28,19,14.0,9.5
GER-Bundesliga,2015-2016,Ingolstadt,2,25,35,12.5,17.5
GER-Bundesliga,2015-2016,Schalke 04,2,28,48,14.0,24.0
GER-Bundesliga,2015-2016,VfB Stuttgart,2,33,42,16.5,21.0
GER-Bundesliga,2015-2016,Werder Bremen,2,21,31,10.5,15.5
GER-Bundesliga,2015-2016,Wolfsburg,2,36,40,18.0,20.0
GER-Bundesliga,2023-2024,Augsburg,2,15,30,7.5,15.0
GER-Bundesliga,2023-2024,Bayer Leverkusen,34,440,455,12.941176470588236,13.382352941176471
GER-Bundesliga,2023-2024,Bayern Munich,2,20,31,10.0,15.5
GER-Bundesliga,2023-2024,Bochum,2,18,32,9.0,16.0
GER-Bundesliga,2023-2024,Borussia Dortmund,2,27,34,13.5,17.0
GER-Bundesliga,2023-2024,Borussia Mönchengladbach,2,21,29,10.5,14.5
GER-Bundesliga,2023-2024,Darmstadt 98,2,12,26,6.0,13.0
GER-Bundesliga,2023-2024,Eintracht Frankfurt,2,17,23,8.5,11.5
GER-Bundesliga,2023-2024,FC Heidenheim,2,22,30,11.0,15.0
GER-Bundesliga,2023-2024,FC Köln,2,14,22,7.0,11.0
GER-Bundesliga,2023-2024,FSV Mainz 05,2,15,26,7.5,13.0
GER-Bundesliga,2023-2024,Freiburg,2,21,19,10.5,9.5
GER-Bundesliga,2023-2024,Hoffenheim,2,10,28,5.0,14.0
GER-Bundesliga,2023-2024,RB Leipzig,2,25,21,12.5,10.5
GER-Bundesliga,2023-2024,Union Berlin,2,21,27,10.5,13.5
GER-Bundesliga,2023-2024,VfB Stuttgart,2,29,30,14.5,15.0
GER-Bundesliga,2023-2024,Werder Bremen,2,22,18,11.0,9.0
GER-Bundesliga,2023-2024,Wolfsburg,2,10,22,5.0,11.0
