Rank,Club,Country,Level,Elo,From,To
None,AVS Futebol,POR,1,1377.90905762,2024-07-03,2024-07-25
None,AVS Futebol,POR,1,1378.1706543,2024-07-26,2024-08-01
None,AVS Futebol,POR,1,1378.76782227,2024-08-02,2024-08-08
None,AVS Futebol,POR,1,1381.7701416,2024-08-09,2024-08-10
None,AVS Futebol,POR,1,1380.2532959,2024-08-11,2024-08-15
None,AVS Futebol,POR,1,1385.64221191,2024-08-16,2024-08-16
None,AVS Futebol,POR,1,1378.0534668,2024-08-17,2024-08-21
None,AVS Futebol,POR,1,1378.75036621,2024-08-22,2024-08-22
None,AVS Futebol,POR,1,1379.45800781,2024-08-23,2024-08-25
None,AVS Futebol,POR,1,1391.85351562,2024-08-26,2024-08-29
None,AVS Futebol,POR,1,1394.04846191,2024-08-30,2024-08-31
None,AVS Futebol,POR,1,1387.97973633,2024-09-01,2024-09-14
None,AVS Futebol,POR,1,1397.22277832,2024-09-15,2024-09-17
None,AVS Futebol,POR,1,1399.53356934,2024-09-18,2024-09-19
None,AVS Futebol,POR,1,1401.62194824,2024-09-20,2024-09-22
None,AVS Futebol,POR,1,1400.52319336,2024-09-23,2024-09-25
None,AVS Futebol,POR,1,1396.03051758,2024-09-26,2024-09-26
None,AVS Futebol,POR,1,1397.8963623,2024-09-27,2024-09-30
None,AVS Futebol,POR,1,1396.14404297,2024-10-01,2024-10-01
None,AVS Futebol,POR,1,1396.5045166,2024-10-02,2024-10-02
None,AVS Futebol,POR,1,1403.60327148,2024-10-03,2024-10-03
None,AVS Futebol,POR,1,1397.91552734,2024-10-04,2024-10-05
None,AVS Futebol,POR,1,1402.06494141,2024-10-06,2024-10-22
None,AVS Futebol,POR,1,1404.11315918,2024-10-23,2024-10-23
None,AVS Futebol,POR,1,1393.70397949,2024-10-24,2024-10-24
None,AVS Futebol,POR,1,1398.01062012,2024-10-25,2024-10-28
None,AVS Futebol,POR,1,1394.26086426,2024-10-29,2024-11-03
None,AVS Futebol,POR,1,1387.65698242,2024-11-04,2024-11-05
None,AVS Futebol,POR,1,1395.0489502,2024-11-06,2024-11-06
None,AVS Futebol,POR,1,1393.77307129,2024-11-07,2024-11-07
None,AVS Futebol,POR,1,1391.63317871,2024-11-08,2024-11-09
None,AVS Futebol,POR,1,1393.90356445,2024-11-10,2024-11-26
None,AVS Futebol,POR,1,1387.21179199,2024-11-27,2024-11-27
None,AVS Futebol,POR,1,1391.27697754,2024-11-28,2024-11-28
None,AVS Futebol,POR,1,1393.15515137,2024-11-29,2024-12-01
None,AVS Futebol,POR,1,1389.62683105,2024-12-02,2024-12-08
None,AVS Futebol,POR,1,1392.91015625,2024-12-09,2024-12-10
None,AVS Futebol,POR,1,1389.43664551,2024-12-11,2024-12-11
None,AVS Futebol,POR,1,1388.04589844,2024-12-12,2024-12-12
None,AVS Futebol,POR,1,1390.72314453,2024-12-13,2024-12-15
None,AVS Futebol,POR,1,1398.34741211,2024-12-16,2024-12-19
None,AVS Futebol,POR,1,1399.58776855,2024-12-20,2024-12-21
None,AVS Futebol,POR,1,1401.31140137,2024-12-22,2024-12-28
None,AVS Futebol,POR,1,1399.63745117,2024-12-29,2024-12-31
None,AVS Futebol,POR,1,1399.63745117,2025-01-01,2025-01-04
None,AVS Futebol,POR,1,1403.89074707,2025-01-05,2025-01-19
None,AVS Futebol,POR,1,1394.63122559,2025-01-20,2025-01-21
None,AVS Futebol,POR,1,1391.84204102,2025-01-22,2025-01-22
None,AVS Futebol,POR,1,1388.90148926,2025-01-23,2025-01-23
None,AVS Futebol,POR,1,1382.3125,2025-01-24,2025-01-27
None,AVS Futebol,POR,1,1391.11083984,2025-01-28,2025-01-29
None,AVS Futebol,POR,1,1396.94580078,2025-01-30,2025-01-30
None,AVS Futebol,POR,1,1404.33007812,2025-01-31,2025-02-01
None,AVS Futebol,POR,1,1400.27124023,2025-02-02,2025-02-08
None,AVS Futebol,POR,1,1392.1583252,2025-02-09,2025-02-11
None,AVS Futebol,POR,1,1385.23754883,2025-02-12,2025-02-12
None,AVS Futebol,POR,1,1387.96435547,2025-02-13,2025-02-13
None,AVS Futebol,POR,1,1387.18981934,2025-02-14,2025-02-16
None,AVS Futebol,POR,1,1391.23950195,2025-02-17,2025-02-18
None,AVS Futebol,POR,1,1391.8692627,2025-02-19,2025-02-19
None,AVS Futebol,POR,1,1391.0949707,2025-02-20,2025-02-20
None,AVS Futebol,POR,1,1388.76318359,2025-02-21,2025-02-23
None,AVS Futebol,POR,1,1396.22937012,2025-02-24,2025-03-02
None,AVS Futebol,POR,1,1405.84985352,2025-03-03,2025-03-05
None,AVS Futebol,POR,1,1404.4276123,2025-03-06,2025-03-06
