Rank,Club,Country,Level,Elo,From,To
None,Almere,NED,1,1404.52941895,2023-07-01,2023-07-27
None,Almere,NED,1,1404.76965332,2023-07-28,2023-08-03
None,Almere,NED,1,1405.4197998,2023-08-04,2023-08-08
None,Almere,NED,1,1407.71716309,2023-08-09,2023-08-10
None,Almere,NED,1,1408.05358887,2023-08-11,2023-08-13
None,Almere,NED,1,1401.53955078,2023-08-14,2023-08-15
None,Almere,NED,1,1403.10656738,2023-08-16,2023-08-17
None,Almere,NED,1,1403.60131836,2023-08-18,2023-08-19
None,Almere,NED,1,1397.4354248,2023-08-20,2023-08-22
None,Almere,NED,1,1397.71264648,2023-08-23,2023-08-24
None,Almere,NED,1,1391.92358398,2023-08-25,2023-08-27
None,Almere,NED,1,1389.47045898,2023-08-28,2023-08-30
None,Almere,NED,1,1393.49731445,2023-08-31,2023-08-31
None,Almere,NED,1,1387.61083984,2023-09-01,2023-09-02
None,Almere,NED,1,1378.34020996,2023-09-03,2023-09-17
None,Almere,NED,1,1379.96679688,2023-09-18,2023-09-19
None,Almere,NED,1,1381.82092285,2023-09-20,2023-09-20
None,Almere,NED,1,1379.62548828,2023-09-21,2023-09-21
None,Almere,NED,1,1372.76989746,2023-09-22,2023-09-23
None,Almere,NED,1,1369.49633789,2023-09-24,2023-09-30
None,Almere,NED,1,1387.36230469,2023-10-01,2023-10-03
None,Almere,NED,1,1386.05517578,2023-10-04,2023-10-04
None,Almere,NED,1,1384.56140137,2023-10-05,2023-10-05
None,Almere,NED,1,1385.37304688,2023-10-06,2023-10-07
None,Almere,NED,1,1392.61169434,2023-10-08,2023-10-21
None,Almere,NED,1,1395.25463867,2023-10-22,2023-10-24
None,Almere,NED,1,1395.61547852,2023-10-25,2023-10-25
None,Almere,NED,1,1399.09179688,2023-10-26,2023-10-26
None,Almere,NED,1,1393.98742676,2023-10-27,2023-10-28
None,Almere,NED,1,1393.88098145,2023-10-29,2023-11-05
None,Almere,NED,1,1407.03259277,2023-11-06,2023-11-07
None,Almere,NED,1,1404.76818848,2023-11-08,2023-11-08
None,Almere,NED,1,1406.65466309,2023-11-09,2023-11-09
None,Almere,NED,1,1402.62646484,2023-11-10,2023-11-12
None,Almere,NED,1,1407.58239746,2023-11-13,2023-11-26
None,Almere,NED,1,1384.04272461,2023-11-27,2023-11-28
None,Almere,NED,1,1380.36328125,2023-11-29,2023-11-29
None,Almere,NED,1,1383.58081055,2023-11-30,2023-11-30
None,Almere,NED,1,1382.21813965,2023-12-01,2023-12-01
None,Almere,NED,1,1373.54638672,2023-12-02,2023-12-09
None,Almere,NED,1,1369.71276855,2023-12-10,2023-12-12
None,Almere,NED,1,1370.26916504,2023-12-13,2023-12-13
None,Almere,NED,1,1366.86767578,2023-12-14,2023-12-14
None,Almere,NED,1,1364.22631836,2023-12-15,2023-12-17
None,Almere,NED,1,1382.01208496,2023-12-18,2023-12-31
None,Almere,NED,1,1382.01208496,2024-01-01,2024-01-14
None,Almere,NED,1,1390.12304688,2024-01-15,2024-01-24
None,Almere,NED,1,1388.30041504,2024-01-25,2024-01-27
None,Almere,NED,1,1387.27526855,2024-01-28,2024-02-02
None,Almere,NED,1,1393.97131348,2024-02-03,2024-02-10
None,Almere,NED,1,1397.32641602,2024-02-11,2024-02-15
None,Almere,NED,1,1395.28027344,2024-02-16,2024-02-17
None,Almere,NED,1,1405.72888184,2024-02-18,2024-02-20
None,Almere,NED,1,1404.93505859,2024-02-21,2024-02-22
None,Almere,NED,1,1410.68078613,2024-02-23,2024-02-25
None,Almere,NED,1,1407.3939209,2024-02-26,2024-03-03
None,Almere,NED,1,1407.81604004,2024-03-04,2024-03-07
None,Almere,NED,1,1407.68981934,2024-03-08,2024-03-09
None,Almere,NED,1,1409.32653809,2024-03-10,2024-03-13
None,Almere,NED,1,1405.75036621,2024-03-14,2024-03-14
None,Almere,NED,1,1403.61865234,2024-03-15,2024-03-16
None,Almere,NED,1,1403.92126465,2024-03-17,2024-03-31
None,Almere,NED,1,1399.40917969,2024-04-01,2024-04-04
None,Almere,NED,1,1400.46252441,2024-04-05,2024-04-07
None,Almere,NED,1,1403.8861084,2024-04-08,2024-04-13
None,Almere,NED,1,1396.37976074,2024-04-14,2024-04-24
None,Almere,NED,1,1393.16149902,2024-04-25,2024-05-03
None,Almere,NED,1,1392.79309082,2024-05-04,2024-05-12
None,Almere,NED,1,1388.94763184,2024-05-13,2024-05-19
None,Almere,NED,1,1377.86914062,2024-05-20,2024-07-25
None,Almere,NED,1,1376.82702637,2024-07-26,2024-08-01
None,Almere,NED,1,1374.16003418,2024-08-02,2024-08-06
None,Almere,NED,1,1372.96960449,2024-08-07,2024-08-08
