Rank,Club,Country,Level,Elo,From,To
None,Alverca,POR,1,1356.76391602,1998-07-01,1998-08-12
None,Alverca,POR,1,1360.19921875,1998-08-13,1998-08-23
None,Alverca,POR,1,1364.77185059,1998-08-24,1998-08-26
None,Alverca,POR,1,1364.14611816,1998-08-27,1998-08-30
None,Alverca,POR,1,1367.06384277,1998-08-31,1998-09-13
None,Alverca,POR,1,1362.10559082,1998-09-14,1998-09-15
None,Alverca,POR,1,1351.04602051,1998-09-16,1998-09-16
None,Alverca,POR,1,1347.52563477,1998-09-17,1998-09-17
None,Alverca,POR,1,1347.11865234,1998-09-18,1998-09-20
None,Alverca,POR,1,1348.33483887,1998-09-21,1998-09-27
None,Alverca,POR,1,1354.80480957,1998-09-28,1998-09-29
None,Alverca,POR,1,1356.85888672,1998-09-30,1998-09-30
None,Alverca,POR,1,1358.22912598,1998-10-01,1998-10-01
None,Alverca,POR,1,1359.82873535,1998-10-02,1998-10-04
None,Alverca,POR,1,1354.2635498,1998-10-05,1998-10-17
None,Alverca,POR,1,1362.64477539,1998-10-18,1998-10-21
None,Alverca,POR,1,1357.17858887,1998-10-22,1998-10-22
None,Alverca,POR,1,1354.60144043,1998-10-23,1998-10-25
None,Alverca,POR,1,1361.17102051,1998-10-26,1998-11-01
None,Alverca,POR,1,1365.48352051,1998-11-02,1998-11-04
None,Alverca,POR,1,1357.9440918,1998-11-05,1998-11-05
None,Alverca,POR,1,1357.57922363,1998-11-06,1998-11-07
None,Alverca,POR,1,1362.79821777,1998-11-08,1998-11-15
None,Alverca,POR,1,1360.4029541,1998-11-16,1998-11-22
None,Alverca,POR,1,1352.42016602,1998-11-23,1998-11-25
None,Alverca,POR,1,1355.18359375,1998-11-26,1998-11-29
None,Alverca,POR,1,1359.79174805,1998-11-30,1998-12-06
None,Alverca,POR,1,1356.22546387,1998-12-07,1998-12-09
None,Alverca,POR,1,1363.42346191,1998-12-10,1998-12-13
None,Alverca,POR,1,1358.87756348,1998-12-14,1998-12-20
None,Alverca,POR,1,1372.93286133,1998-12-21,1999-01-03
None,Alverca,POR,1,1368.85876465,1999-01-04,1999-01-17
None,Alverca,POR,1,1374.10217285,1999-01-18,1999-01-23
None,Alverca,POR,1,1371.24304199,1999-01-24,1999-01-31
None,Alverca,POR,1,1356.76318359,1999-02-01,1999-02-07
None,Alverca,POR,1,1362.82287598,1999-02-08,1999-02-13
None,Alverca,POR,1,1362.08056641,1999-02-14,1999-02-21
None,Alverca,POR,1,1360.95397949,1999-02-22,1999-02-28
None,Alverca,POR,1,1355.50268555,1999-03-01,1999-03-14
None,Alverca,POR,1,1347.98339844,1999-03-15,1999-03-21
