Rank,Club,Country,Level,Elo,From,To
None,Arouca,POR,1,1426.42834473,2013-07-01,2013-08-01
None,Arouca,POR,1,1425.28149414,2013-08-02,2013-08-08
None,Arouca,POR,1,1427.16418457,2013-08-09,2013-08-18
None,Arouca,POR,1,1421.65478516,2013-08-19,2013-08-20
None,Arouca,POR,1,1418.97802734,2013-08-21,2013-08-22
None,Arouca,POR,1,1421.45019531,2013-08-23,2013-08-25
None,Arouca,POR,1,1415.67089844,2013-08-26,2013-08-28
None,Arouca,POR,1,1415.39343262,2013-08-29,2013-08-29
None,Arouca,POR,1,1406.73962402,2013-08-30,2013-09-01
None,Arouca,POR,1,1416.62109375,2013-09-02,2013-09-15
None,Arouca,POR,1,1429.35046387,2013-09-16,2013-09-17
None,Arouca,POR,1,1430.84472656,2013-09-18,2013-09-18
None,Arouca,POR,1,1431.8314209,2013-09-19,2013-09-19
None,Arouca,POR,1,1430.24682617,2013-09-20,2013-09-20
None,Arouca,POR,1,1425.58496094,2013-09-21,2013-09-28
None,Arouca,POR,1,1427.80187988,2013-09-29,2013-10-01
None,Arouca,POR,1,1424.19238281,2013-10-02,2013-10-02
None,Arouca,POR,1,1419.98974609,2013-10-03,2013-10-03
None,Arouca,POR,1,1418.85327148,2013-10-04,2013-10-06
None,Arouca,POR,1,1417.13720703,2013-10-07,2013-10-22
None,Arouca,POR,1,1412.84997559,2013-10-23,2013-10-23
None,Arouca,POR,1,1411.22900391,2013-10-24,2013-10-24
None,Arouca,POR,1,1408.74572754,2013-10-25,2013-10-26
None,Arouca,POR,1,1402.47583008,2013-10-27,2013-11-03
None,Arouca,POR,1,1403.79882812,2013-11-04,2013-11-05
None,Arouca,POR,1,1400.64880371,2013-11-06,2013-11-06
None,Arouca,POR,1,1400.92382812,2013-11-07,2013-11-07
None,Arouca,POR,1,1398.14770508,2013-11-08,2013-11-24
None,Arouca,POR,1,1391.75793457,2013-11-25,2013-11-26
None,Arouca,POR,1,1389.07910156,2013-11-27,2013-11-27
None,Arouca,POR,1,1390.8371582,2013-11-28,2013-11-28
None,Arouca,POR,1,1394.55895996,2013-11-29,2013-12-01
None,Arouca,POR,1,1388.07177734,2013-12-02,2013-12-06
None,Arouca,POR,1,1396.85754395,2013-12-07,2013-12-10
None,Arouca,POR,1,1399.47485352,2013-12-11,2013-12-11
None,Arouca,POR,1,1397.28894043,2013-12-12,2013-12-12
None,Arouca,POR,1,1392.328125,2013-12-13,2013-12-15
None,Arouca,POR,1,1383.6348877,2013-12-16,2013-12-22
None,Arouca,POR,1,1402.61352539,2013-12-23,2014-01-12
None,Arouca,POR,1,1412.53833008,2014-01-13,2014-01-18
None,Arouca,POR,1,1408.68676758,2014-01-19,2014-01-31
None,Arouca,POR,1,1413.70983887,2014-02-01,2014-02-09
None,Arouca,POR,1,1416.82873535,2014-02-10,2014-02-16
None,Arouca,POR,1,1419.65124512,2014-02-17,2014-02-20
None,Arouca,POR,1,1418.31188965,2014-02-21,2014-02-22
None,Arouca,POR,1,1423.39257812,2014-02-23,2014-02-27
None,Arouca,POR,1,1428.18078613,2014-02-28,2014-03-03
None,Arouca,POR,1,1412.46313477,2014-03-04,2014-03-09
None,Arouca,POR,1,1410.63867188,2014-03-10,2014-03-13
None,Arouca,POR,1,1417.61901855,2014-03-14,2014-03-16
None,Arouca,POR,1,1426.80969238,2014-03-17,2014-03-20
None,Arouca,POR,1,1428.56323242,2014-03-21,2014-03-23
None,Arouca,POR,1,1420.71691895,2014-03-24,2014-03-30
None,Arouca,POR,1,1428.50256348,2014-03-31,2014-04-03
None,Arouca,POR,1,1430.96008301,2014-04-04,2014-04-06
None,Arouca,POR,1,1426.47241211,2014-04-07,2014-04-10
None,Arouca,POR,1,1419.4831543,2014-04-11,2014-04-13
None,Arouca,POR,1,1417.72180176,2014-04-14,2014-04-17
None,Arouca,POR,1,1429.07128906,2014-04-18,2014-04-24
None,Arouca,POR,1,1430.74865723,2014-04-25,2014-05-01
None,Arouca,POR,1,1433.43652344,2014-05-02,2014-05-04
None,Arouca,POR,1,1439.92175293,2014-05-05,2014-05-10
None,Arouca,POR,1,1432.81079102,2014-05-11,2014-05-14
