Rank,Club,Country,Level,Elo,From,To
None,Breda,NED,1,1069.13220215,1956-07-01,1956-09-02
None,Breda,NED,1,1063.97338867,1956-09-03,1956-09-09
None,Breda,NED,1,1060.99279785,1956-09-10,1956-09-23
None,Breda,NED,1,1068.35107422,1956-09-24,1956-09-30
None,Breda,NED,1,1085.26574707,1956-10-01,1956-10-07
None,Breda,NED,1,1092.26220703,1956-10-08,1956-10-21
None,Breda,NED,1,1093.32287598,1956-10-22,1956-10-28
None,Breda,NED,1,1098.59448242,1956-10-29,1956-11-01
None,Breda,NED,1,1098.57275391,1956-11-02,1956-11-11
None,Breda,NED,1,1086.82214355,1956-11-12,1956-11-14
None,Breda,NED,1,1086.77453613,1956-11-15,1956-11-18
None,Breda,NED,1,1091.09619141,1956-11-19,1956-11-25
None,Breda,NED,1,1094.25341797,1956-11-26,1956-12-02
None,Breda,NED,1,1098.49499512,1956-12-03,1956-12-09
None,Breda,NED,1,1079.00891113,1956-12-10,1956-12-16
None,Breda,NED,1,1078.51782227,1956-12-17,1956-12-23
None,Breda,NED,1,1102.59533691,1956-12-24,1956-12-30
None,Breda,NED,1,1089.36242676,1956-12-31,1957-01-06
None,Breda,NED,1,1083.73364258,1957-01-07,1957-01-13
None,Breda,NED,1,1081.61242676,1957-01-14,1957-01-20
None,Breda,NED,1,1079.60632324,1957-01-21,1957-01-27
None,Breda,NED,1,1073.21960449,1957-01-28,1957-02-03
None,Breda,NED,1,1083.13684082,1957-02-04,1957-02-10
None,Breda,NED,1,1073.22351074,1957-02-11,1957-02-17
None,Breda,NED,1,1081.92810059,1957-02-18,1957-03-03
None,Breda,NED,1,1069.31750488,1957-03-04,1957-03-10
None,Breda,NED,1,1085.1907959,1957-03-11,1957-03-17
None,Breda,NED,1,1082.50390625,1957-03-18,1957-03-24
None,Breda,NED,1,1075.0970459,1957-03-25,1957-03-31
None,Breda,NED,1,1075.29553223,1957-04-01,1957-04-07
None,Breda,NED,1,1085.90148926,1957-04-08,1957-04-14
None,Breda,NED,1,1091.3807373,1957-04-15,1957-04-22
None,Breda,NED,1,1082.8795166,1957-04-23,1957-05-05
None,Breda,NED,1,1099.26000977,1957-05-06,1957-05-12
None,Breda,NED,1,1094.59130859,1957-05-13,1957-05-19
None,Breda,NED,1,1102.79992676,1957-05-20,1957-06-02
None,Breda,NED,1,1091.92980957,1957-06-03,1957-08-25
None,Breda,NED,1,1084.77734375,1957-08-26,1957-09-01
None,Breda,NED,1,1093.14331055,1957-09-02,1957-09-08
None,Breda,NED,1,1076.75048828,1957-09-09,1957-09-15
None,Breda,NED,1,1089.54138184,1957-09-16,1957-09-22
None,Breda,NED,1,1101.32971191,1957-09-23,1957-09-29
None,Breda,NED,1,1111.44763184,1957-09-30,1957-10-06
None,Breda,NED,1,1090.01831055,1957-10-07,1957-10-13
None,Breda,NED,1,1075.66064453,1957-10-14,1957-10-20
None,Breda,NED,1,1066.92858887,1957-10-21,1957-10-27
None,Breda,NED,1,1060.18127441,1957-10-28,1957-11-03
None,Breda,NED,1,1046.91040039,1957-11-04,1957-11-10
None,Breda,NED,1,1042.62817383,1957-11-11,1957-11-20
None,Breda,NED,1,1094.35803223,1957-11-21,1957-11-24
None,Breda,NED,1,1083.18151855,1957-11-25,1957-11-27
None,Breda,NED,1,1103.30358887,1957-11-28,1957-12-01
None,Breda,NED,1,1107.04455566,1957-12-02,1957-12-08
None,Breda,NED,1,1118.30529785,1957-12-09,1957-12-15
None,Breda,NED,1,1112.39709473,1957-12-16,1957-12-22
None,Breda,NED,1,1120.04382324,1957-12-23,1958-01-19
None,Breda,NED,1,1130.89550781,1958-01-20,1958-02-02
None,Breda,NED,1,1139.59094238,1958-02-03,1958-02-05
None,Breda,NED,1,1139.70837402,1958-02-06,1958-02-09
None,Breda,NED,1,1132.25671387,1958-02-10,1958-02-16
None,Breda,NED,1,1138.21105957,1958-02-17,1958-02-23
None,Breda,NED,1,1149.24389648,1958-02-24,1958-02-26
None,Breda,NED,1,1148.91174316,1958-02-27,1958-03-16
None,Breda,NED,1,1149.03857422,1958-03-17,1958-03-23
None,Breda,NED,1,1145.46447754,1958-03-24,1958-03-30
None,Breda,NED,1,1143.09301758,1958-03-31,1958-04-07
None,Breda,NED,1,1138.04125977,1958-04-08,1958-04-20
None,Breda,NED,1,1131.18688965,1958-04-21,1958-04-27
None,Breda,NED,1,1143.08666992,1958-04-28,1958-05-11
None,Breda,NED,1,1153.26818848,1958-05-12,1958-05-15
None,Breda,NED,1,1145.94836426,1958-05-16,1958-05-18
None,Breda,NED,1,1157.41210938,1958-05-19,1958-05-26
None,Breda,NED,1,1169.77185059,1958-05-27,1958-06-01
