Rank,Club,Country,Level,Elo,From,To
None,Casa Pia,POR,1,1424.7598877,1939-01-08,1939-01-08
None,Casa Pia,POR,1,1409.72180176,1939-01-09,1939-01-15
None,Casa Pia,POR,1,1398.08557129,1939-01-16,1939-01-22
None,Casa Pia,POR,1,1390.72436523,1939-01-23,1939-01-29
None,Casa Pia,POR,1,1376.73193359,1939-01-30,1939-02-05
None,Casa Pia,POR,1,1365.05688477,1939-02-06,1939-02-19
None,Casa Pia,POR,1,1347.05688477,1939-02-20,1939-02-26
None,Casa Pia,POR,1,1338.73742676,1939-02-27,1939-03-05
None,Casa Pia,POR,1,1325.55358887,1939-03-06,1939-03-12
None,Casa Pia,POR,1,1321.8112793,1939-03-13,1939-03-19
None,Casa Pia,POR,1,1313.56420898,1939-03-20,1939-03-26
None,Casa Pia,POR,1,1320.76928711,1939-03-27,1939-04-02
None,Casa Pia,POR,1,1315.76123047,1939-04-03,1939-04-09
None,Casa Pia,POR,1,1309.41137695,1939-04-10,1939-04-16
None,Casa Pia,POR,1,1301.51196289,1939-04-17,1939-04-23
None,Casa Pia,POR,1,1293.92260742,1939-04-24,1940-01-20
None,Casa Pia,POR,1,1399.84716797,2022-07-01,2022-07-21
None,Casa Pia,POR,1,1401.35827637,2022-07-22,2022-07-28
None,Casa Pia,POR,1,1402.03027344,2022-07-29,2022-08-02
None,Casa Pia,POR,1,1403.79785156,2022-08-03,2022-08-03
None,Casa Pia,POR,1,1403.82275391,2022-08-04,2022-08-04
None,Casa Pia,POR,1,1400.15258789,2022-08-05,2022-08-07
None,Casa Pia,POR,1,1403.89074707,2022-08-08,2022-08-09
None,Casa Pia,POR,1,1405.09375,2022-08-10,2022-08-10
None,Casa Pia,POR,1,1404.64343262,2022-08-11,2022-08-11
None,Casa Pia,POR,1,1407.05493164,2022-08-12,2022-08-13
None,Casa Pia,POR,1,1405.28918457,2022-08-14,2022-08-17
None,Casa Pia,POR,1,1407.85192871,2022-08-18,2022-08-18
None,Casa Pia,POR,1,1405.12658691,2022-08-19,2022-08-21
None,Casa Pia,POR,1,1417.93640137,2022-08-22,2022-08-23
None,Casa Pia,POR,1,1419.93737793,2022-08-24,2022-08-25
None,Casa Pia,POR,1,1418.63708496,2022-08-26,2022-08-29
None,Casa Pia,POR,1,1430.41210938,2022-08-30,2022-09-04
None,Casa Pia,POR,1,1428.24523926,2022-09-05,2022-09-06
None,Casa Pia,POR,1,1429.75939941,2022-09-07,2022-09-07
None,Casa Pia,POR,1,1434.06713867,2022-09-08,2022-09-08
None,Casa Pia,POR,1,1436.58361816,2022-09-09,2022-09-11
None,Casa Pia,POR,1,1445.4453125,2022-09-12,2022-09-13
None,Casa Pia,POR,1,1439.93164062,2022-09-14,2022-09-14
None,Casa Pia,POR,1,1443.47277832,2022-09-15,2022-09-15
None,Casa Pia,POR,1,1446.6262207,2022-09-16,2022-09-18
None,Casa Pia,POR,1,1454.63598633,2022-09-19,2022-10-03
None,Casa Pia,POR,1,1463.18530273,2022-10-04,2022-10-04
None,Casa Pia,POR,1,1460.93505859,2022-10-05,2022-10-05
None,Casa Pia,POR,1,1461.09851074,2022-10-06,2022-10-06
None,Casa Pia,POR,1,1456.15222168,2022-10-07,2022-10-09
None,Casa Pia,POR,1,1445.59179688,2022-10-10,2022-10-11
None,Casa Pia,POR,1,1447.09643555,2022-10-12,2022-10-12
None,Casa Pia,POR,1,1447.03039551,2022-10-13,2022-10-13
None,Casa Pia,POR,1,1446.92883301,2022-10-14,2022-10-22
None,Casa Pia,POR,1,1444.5411377,2022-10-23,2022-10-25
None,Casa Pia,POR,1,1446.32995605,2022-10-26,2022-10-26
None,Casa Pia,POR,1,1453.1114502,2022-10-27,2022-10-27
None,Casa Pia,POR,1,1451.3651123,2022-10-28,2022-10-30
None,Casa Pia,POR,1,1458.09350586,2022-10-31,2022-11-01
None,Casa Pia,POR,1,1457.05847168,2022-11-02,2022-11-02
None,Casa Pia,POR,1,1460.18676758,2022-11-03,2022-11-03
None,Casa Pia,POR,1,1460.98852539,2022-11-04,2022-11-06
None,Casa Pia,POR,1,1475.21472168,2022-11-07,2022-11-13
None,Casa Pia,POR,1,1465.55773926,2022-11-14,2022-12-28
None,Casa Pia,POR,1,1475.05541992,2022-12-29,2023-01-07
None,Casa Pia,POR,1,1482.36218262,2023-01-08,2023-01-16
None,Casa Pia,POR,1,1471.15100098,2023-01-17,2023-01-22
None,Casa Pia,POR,1,1458.04614258,2023-01-23,2023-01-29
None,Casa Pia,POR,1,1465.3717041,2023-01-30,2023-02-04
None,Casa Pia,POR,1,1463.62194824,2023-02-05,2023-02-13
None,Casa Pia,POR,1,1465.32263184,2023-02-14,2023-02-15
None,Casa Pia,POR,1,1466.7331543,2023-02-16,2023-02-16
None,Casa Pia,POR,1,1456.87023926,2023-02-17,2023-02-19
None,Casa Pia,POR,1,1457.3112793,2023-02-20,2023-02-22
None,Casa Pia,POR,1,1455.72924805,2023-02-23,2023-02-23
None,Casa Pia,POR,1,1458.1151123,2023-02-24,2023-02-25
None,Casa Pia,POR,1,1448.43334961,2023-02-26,2023-03-06
None,Casa Pia,POR,1,1453.83898926,2023-03-07,2023-03-07
None,Casa Pia,POR,1,1455.10229492,2023-03-08,2023-03-09
None,Casa Pia,POR,1,1455.01831055,2023-03-10,2023-03-13
None,Casa Pia,POR,1,1449.08935547,2023-03-14,2023-03-14
None,Casa Pia,POR,1,1446.78198242,2023-03-15,2023-03-16
None,Casa Pia,POR,1,1450.06408691,2023-03-17,2023-03-19
None,Casa Pia,POR,1,1458.47485352,2023-03-20,2023-04-01
None,Casa Pia,POR,1,1448.93310547,2023-04-02,2023-04-09
None,Casa Pia,POR,1,1446.40063477,2023-04-10,2023-04-11
None,Casa Pia,POR,1,1441.74536133,2023-04-12,2023-04-13
None,Casa Pia,POR,1,1440.54943848,2023-04-14,2023-04-16
None,Casa Pia,POR,1,1442.48937988,2023-04-17,2023-04-19
None,Casa Pia,POR,1,1441.46582031,2023-04-20,2023-04-20
None,Casa Pia,POR,1,1439.60742188,2023-04-21,2023-04-21
None,Casa Pia,POR,1,1435.85107422,2023-04-22,2023-04-29
None,Casa Pia,POR,1,1429.73168945,2023-04-30,2023-05-05
None,Casa Pia,POR,1,1427.87634277,2023-05-06,2023-05-14
None,Casa Pia,POR,1,1426.98535156,2023-05-15,2023-05-21
None,Casa Pia,POR,1,1424.46740723,2023-05-22,2023-05-27
None,Casa Pia,POR,1,1418.72033691,2023-05-28,2023-07-27
None,Casa Pia,POR,1,1419.60375977,2023-07-28,2023-08-03
None,Casa Pia,POR,1,1415.05749512,2023-08-04,2023-08-08
None,Casa Pia,POR,1,1415.59912109,2023-08-09,2023-08-10
None,Casa Pia,POR,1,1416.35021973,2023-08-11,2023-08-12
None,Casa Pia,POR,1,1432.57495117,2023-08-13,2023-08-15
None,Casa Pia,POR,1,1433.15429688,2023-08-16,2023-08-17
None,Casa Pia,POR,1,1425.72070312,2023-08-18,2023-08-18
None,Casa Pia,POR,1,1423.22192383,2023-08-19,2023-08-23
None,Casa Pia,POR,1,1424.23779297,2023-08-24,2023-08-27
None,Casa Pia,POR,1,1427.7310791,2023-08-28,2023-08-29
None,Casa Pia,POR,1,1430.1920166,2023-08-30,2023-09-02
None,Casa Pia,POR,1,1428.39916992,2023-09-03,2023-09-17
None,Casa Pia,POR,1,1439.48547363,2023-09-18,2023-09-19
None,Casa Pia,POR,1,1441.93566895,2023-09-20,2023-09-20
None,Casa Pia,POR,1,1433.36071777,2023-09-21,2023-09-21
None,Casa Pia,POR,1,1435.77600098,2023-09-22,2023-09-23
None,Casa Pia,POR,1,1436.06103516,2023-09-24,2023-10-02
None,Casa Pia,POR,1,1427.47998047,2023-10-03,2023-10-03
None,Casa Pia,POR,1,1430.44763184,2023-10-04,2023-10-04
None,Casa Pia,POR,1,1427.05993652,2023-10-05,2023-10-05
None,Casa Pia,POR,1,1423.24328613,2023-10-06,2023-10-08
None,Casa Pia,POR,1,1412.62109375,2023-10-09,2023-10-24
