Rank,Club,Country,Level,Elo,From,To
None,Emmen,NED,1,1275.10205078,2018-07-01,2018-07-25
None,Emmen,NED,1,1278.19335938,2018-07-26,2018-07-26
None,Emmen,NED,1,1274.38366699,2018-07-27,2018-08-01
None,Emmen,NED,1,1276.83996582,2018-08-02,2018-08-02
None,Emmen,NED,1,1277.69506836,2018-08-03,2018-08-07
None,Emmen,NED,1,1278.62878418,2018-08-08,2018-08-09
None,Emmen,NED,1,1264.01452637,2018-08-10,2018-08-12
None,Emmen,NED,1,1276.22814941,2018-08-13,2018-08-14
None,Emmen,NED,1,1279.70385742,2018-08-15,2018-08-16
None,Emmen,NED,1,1275.60229492,2018-08-17,2018-08-19
None,Emmen,NED,1,1269.16015625,2018-08-20,2018-08-21
None,Emmen,NED,1,1271.66967773,2018-08-22,2018-08-22
None,Emmen,NED,1,1276.18737793,2018-08-23,2018-08-25
None,Emmen,NED,1,1274.70300293,2018-08-26,2018-08-28
None,Emmen,NED,1,1277.79150391,2018-08-29,2018-08-29
None,Emmen,NED,1,1279.32617188,2018-08-30,2018-08-31
None,Emmen,NED,1,1277.39709473,2018-09-01,2018-09-16
None,Emmen,NED,1,1291.13708496,2018-09-17,2018-09-18
None,Emmen,NED,1,1290.40185547,2018-09-19,2018-09-19
None,Emmen,NED,1,1293.23608398,2018-09-20,2018-09-23
None,Emmen,NED,1,1284.83422852,2018-09-24,2018-09-30
None,Emmen,NED,1,1281.29821777,2018-10-01,2018-10-02
None,Emmen,NED,1,1284.5111084,2018-10-03,2018-10-03
None,Emmen,NED,1,1280.6036377,2018-10-04,2018-10-07
None,Emmen,NED,1,1278.97937012,2018-10-08,2018-10-20
None,Emmen,NED,1,1277.23937988,2018-10-21,2018-10-23
None,Emmen,NED,1,1279.89550781,2018-10-24,2018-10-24
None,Emmen,NED,1,1281.03295898,2018-10-25,2018-10-26
None,Emmen,NED,1,1280.59082031,2018-10-27,2018-11-04
None,Emmen,NED,1,1285.52648926,2018-11-05,2018-11-06
None,Emmen,NED,1,1284.52587891,2018-11-07,2018-11-07
None,Emmen,NED,1,1285.22143555,2018-11-08,2018-11-10
None,Emmen,NED,1,1294.81640625,2018-11-11,2018-11-25
None,Emmen,NED,1,1285.9230957,2018-11-26,2018-11-27
None,Emmen,NED,1,1289.37109375,2018-11-28,2018-11-28
None,Emmen,NED,1,1287.96655273,2018-11-29,2018-12-01
None,Emmen,NED,1,1294.65380859,2018-12-02,2018-12-09
None,Emmen,NED,1,1289.44042969,2018-12-10,2018-12-11
None,Emmen,NED,1,1291.52001953,2018-12-12,2018-12-12
None,Emmen,NED,1,1292.19848633,2018-12-13,2018-12-16
None,Emmen,NED,1,1304.47241211,2018-12-17,2018-12-23
None,Emmen,NED,1,1292.65661621,2018-12-24,2019-01-20
None,Emmen,NED,1,1300.43664551,2019-01-21,2019-01-26
None,Emmen,NED,1,1311.65917969,2019-01-27,2019-02-02
None,Emmen,NED,1,1306.64038086,2019-02-03,2019-02-10
None,Emmen,NED,1,1314.66540527,2019-02-11,2019-02-13
None,Emmen,NED,1,1313.16882324,2019-02-14,2019-02-17
None,Emmen,NED,1,1307.39831543,2019-02-18,2019-02-24
None,Emmen,NED,1,1297.55944824,2019-02-25,2019-03-03
None,Emmen,NED,1,1294.18554688,2019-03-04,2019-03-05
None,Emmen,NED,1,1308.24243164,2019-03-06,2019-03-10
None,Emmen,NED,1,1308.84985352,2019-03-11,2019-03-15
None,Emmen,NED,1,1300.56677246,2019-03-16,2019-03-31
None,Emmen,NED,1,1292.56225586,2019-04-01,2019-04-03
None,Emmen,NED,1,1290.89782715,2019-04-04,2019-04-07
None,Emmen,NED,1,1303.90844727,2019-04-08,2019-04-10
None,Emmen,NED,1,1303.59765625,2019-04-11,2019-04-12
None,Emmen,NED,1,1305.47229004,2019-04-13,2019-04-16
None,Emmen,NED,1,1314.21838379,2019-04-17,2019-04-20
None,Emmen,NED,1,1329.4354248,2019-04-21,2019-04-23
None,Emmen,NED,1,1323.02978516,2019-04-24,2019-04-30
None,Emmen,NED,1,1327.90441895,2019-05-01,2019-05-08
None,Emmen,NED,1,1320.55651855,2019-05-09,2019-05-12
None,Emmen,NED,1,1332.80895996,2019-05-13,2019-05-15
