Rank,Club,Country,Level,Elo,From,To
None,Estrela Amadora,POR,1,1316.21936035,1988-07-03,1988-08-21
None,Estrela Amadora,POR,1,1311.63720703,1988-08-22,1988-08-28
None,Estrela Amadora,POR,1,1299.73046875,1988-08-29,1988-09-04
None,Estrela Amadora,POR,1,1296.41674805,1988-09-05,1988-09-07
None,Estrela Amadora,POR,1,1311.12280273,1988-09-08,1988-09-11
None,Estrela Amadora,POR,1,1320.25854492,1988-09-12,1988-09-18
None,Estrela Amadora,POR,1,1327.11474609,1988-09-19,1988-09-25
None,Estrela Amadora,POR,1,1323.33007812,1988-09-26,1988-10-01
None,Estrela Amadora,POR,1,1327.97692871,1988-10-02,1988-10-05
None,Estrela Amadora,POR,1,1336.42468262,1988-10-06,1988-10-09
None,Estrela Amadora,POR,1,1334.07788086,1988-10-10,1988-10-11
None,Estrela Amadora,POR,1,1338.9486084,1988-10-12,1988-10-16
None,Estrela Amadora,POR,1,1346.78686523,1988-10-17,1988-10-23
None,Estrela Amadora,POR,1,1344.3425293,1988-10-24,1988-10-26
None,Estrela Amadora,POR,1,1330.98571777,1988-10-27,1988-10-29
None,Estrela Amadora,POR,1,1339.15917969,1988-10-30,1988-11-06
None,Estrela Amadora,POR,1,1352.72143555,1988-11-07,1988-11-09
None,Estrela Amadora,POR,1,1347.14855957,1988-11-10,1988-11-20
None,Estrela Amadora,POR,1,1351.15783691,1988-11-21,1988-11-27
None,Estrela Amadora,POR,1,1365.18481445,1988-11-28,1988-12-01
None,Estrela Amadora,POR,1,1370.52978516,1988-12-02,1988-12-04
None,Estrela Amadora,POR,1,1368.58740234,1988-12-05,1988-12-11
None,Estrela Amadora,POR,1,1365.08557129,1988-12-12,1988-12-18
None,Estrela Amadora,POR,1,1364.07275391,1988-12-19,1988-12-31
None,Estrela Amadora,POR,1,1342.80090332,1989-01-01,1989-01-08
None,Estrela Amadora,POR,1,1339.96582031,1989-01-09,1989-01-15
None,Estrela Amadora,POR,1,1337.5246582,1989-01-16,1989-01-22
None,Estrela Amadora,POR,1,1337.36828613,1989-01-23,1989-01-29
None,Estrela Amadora,POR,1,1350.76782227,1989-01-30,1989-02-04
None,Estrela Amadora,POR,1,1349.49621582,1989-02-05,1989-02-12
None,Estrela Amadora,POR,1,1361.38793945,1989-02-13,1989-02-19
None,Estrela Amadora,POR,1,1377.33508301,1989-02-20,1989-02-26
None,Estrela Amadora,POR,1,1378.62097168,1989-02-27,1989-03-05
None,Estrela Amadora,POR,1,1384.10681152,1989-03-06,1989-03-12
None,Estrela Amadora,POR,1,1380.42871094,1989-03-13,1989-03-19
None,Estrela Amadora,POR,1,1400.96166992,1989-03-20,1989-03-25
None,Estrela Amadora,POR,1,1406.74914551,1989-03-26,1989-04-02
None,Estrela Amadora,POR,1,1407.25512695,1989-04-03,1989-04-09
None,Estrela Amadora,POR,1,1404.06958008,1989-04-10,1989-04-16
None,Estrela Amadora,POR,1,1397.30981445,1989-04-17,1989-04-30
None,Estrela Amadora,POR,1,1405.4119873,1989-05-01,1989-05-07
None,Estrela Amadora,POR,1,1404.0526123,1989-05-08,1989-05-14
None,Estrela Amadora,POR,1,1409.13757324,1989-05-15,1989-05-21
None,Estrela Amadora,POR,1,1411.14526367,1989-05-22,1989-08-19
None,Estrela Amadora,POR,1,1407.62011719,1989-08-20,1989-08-27
None,Estrela Amadora,POR,1,1415.359375,1989-08-28,1989-09-09
None,Estrela Amadora,POR,1,1418.5057373,1989-09-10,1989-09-12
None,Estrela Amadora,POR,1,1415.88391113,1989-09-13,1989-09-13
None,Estrela Amadora,POR,1,1415.02758789,1989-09-14,1989-09-14
None,Estrela Amadora,POR,1,1414.75854492,1989-09-15,1989-09-24
None,Estrela Amadora,POR,1,1423.97070312,1989-09-25,1989-09-26
None,Estrela Amadora,POR,1,1420.25512695,1989-09-27,1989-09-27
None,Estrela Amadora,POR,1,1419.35998535,1989-09-28,1989-10-14
None,Estrela Amadora,POR,1,1429.52453613,1989-10-15,1989-10-18
None,Estrela Amadora,POR,1,1436.11730957,1989-10-19,1989-10-22
None,Estrela Amadora,POR,1,1432.63977051,1989-10-23,1989-10-29
None,Estrela Amadora,POR,1,1444.03369141,1989-10-30,1989-11-01
None,Estrela Amadora,POR,1,1446.9675293,1989-11-02,1989-11-05
None,Estrela Amadora,POR,1,1443.28771973,1989-11-06,1989-11-19
None,Estrela Amadora,POR,1,1433.18713379,1989-11-20,1989-11-22
None,Estrela Amadora,POR,1,1431.99975586,1989-11-23,1989-11-26
None,Estrela Amadora,POR,1,1425.83630371,1989-11-27,1989-12-03
None,Estrela Amadora,POR,1,1432.26196289,1989-12-04,1989-12-06
None,Estrela Amadora,POR,1,1428.93591309,1989-12-07,1989-12-16
None,Estrela Amadora,POR,1,1423.24157715,1989-12-17,1989-12-23
None,Estrela Amadora,POR,1,1428.24499512,1989-12-24,1989-12-30
None,Estrela Amadora,POR,1,1422.8840332,1989-12-31,1990-01-06
None,Estrela Amadora,POR,1,1424.23913574,1990-01-07,1990-01-14
None,Estrela Amadora,POR,1,1423.18798828,1990-01-15,1990-01-17
None,Estrela Amadora,POR,1,1431.4029541,1990-01-18,1990-01-28
None,Estrela Amadora,POR,1,1428.7755127,1990-01-29,1990-02-10
None,Estrela Amadora,POR,1,1430.81152344,1990-02-11,1990-02-18
None,Estrela Amadora,POR,1,1436.95593262,1990-02-19,1990-02-25
None,Estrela Amadora,POR,1,1432.61682129,1990-02-26,1990-03-04
None,Estrela Amadora,POR,1,1426.95568848,1990-03-05,1990-03-07
None,Estrela Amadora,POR,1,1427.8861084,1990-03-08,1990-03-11
None,Estrela Amadora,POR,1,1440.66088867,1990-03-12,1990-03-18
None,Estrela Amadora,POR,1,1436.55957031,1990-03-19,1990-03-21
None,Estrela Amadora,POR,1,1445.78894043,1990-03-22,1990-03-24
None,Estrela Amadora,POR,1,1435.8338623,1990-03-25,1990-04-01
None,Estrela Amadora,POR,1,1442.14941406,1990-04-02,1990-04-04
None,Estrela Amadora,POR,1,1441.39355469,1990-04-05,1990-04-08
None,Estrela Amadora,POR,1,1447.52160645,1990-04-09,1990-04-14
None,Estrela Amadora,POR,1,1441.43469238,1990-04-15,1990-04-18
None,Estrela Amadora,POR,1,1445.63256836,1990-04-19,1990-04-22
None,Estrela Amadora,POR,1,1432.29992676,1990-04-23,1990-04-25
None,Estrela Amadora,POR,1,1431.40612793,1990-04-26,1990-04-29
None,Estrela Amadora,POR,1,1437.27514648,1990-04-30,1990-05-06
None,Estrela Amadora,POR,1,1434.58850098,1990-05-07,1990-05-13
None,Estrela Amadora,POR,1,1431.13635254,1990-05-14,1990-05-20
