Rank,Club,Country,Level,Elo,From,To
None,Famalicao,POR,1,1263.1036377,1946-07-07,1946-11-24
None,Famalicao,POR,1,1258.0703125,1946-11-25,1946-12-01
None,Famalicao,POR,1,1252.6192627,1946-12-02,1946-12-08
None,Famalicao,POR,1,1260.66125488,1946-12-09,1946-12-22
None,Famalicao,POR,1,1274.07897949,1946-12-23,1946-12-29
None,Famalicao,POR,1,1270.44934082,1946-12-30,1947-01-07
None,Famalicao,POR,1,1269.44934082,1947-01-08,1947-01-12
None,Famalicao,POR,1,1268.40368652,1947-01-13,1947-01-19
None,Famalicao,POR,1,1247.86999512,1947-01-20,1947-01-27
None,Famalicao,POR,1,1271.86999512,1947-01-28,1947-02-09
None,Famalicao,POR,1,1267.13830566,1947-02-10,1947-02-16
None,Famalicao,POR,1,1260.60864258,1947-02-17,1947-02-23
None,Famalicao,POR,1,1270.45385742,1947-02-24,1947-03-02
None,Famalicao,POR,1,1277.84118652,1947-03-03,1947-03-09
None,Famalicao,POR,1,1265.07824707,1947-03-10,1947-03-16
None,Famalicao,POR,1,1263.36022949,1947-03-17,1947-03-26
None,Famalicao,POR,1,1255.36022949,1947-03-27,1947-03-30
None,Famalicao,POR,1,1254.63439941,1947-03-31,1947-04-06
None,Famalicao,POR,1,1265.75585938,1947-04-07,1947-04-13
None,Famalicao,POR,1,1262.28369141,1947-04-14,1947-04-20
None,Famalicao,POR,1,1269.23132324,1947-04-21,1947-04-27
None,Famalicao,POR,1,1260.05249023,1947-04-28,1947-05-05
None,Famalicao,POR,1,1279.05249023,1947-05-06,1947-05-11
None,Famalicao,POR,1,1274.98168945,1947-05-12,1947-05-18
None,Famalicao,POR,1,1272.88293457,1947-05-19,1947-05-26
None,Famalicao,POR,1,1255.88293457,1947-05-27,1947-06-01
None,Famalicao,POR,1,1253.75024414,1947-06-02,1947-06-08
None,Famalicao,POR,1,1249.46716309,1947-06-09,1947-06-11
None,Famalicao,POR,1,1255.35241699,1947-06-12,1947-06-22
None,Famalicao,POR,1,1265.21850586,1947-06-23,1947-06-29
None,Famalicao,POR,1,1260.19665527,1947-06-30,1947-07-02
None,Famalicao,POR,1,1253.07214355,1947-07-03,1947-11-21
None,Famalicao,POR,1,1282.90075684,1978-07-01,1978-08-27
None,Famalicao,POR,1,1275.25671387,1978-08-28,1978-09-03
None,Famalicao,POR,1,1274.00927734,1978-09-04,1978-09-10
None,Famalicao,POR,1,1279.77685547,1978-09-11,1978-09-13
None,Famalicao,POR,1,1264.12866211,1978-09-14,1978-09-17
None,Famalicao,POR,1,1272.38305664,1978-09-18,1978-09-24
None,Famalicao,POR,1,1270.37927246,1978-09-25,1978-09-27
None,Famalicao,POR,1,1272.00732422,1978-09-28,1978-10-15
None,Famalicao,POR,1,1282.85144043,1978-10-16,1978-10-18
None,Famalicao,POR,1,1279.20727539,1978-10-19,1978-10-22
None,Famalicao,POR,1,1284.09777832,1978-10-23,1978-10-29
None,Famalicao,POR,1,1281.62634277,1978-10-30,1978-11-01
None,Famalicao,POR,1,1278.53295898,1978-11-02,1978-11-05
None,Famalicao,POR,1,1265.78417969,1978-11-06,1978-11-19
None,Famalicao,POR,1,1276.76525879,1978-11-20,1978-12-03
None,Famalicao,POR,1,1284.58093262,1978-12-04,1978-12-10
None,Famalicao,POR,1,1283.83410645,1978-12-11,1978-12-17
None,Famalicao,POR,1,1281.33679199,1978-12-18,1978-12-23
None,Famalicao,POR,1,1279.51379395,1978-12-24,1978-12-30
None,Famalicao,POR,1,1287.66320801,1978-12-31,1979-01-07
None,Famalicao,POR,1,1291.89489746,1979-01-08,1979-01-21
None,Famalicao,POR,1,1310.1583252,1979-01-22,1979-01-28
None,Famalicao,POR,1,1307.15637207,1979-01-29,1979-02-11
None,Famalicao,POR,1,1300.85644531,1979-02-12,1979-02-18
None,Famalicao,POR,1,1294.91442871,1979-02-19,1979-03-04
None,Famalicao,POR,1,1291.08520508,1979-03-05,1979-03-11
None,Famalicao,POR,1,1279.66687012,1979-03-12,1979-03-25
None,Famalicao,POR,1,1275.10388184,1979-03-26,1979-04-01
None,Famalicao,POR,1,1267.30102539,1979-04-02,1979-04-08
None,Famalicao,POR,1,1272.87890625,1979-04-09,1979-05-13
