Rank,Club,Country,Level,Elo,From,To
None,Farense,POR,1,1257.66662598,1970-07-01,1970-09-13
None,Farense,POR,1,1268.47131348,1970-09-14,1970-09-16
None,Farense,POR,1,1270.71728516,1970-09-17,1970-09-20
None,Farense,POR,1,1268.70373535,1970-09-21,1970-09-27
None,Farense,POR,1,1277.09545898,1970-09-28,1970-09-29
None,Farense,POR,1,1282.96179199,1970-09-30,1970-09-30
None,Farense,POR,1,1282.98242188,1970-10-01,1970-10-04
None,Farense,POR,1,1281.01733398,1970-10-05,1970-10-18
None,Farense,POR,1,1285.50305176,1970-10-19,1970-10-21
None,Farense,POR,1,1287.26745605,1970-10-22,1970-10-25
None,Farense,POR,1,1284.3927002,1970-10-26,1970-11-01
None,Farense,POR,1,1282.90380859,1970-11-02,1970-11-04
None,Farense,POR,1,1258.32910156,1970-11-05,1970-11-08
None,Farense,POR,1,1257.89855957,1970-11-09,1970-11-15
None,Farense,POR,1,1272.54077148,1970-11-16,1970-11-22
None,Farense,POR,1,1284.58117676,1970-11-23,1970-11-29
None,Farense,POR,1,1290.66601562,1970-11-30,1970-12-06
None,Farense,POR,1,1303.44177246,1970-12-07,1970-12-13
None,Farense,POR,1,1301.80944824,1970-12-14,1970-12-20
None,Farense,POR,1,1299.18457031,1970-12-21,1970-12-27
None,Farense,POR,1,1297.67700195,1970-12-28,1971-01-03
None,Farense,POR,1,1294.79272461,1971-01-04,1971-01-10
None,Farense,POR,1,1296.84570312,1971-01-11,1971-01-31
None,Farense,POR,1,1289.72143555,1971-02-01,1971-02-07
None,Farense,POR,1,1288.23522949,1971-02-08,1971-02-21
None,Farense,POR,1,1284.95776367,1971-02-22,1971-02-28
None,Farense,POR,1,1281.7956543,1971-03-01,1971-03-21
None,Farense,POR,1,1280.74707031,1971-03-22,1971-03-28
None,Farense,POR,1,1277.71472168,1971-03-29,1971-04-04
None,Farense,POR,1,1274.37243652,1971-04-05,1971-04-25
None,Farense,POR,1,1272.21862793,1971-04-26,1971-05-02
None,Farense,POR,1,1277.03674316,1971-05-03,1971-09-12
None,Farense,POR,1,1281.43347168,1971-09-13,1971-09-14
None,Farense,POR,1,1281.37805176,1971-09-15,1971-09-15
None,Farense,POR,1,1272.93603516,1971-09-16,1971-09-19
None,Farense,POR,1,1269.35083008,1971-09-20,1971-09-26
None,Farense,POR,1,1275.7557373,1971-09-27,1971-09-28
None,Farense,POR,1,1280.64050293,1971-09-29,1971-09-29
