Rank,Club,Country,Level,Elo,From,To
None,Gil Vicente,POR,1,1373.60693359,1990-07-02,1990-08-26
None,Gil Vicente,POR,1,1382.28283691,1990-08-27,1990-09-02
None,Gil Vicente,POR,1,1386.75976562,1990-09-03,1990-09-16
None,Gil Vicente,POR,1,1391.62133789,1990-09-17,1990-09-18
None,Gil Vicente,POR,1,1393.73376465,1990-09-19,1990-09-19
None,Gil Vicente,POR,1,1379.7644043,1990-09-20,1990-09-23
None,Gil Vicente,POR,1,1379.32849121,1990-09-24,1990-09-30
None,Gil Vicente,POR,1,1395.13537598,1990-10-01,1990-10-03
None,Gil Vicente,POR,1,1391.12414551,1990-10-04,1990-10-07
None,Gil Vicente,POR,1,1386.8404541,1990-10-08,1990-10-21
None,Gil Vicente,POR,1,1384.18908691,1990-10-22,1990-10-24
None,Gil Vicente,POR,1,1388.58105469,1990-10-25,1990-10-28
None,Gil Vicente,POR,1,1395.43334961,1990-10-29,1990-11-01
None,Gil Vicente,POR,1,1394.37390137,1990-11-02,1990-11-04
None,Gil Vicente,POR,1,1386.25793457,1990-11-05,1990-11-07
None,Gil Vicente,POR,1,1392.73168945,1990-11-08,1990-11-11
None,Gil Vicente,POR,1,1389.22119141,1990-11-12,1990-11-14
None,Gil Vicente,POR,1,1385.17578125,1990-11-15,1990-11-18
None,Gil Vicente,POR,1,1391.76342773,1990-11-19,1990-11-25
None,Gil Vicente,POR,1,1386.60864258,1990-11-26,1990-11-28
None,Gil Vicente,POR,1,1392.35961914,1990-11-29,1990-12-02
None,Gil Vicente,POR,1,1388.87609863,1990-12-03,1990-12-09
None,Gil Vicente,POR,1,1394.35949707,1990-12-10,1990-12-12
None,Gil Vicente,POR,1,1394.82275391,1990-12-13,1990-12-18
None,Gil Vicente,POR,1,1391.81750488,1990-12-19,1990-12-23
None,Gil Vicente,POR,1,1391.23950195,1990-12-24,1990-12-30
None,Gil Vicente,POR,1,1403.20092773,1990-12-31,1991-01-06
None,Gil Vicente,POR,1,1400.4140625,1991-01-07,1991-01-12
None,Gil Vicente,POR,1,1396.12072754,1991-01-13,1991-01-27
None,Gil Vicente,POR,1,1393.0592041,1991-01-28,1991-02-02
None,Gil Vicente,POR,1,1386.21496582,1991-02-03,1991-02-23
None,Gil Vicente,POR,1,1381.91870117,1991-02-24,1991-03-03
None,Gil Vicente,POR,1,1379.15710449,1991-03-04,1991-03-06
None,Gil Vicente,POR,1,1386.60900879,1991-03-07,1991-03-10
None,Gil Vicente,POR,1,1382.53161621,1991-03-11,1991-03-17
None,Gil Vicente,POR,1,1397.74060059,1991-03-18,1991-03-20
None,Gil Vicente,POR,1,1390.79821777,1991-03-21,1991-03-24
None,Gil Vicente,POR,1,1384.00891113,1991-03-25,1991-03-30
None,Gil Vicente,POR,1,1380.73388672,1991-03-31,1991-04-03
None,Gil Vicente,POR,1,1376.05517578,1991-04-04,1991-04-07
None,Gil Vicente,POR,1,1383.03320312,1991-04-08,1991-04-10
None,Gil Vicente,POR,1,1382.4864502,1991-04-11,1991-04-14
None,Gil Vicente,POR,1,1378.21801758,1991-04-15,1991-04-21
None,Gil Vicente,POR,1,1382.96228027,1991-04-22,1991-04-24
None,Gil Vicente,POR,1,1380.75256348,1991-04-25,1991-04-28
None,Gil Vicente,POR,1,1394.26416016,1991-04-29,1991-05-05
None,Gil Vicente,POR,1,1392.40246582,1991-05-06,1991-05-12
