Rank,Club,Country,Level,Elo,From,To
None,Go Ahead Eagles,NED,1,1247.51513672,1963-07-03,1963-08-25
None,Go Ahead Eagles,NED,1,1237.08630371,1963-08-26,1963-09-01
None,Go Ahead Eagles,NED,1,1233.19494629,1963-09-02,1963-09-08
None,Go Ahead Eagles,NED,1,1226.14465332,1963-09-09,1963-09-15
None,Go Ahead Eagles,NED,1,1248.41503906,1963-09-16,1963-09-22
None,Go Ahead Eagles,NED,1,1256.59814453,1963-09-23,1963-09-25
None,Go Ahead Eagles,NED,1,1270.44519043,1963-09-26,1963-10-06
None,Go Ahead Eagles,NED,1,1286.80725098,1963-10-07,1963-10-09
None,Go Ahead Eagles,NED,1,1308.86779785,1963-10-10,1963-10-13
None,Go Ahead Eagles,NED,1,1301.36535645,1963-10-14,1963-10-15
None,Go Ahead Eagles,NED,1,1300.52355957,1963-10-16,1963-10-27
None,Go Ahead Eagles,NED,1,1293.24768066,1963-10-28,1963-11-03
None,Go Ahead Eagles,NED,1,1296.42956543,1963-11-04,1963-11-10
None,Go Ahead Eagles,NED,1,1294.69335938,1963-11-11,1963-11-13
None,Go Ahead Eagles,NED,1,1303.80712891,1963-11-14,1963-11-24
None,Go Ahead Eagles,NED,1,1299.71826172,1963-11-25,1963-11-27
None,Go Ahead Eagles,NED,1,1298.48510742,1963-11-28,1963-12-01
None,Go Ahead Eagles,NED,1,1292.5012207,1963-12-02,1963-12-08
None,Go Ahead Eagles,NED,1,1295.20922852,1963-12-09,1963-12-15
None,Go Ahead Eagles,NED,1,1306.39990234,1963-12-16,1963-12-22
None,Go Ahead Eagles,NED,1,1307.62316895,1963-12-23,1964-01-05
None,Go Ahead Eagles,NED,1,1299.07202148,1964-01-06,1964-01-12
None,Go Ahead Eagles,NED,1,1303.11486816,1964-01-13,1964-01-19
None,Go Ahead Eagles,NED,1,1305.92956543,1964-01-20,1964-02-02
None,Go Ahead Eagles,NED,1,1314.87963867,1964-02-03,1964-02-16
None,Go Ahead Eagles,NED,1,1319.7755127,1964-02-17,1964-03-01
None,Go Ahead Eagles,NED,1,1308.45861816,1964-03-02,1964-03-04
None,Go Ahead Eagles,NED,1,1306.37988281,1964-03-05,1964-03-11
None,Go Ahead Eagles,NED,1,1299.06225586,1964-03-12,1964-03-15
None,Go Ahead Eagles,NED,1,1310.34521484,1964-03-16,1964-03-30
None,Go Ahead Eagles,NED,1,1321.13891602,1964-03-31,1964-04-05
None,Go Ahead Eagles,NED,1,1312.08605957,1964-04-06,1964-04-19
None,Go Ahead Eagles,NED,1,1316.70043945,1964-04-20,1964-04-26
None,Go Ahead Eagles,NED,1,1316.31225586,1964-04-27,1964-05-03
None,Go Ahead Eagles,NED,1,1311.04650879,1964-05-04,1964-05-07
None,Go Ahead Eagles,NED,1,1301.03857422,1964-05-08,1964-05-10
None,Go Ahead Eagles,NED,1,1296.48461914,1964-05-11,1964-05-18
None,Go Ahead Eagles,NED,1,1293.93359375,1964-05-19,1964-08-23
None,Go Ahead Eagles,NED,1,1288.93566895,1964-08-24,1964-08-30
None,Go Ahead Eagles,NED,1,1289.11364746,1964-08-31,1964-09-06
None,Go Ahead Eagles,NED,1,1303.29162598,1964-09-07,1964-09-13
None,Go Ahead Eagles,NED,1,1299.01757812,1964-09-14,1964-09-20
None,Go Ahead Eagles,NED,1,1294.46142578,1964-09-21,1964-09-23
None,Go Ahead Eagles,NED,1,1300.69311523,1964-09-24,1964-09-27
None,Go Ahead Eagles,NED,1,1302.09289551,1964-09-28,1964-10-07
None,Go Ahead Eagles,NED,1,1314.16955566,1964-10-08,1964-10-11
None,Go Ahead Eagles,NED,1,1314.00610352,1964-10-12,1964-10-18
None,Go Ahead Eagles,NED,1,1331.10009766,1964-10-19,1964-11-01
None,Go Ahead Eagles,NED,1,1326.36401367,1964-11-02,1964-11-04
None,Go Ahead Eagles,NED,1,1328.15222168,1964-11-05,1964-11-08
None,Go Ahead Eagles,NED,1,1321.98327637,1964-11-09,1964-11-15
None,Go Ahead Eagles,NED,1,1321.80358887,1964-11-16,1964-11-18
None,Go Ahead Eagles,NED,1,1323.20861816,1964-11-19,1964-11-22
None,Go Ahead Eagles,NED,1,1315.78588867,1964-11-23,1964-11-29
None,Go Ahead Eagles,NED,1,1315.51464844,1964-11-30,1964-12-13
None,Go Ahead Eagles,NED,1,1323.00561523,1964-12-14,1964-12-20
None,Go Ahead Eagles,NED,1,1312.59814453,1964-12-21,1965-01-03
None,Go Ahead Eagles,NED,1,1321.1114502,1965-01-04,1965-01-10
None,Go Ahead Eagles,NED,1,1325.54223633,1965-01-11,1965-01-17
None,Go Ahead Eagles,NED,1,1320.44348145,1965-01-18,1965-01-24
None,Go Ahead Eagles,NED,1,1327.75463867,1965-01-25,1965-02-07
None,Go Ahead Eagles,NED,1,1316.22070312,1965-02-08,1965-02-14
None,Go Ahead Eagles,NED,1,1321.37121582,1965-02-15,1965-02-21
None,Go Ahead Eagles,NED,1,1313.59313965,1965-02-22,1965-02-24
None,Go Ahead Eagles,NED,1,1310.90539551,1965-02-25,1965-03-07
None,Go Ahead Eagles,NED,1,1303.05541992,1965-03-08,1965-03-10
None,Go Ahead Eagles,NED,1,1301.45556641,1965-03-11,1965-03-21
None,Go Ahead Eagles,NED,1,1307.70202637,1965-03-22,1965-03-28
None,Go Ahead Eagles,NED,1,1315.20263672,1965-03-29,1965-04-04
None,Go Ahead Eagles,NED,1,1319.4588623,1965-04-05,1965-04-11
None,Go Ahead Eagles,NED,1,1330.82617188,1965-04-12,1965-04-19
None,Go Ahead Eagles,NED,1,1353.29772949,1965-04-20,1965-04-25
None,Go Ahead Eagles,NED,1,1350.3996582,1965-04-26,1965-05-02
None,Go Ahead Eagles,NED,1,1359.19116211,1965-05-03,1965-08-22
None,Go Ahead Eagles,NED,1,1351.33276367,1965-08-23,1965-08-29
None,Go Ahead Eagles,NED,1,1362.25842285,1965-08-30,1965-09-04
None,Go Ahead Eagles,NED,1,1368.57922363,1965-09-05,1965-09-08
None,Go Ahead Eagles,NED,1,1370.00744629,1965-09-09,1965-09-12
None,Go Ahead Eagles,NED,1,1378.5579834,1965-09-13,1965-09-22
None,Go Ahead Eagles,NED,1,1375.69702148,1965-09-23,1965-09-26
None,Go Ahead Eagles,NED,1,1365.10876465,1965-09-27,1965-09-29
None,Go Ahead Eagles,NED,1,1358.52197266,1965-09-30,1965-10-03
None,Go Ahead Eagles,NED,1,1356.54882812,1965-10-04,1965-10-07
None,Go Ahead Eagles,NED,1,1357.09606934,1965-10-08,1965-10-10
None,Go Ahead Eagles,NED,1,1360.53173828,1965-10-11,1965-10-24
None,Go Ahead Eagles,NED,1,1366.46350098,1965-10-25,1965-10-31
None,Go Ahead Eagles,NED,1,1363.390625,1965-11-01,1965-12-05
None,Go Ahead Eagles,NED,1,1362.88769531,1965-12-06,1965-12-12
None,Go Ahead Eagles,NED,1,1375.12414551,1965-12-13,1965-12-26
None,Go Ahead Eagles,NED,1,1373.19946289,1965-12-27,1966-01-09
None,Go Ahead Eagles,NED,1,1362.0526123,1966-01-10,1966-01-30
None,Go Ahead Eagles,NED,1,1370.85412598,1966-01-31,1966-02-06
None,Go Ahead Eagles,NED,1,1379.72167969,1966-02-07,1966-02-27
None,Go Ahead Eagles,NED,1,1370.97155762,1966-02-28,1966-03-06
None,Go Ahead Eagles,NED,1,1366.34387207,1966-03-07,1966-03-10
None,Go Ahead Eagles,NED,1,1365.68664551,1966-03-11,1966-03-13
None,Go Ahead Eagles,NED,1,1364.3223877,1966-03-14,1966-03-20
None,Go Ahead Eagles,NED,1,1358.7479248,1966-03-21,1966-03-27
None,Go Ahead Eagles,NED,1,1351.23400879,1966-03-28,1966-04-03
None,Go Ahead Eagles,NED,1,1362.21618652,1966-04-04,1966-04-09
None,Go Ahead Eagles,NED,1,1369.65673828,1966-04-10,1966-04-11
None,Go Ahead Eagles,NED,1,1384.87963867,1966-04-12,1966-04-24
None,Go Ahead Eagles,NED,1,1390.44152832,1966-04-25,1966-05-01
None,Go Ahead Eagles,NED,1,1407.43859863,1966-05-02,1966-05-08
None,Go Ahead Eagles,NED,1,1415.6595459,1966-05-09,1966-05-15
None,Go Ahead Eagles,NED,1,1429.80163574,1966-05-16,1966-05-19
None,Go Ahead Eagles,NED,1,1421.48254395,1966-05-20,1966-05-22
None,Go Ahead Eagles,NED,1,1433.16235352,1966-05-23,1966-08-14
None,Go Ahead Eagles,NED,1,1442.19458008,1966-08-15,1966-08-21
None,Go Ahead Eagles,NED,1,1448.92138672,1966-08-22,1966-08-28
None,Go Ahead Eagles,NED,1,1457.84753418,1966-08-29,1966-09-04
None,Go Ahead Eagles,NED,1,1441.34973145,1966-09-05,1966-09-09
None,Go Ahead Eagles,NED,1,1439.66479492,1966-09-10,1966-09-11
None,Go Ahead Eagles,NED,1,1431.12927246,1966-09-12,1966-09-18
None,Go Ahead Eagles,NED,1,1431.3828125,1966-09-19,1966-09-24
None,Go Ahead Eagles,NED,1,1436.35095215,1966-09-25,1966-09-28
None,Go Ahead Eagles,NED,1,1439.19750977,1966-09-29,1966-10-02
None,Go Ahead Eagles,NED,1,1448.89562988,1966-10-03,1966-10-05
None,Go Ahead Eagles,NED,1,1457.37121582,1966-10-06,1966-10-09
None,Go Ahead Eagles,NED,1,1465.09802246,1966-10-10,1966-10-16
None,Go Ahead Eagles,NED,1,1445.25939941,1966-10-17,1966-10-23
None,Go Ahead Eagles,NED,1,1442.22546387,1966-10-24,1966-10-30
None,Go Ahead Eagles,NED,1,1436.80102539,1966-10-31,1966-11-09
None,Go Ahead Eagles,NED,1,1431.38293457,1966-11-10,1966-11-13
None,Go Ahead Eagles,NED,1,1442.70422363,1966-11-14,1966-11-16
None,Go Ahead Eagles,NED,1,1439.5333252,1966-11-17,1966-11-20
None,Go Ahead Eagles,NED,1,1446.11328125,1966-11-21,1966-11-27
None,Go Ahead Eagles,NED,1,1449.03198242,1966-11-28,1966-12-07
None,Go Ahead Eagles,NED,1,1465.3079834,1966-12-08,1966-12-14
None,Go Ahead Eagles,NED,1,1482.30090332,1966-12-15,1966-12-18
None,Go Ahead Eagles,NED,1,1476.79748535,1966-12-19,1966-12-26
None,Go Ahead Eagles,NED,1,1479.79260254,1966-12-27,1967-01-01
None,Go Ahead Eagles,NED,1,1484.27160645,1967-01-02,1967-01-04
None,Go Ahead Eagles,NED,1,1489.65722656,1967-01-05,1967-01-08
None,Go Ahead Eagles,NED,1,1482.77612305,1967-01-09,1967-01-15
