Rank,Club,Country,Level,Elo,From,To
None,Guimaraes,POR,1,1259.44006348,1942-01-18,1942-01-18
None,Guimaraes,POR,1,1270.08605957,1942-01-19,1942-01-25
None,Guimaraes,POR,1,1269.18054199,1942-01-26,1942-02-01
None,Guimaraes,POR,1,1263.87060547,1942-02-02,1942-02-08
None,Guimaraes,POR,1,1261.89196777,1942-02-09,1942-02-15
None,Guimaraes,POR,1,1253.58374023,1942-02-16,1942-02-22
None,Guimaraes,POR,1,1254.42944336,1942-02-23,1942-03-01
None,Guimaraes,POR,1,1247.70043945,1942-03-02,1942-03-08
None,Guimaraes,POR,1,1256.11401367,1942-03-09,1942-03-15
None,Guimaraes,POR,1,1254.50646973,1942-03-16,1942-03-22
None,Guimaraes,POR,1,1237.71032715,1942-03-23,1942-03-29
None,Guimaraes,POR,1,1235.78857422,1942-03-30,1942-04-05
None,Guimaraes,POR,1,1225.13452148,1942-04-06,1942-04-12
None,Guimaraes,POR,1,1220.55236816,1942-04-13,1942-04-19
None,Guimaraes,POR,1,1237.14367676,1942-04-20,1942-04-26
None,Guimaraes,POR,1,1234.78710938,1942-04-27,1942-05-03
None,Guimaraes,POR,1,1239.91247559,1942-05-04,1942-05-10
None,Guimaraes,POR,1,1231.15722656,1942-05-11,1942-05-17
None,Guimaraes,POR,1,1237.53320312,1942-05-18,1942-05-24
None,Guimaraes,POR,1,1232.57092285,1942-05-25,1942-05-31
None,Guimaraes,POR,1,1229.7121582,1942-06-01,1942-06-07
None,Guimaraes,POR,1,1223.3416748,1942-06-08,1942-06-14
None,Guimaraes,POR,1,1232.94372559,1942-06-15,1943-01-10
None,Guimaraes,POR,1,1229.74182129,1943-01-11,1943-01-17
None,Guimaraes,POR,1,1227.03369141,1943-01-18,1943-01-24
None,Guimaraes,POR,1,1225.62463379,1943-01-25,1943-01-31
None,Guimaraes,POR,1,1237.24414062,1943-02-01,1943-02-07
None,Guimaraes,POR,1,1251.49267578,1943-02-08,1943-02-14
None,Guimaraes,POR,1,1247.87011719,1943-02-15,1943-02-21
None,Guimaraes,POR,1,1247.58776855,1943-02-22,1943-02-28
None,Guimaraes,POR,1,1243.31408691,1943-03-01,1943-03-07
None,Guimaraes,POR,1,1254.09838867,1943-03-08,1943-03-14
None,Guimaraes,POR,1,1252.96899414,1943-03-15,1943-03-21
None,Guimaraes,POR,1,1270.86791992,1943-03-22,1943-03-28
None,Guimaraes,POR,1,1296.54064941,1943-03-29,1943-04-04
None,Guimaraes,POR,1,1312.48059082,1943-04-05,1943-04-11
None,Guimaraes,POR,1,1299.39306641,1943-04-12,1943-04-25
None,Guimaraes,POR,1,1290.60229492,1943-04-26,1943-05-02
None,Guimaraes,POR,1,1278.7689209,1943-05-03,1943-05-09
None,Guimaraes,POR,1,1276.59228516,1943-05-10,1943-05-16
None,Guimaraes,POR,1,1272.97070312,1943-05-17,1943-11-28
None,Guimaraes,POR,1,1278.375,1943-11-29,1943-12-05
None,Guimaraes,POR,1,1279.7824707,1943-12-06,1943-12-12
None,Guimaraes,POR,1,1272.05285645,1943-12-13,1943-12-19
None,Guimaraes,POR,1,1270.57446289,1943-12-20,1943-12-26
None,Guimaraes,POR,1,1269.20874023,1943-12-27,1944-01-02
None,Guimaraes,POR,1,1255.50476074,1944-01-03,1944-01-09
None,Guimaraes,POR,1,1252.3963623,1944-01-10,1944-01-16
None,Guimaraes,POR,1,1255.39611816,1944-01-17,1944-01-23
None,Guimaraes,POR,1,1254.09887695,1944-01-24,1944-01-30
None,Guimaraes,POR,1,1249.35107422,1944-01-31,1944-02-06
None,Guimaraes,POR,1,1246.30847168,1944-02-07,1944-02-13
None,Guimaraes,POR,1,1232.43908691,1944-02-14,1944-02-20
None,Guimaraes,POR,1,1238.44934082,1944-02-21,1944-02-27
None,Guimaraes,POR,1,1235.09460449,1944-02-28,1944-03-05
None,Guimaraes,POR,1,1221.26123047,1944-03-06,1944-03-12
None,Guimaraes,POR,1,1203.09558105,1944-03-13,1944-03-19
None,Guimaraes,POR,1,1207.36474609,1944-03-20,1944-03-26
None,Guimaraes,POR,1,1205.28198242,1944-03-27,1944-11-26
None,Guimaraes,POR,1,1200.12438965,1944-11-27,1944-12-03
None,Guimaraes,POR,1,1206.47265625,1944-12-04,1944-12-10
None,Guimaraes,POR,1,1215.40588379,1944-12-11,1944-12-17
None,Guimaraes,POR,1,1212.32043457,1944-12-18,1944-12-24
None,Guimaraes,POR,1,1217.0892334,1944-12-25,1944-12-31
None,Guimaraes,POR,1,1216.25866699,1945-01-01,1945-01-07
None,Guimaraes,POR,1,1225.9642334,1945-01-08,1945-01-14
None,Guimaraes,POR,1,1222.59655762,1945-01-15,1945-01-21
None,Guimaraes,POR,1,1220.56799316,1945-01-22,1945-01-28
None,Guimaraes,POR,1,1215.55310059,1945-01-29,1945-02-04
None,Guimaraes,POR,1,1210.13171387,1945-02-05,1945-02-11
None,Guimaraes,POR,1,1204.6517334,1945-02-12,1945-02-18
None,Guimaraes,POR,1,1223.30957031,1945-02-19,1945-02-25
None,Guimaraes,POR,1,1222.06396484,1945-02-26,1945-03-18
None,Guimaraes,POR,1,1232.85046387,1945-03-19,1945-03-25
None,Guimaraes,POR,1,1230.9942627,1945-03-26,1945-04-01
None,Guimaraes,POR,1,1224.00744629,1945-04-02,1945-04-08
None,Guimaraes,POR,1,1223.01867676,1945-04-09,1945-05-10
None,Guimaraes,POR,1,1220.01867676,1945-05-11,1945-05-27
None,Guimaraes,POR,1,1215.01867676,1945-05-28,1945-12-09
None,Guimaraes,POR,1,1213.65087891,1945-12-10,1945-12-16
None,Guimaraes,POR,1,1215.4197998,1945-12-17,1945-12-23
None,Guimaraes,POR,1,1211.43054199,1945-12-24,1945-12-30
None,Guimaraes,POR,1,1208.56713867,1945-12-31,1946-01-06
None,Guimaraes,POR,1,1207.36804199,1946-01-07,1946-01-13
None,Guimaraes,POR,1,1217.84765625,1946-01-14,1946-01-20
None,Guimaraes,POR,1,1213.97680664,1946-01-21,1946-01-27
None,Guimaraes,POR,1,1218.50476074,1946-01-28,1946-02-03
None,Guimaraes,POR,1,1226.3112793,1946-02-04,1946-02-10
None,Guimaraes,POR,1,1232.04003906,1946-02-11,1946-02-24
None,Guimaraes,POR,1,1228.41003418,1946-02-25,1946-03-03
