Rank,Club,Country,Level,Elo,From,To
None,Heerenveen,NED,1,1434.79553223,1990-07-02,1990-08-25
None,Heerenveen,NED,1,1423.58520508,1990-08-26,1990-09-02
None,Heerenveen,NED,1,1434.79199219,1990-09-03,1990-09-08
None,Heerenveen,NED,1,1432.00244141,1990-09-09,1990-09-15
None,Heerenveen,NED,1,1423.54040527,1990-09-16,1990-09-18
None,Heerenveen,NED,1,1416.57885742,1990-09-19,1990-09-19
None,Heerenveen,NED,1,1415.30456543,1990-09-20,1990-09-23
None,Heerenveen,NED,1,1410.03857422,1990-09-24,1990-09-29
None,Heerenveen,NED,1,1402.63781738,1990-09-30,1990-10-02
None,Heerenveen,NED,1,1402.50427246,1990-10-03,1990-10-03
None,Heerenveen,NED,1,1389.10742188,1990-10-04,1990-10-07
None,Heerenveen,NED,1,1383.19055176,1990-10-08,1990-10-21
None,Heerenveen,NED,1,1389.53637695,1990-10-22,1990-10-24
None,Heerenveen,NED,1,1391.7265625,1990-10-25,1990-10-28
None,Heerenveen,NED,1,1388.03466797,1990-10-29,1990-11-04
None,Heerenveen,NED,1,1383.12768555,1990-11-05,1990-11-07
None,Heerenveen,NED,1,1399.44689941,1990-11-08,1990-11-11
None,Heerenveen,NED,1,1396.01098633,1990-11-12,1990-11-24
None,Heerenveen,NED,1,1386.12585449,1990-11-25,1990-11-28
None,Heerenveen,NED,1,1379.84777832,1990-11-29,1990-12-02
None,Heerenveen,NED,1,1376.46691895,1990-12-03,1990-12-08
None,Heerenveen,NED,1,1384.18688965,1990-12-09,1990-12-12
None,Heerenveen,NED,1,1383.6817627,1990-12-13,1990-12-22
None,Heerenveen,NED,1,1380.98852539,1990-12-23,1991-01-27
None,Heerenveen,NED,1,1377.53063965,1991-01-28,1991-02-27
None,Heerenveen,NED,1,1370.54492188,1991-02-28,1991-03-02
None,Heerenveen,NED,1,1377.18139648,1991-03-03,1991-03-07
None,Heerenveen,NED,1,1378.12854004,1991-03-08,1991-03-10
None,Heerenveen,NED,1,1383.86499023,1991-03-11,1991-03-23
None,Heerenveen,NED,1,1398.74499512,1991-03-24,1991-03-27
None,Heerenveen,NED,1,1397.58752441,1991-03-28,1991-04-01
None,Heerenveen,NED,1,1394.88171387,1991-04-02,1991-04-07
None,Heerenveen,NED,1,1408.54443359,1991-04-08,1991-04-14
None,Heerenveen,NED,1,1416.5,1991-04-15,1991-04-21
None,Heerenveen,NED,1,1414.25793457,1991-04-22,1991-04-27
None,Heerenveen,NED,1,1420.87475586,1991-04-28,1991-05-05
None,Heerenveen,NED,1,1431.29663086,1991-05-06,1991-05-14
None,Heerenveen,NED,1,1431.67687988,1991-05-15,1991-05-18
None,Heerenveen,NED,1,1424.09033203,1991-05-19,1991-05-25
None,Heerenveen,NED,1,1414.63305664,1991-05-26,1991-06-01
None,Heerenveen,NED,1,1408.13647461,1991-06-02,1991-06-09
None,Heerenveen,NED,1,1414.66552734,1991-06-10,1991-06-16
None,Heerenveen,NED,1,1428.796875,1991-06-17,1991-07-02
None,Heerenveen,NED,1,1372.64807129,1993-07-01,1993-08-14
None,Heerenveen,NED,1,1380.19226074,1993-08-15,1993-08-25
None,Heerenveen,NED,1,1386.14416504,1993-08-26,1993-08-29
None,Heerenveen,NED,1,1398.77172852,1993-08-30,1993-09-04
None,Heerenveen,NED,1,1400.06896973,1993-09-05,1993-09-08
None,Heerenveen,NED,1,1408.93505859,1993-09-09,1993-09-11
None,Heerenveen,NED,1,1415.02966309,1993-09-12,1993-09-14
None,Heerenveen,NED,1,1414.62475586,1993-09-15,1993-09-15
None,Heerenveen,NED,1,1402.93652344,1993-09-16,1993-09-17
None,Heerenveen,NED,1,1400.67224121,1993-09-18,1993-09-19
None,Heerenveen,NED,1,1397.12585449,1993-09-20,1993-09-26
None,Heerenveen,NED,1,1393.91320801,1993-09-27,1993-09-28
None,Heerenveen,NED,1,1388.30700684,1993-09-29,1993-09-29
None,Heerenveen,NED,1,1394.66381836,1993-09-30,1993-10-04
None,Heerenveen,NED,1,1390.63208008,1993-10-05,1993-10-16
None,Heerenveen,NED,1,1376.66027832,1993-10-17,1993-10-20
None,Heerenveen,NED,1,1374.47961426,1993-10-21,1993-10-23
None,Heerenveen,NED,1,1386.21325684,1993-10-24,1993-10-31
None,Heerenveen,NED,1,1389.3494873,1993-11-01,1993-11-02
None,Heerenveen,NED,1,1395.91369629,1993-11-03,1993-11-03
None,Heerenveen,NED,1,1392.41247559,1993-11-04,1993-11-06
None,Heerenveen,NED,1,1376.90002441,1993-11-07,1993-11-21
None,Heerenveen,NED,1,1380.33361816,1993-11-22,1993-11-28
None,Heerenveen,NED,1,1385.54650879,1993-11-29,1993-12-06
None,Heerenveen,NED,1,1382.63696289,1993-12-07,1993-12-11
None,Heerenveen,NED,1,1376.50585938,1993-12-12,1993-12-19
None,Heerenveen,NED,1,1368.45825195,1993-12-20,1994-01-15
None,Heerenveen,NED,1,1361.35083008,1994-01-16,1994-01-22
None,Heerenveen,NED,1,1369.18603516,1994-01-23,1994-01-29
None,Heerenveen,NED,1,1377.05114746,1994-01-30,1994-02-06
None,Heerenveen,NED,1,1382.30859375,1994-02-07,1994-02-18
None,Heerenveen,NED,1,1371.16430664,1994-02-19,1994-03-01
None,Heerenveen,NED,1,1379.2791748,1994-03-02,1994-03-03
None,Heerenveen,NED,1,1377.75671387,1994-03-04,1994-03-08
None,Heerenveen,NED,1,1379.71130371,1994-03-09,1994-03-16
None,Heerenveen,NED,1,1375.46044922,1994-03-17,1994-03-18
None,Heerenveen,NED,1,1364.79614258,1994-03-19,1994-03-27
None,Heerenveen,NED,1,1357.55419922,1994-03-28,1994-04-05
None,Heerenveen,NED,1,1367.20776367,1994-04-06,1994-04-09
None,Heerenveen,NED,1,1378.70056152,1994-04-10,1994-04-16
None,Heerenveen,NED,1,1362.12463379,1994-04-17,1994-04-23
None,Heerenveen,NED,1,1354.82177734,1994-04-24,1994-04-27
None,Heerenveen,NED,1,1357.5012207,1994-04-28,1994-05-01
None,Heerenveen,NED,1,1356.85827637,1994-05-02,1994-05-08
None,Heerenveen,NED,1,1369.75646973,1994-05-09,1994-08-26
None,Heerenveen,NED,1,1380.44384766,1994-08-27,1994-08-31
None,Heerenveen,NED,1,1371.16711426,1994-09-01,1994-09-10
None,Heerenveen,NED,1,1355.75512695,1994-09-11,1994-09-13
None,Heerenveen,NED,1,1346.53173828,1994-09-14,1994-09-14
None,Heerenveen,NED,1,1355.1361084,1994-09-15,1994-09-15
None,Heerenveen,NED,1,1356.77478027,1994-09-16,1994-09-18
None,Heerenveen,NED,1,1370.00097656,1994-09-19,1994-09-21
None,Heerenveen,NED,1,1363.64831543,1994-09-22,1994-09-24
