Rank,Club,Country,Level,Elo,From,To
None,Moreirense,POR,1,1356.02258301,2002-07-01,2002-07-31
None,Moreirense,POR,1,1356.08728027,2002-08-01,2002-08-07
None,Moreirense,POR,1,1356.09155273,2002-08-08,2002-08-13
None,Moreirense,POR,1,1351.3614502,2002-08-14,2002-08-14
None,Moreirense,POR,1,1350.64367676,2002-08-15,2002-08-15
None,Moreirense,POR,1,1346.98571777,2002-08-16,2002-08-25
None,Moreirense,POR,1,1338.29272461,2002-08-26,2002-08-27
None,Moreirense,POR,1,1334.96179199,2002-08-28,2002-08-28
None,Moreirense,POR,1,1335.21899414,2002-08-29,2002-08-29
None,Moreirense,POR,1,1342.69641113,2002-08-30,2002-09-01
None,Moreirense,POR,1,1337.6003418,2002-09-02,2002-09-14
None,Moreirense,POR,1,1333.73522949,2002-09-15,2002-09-17
None,Moreirense,POR,1,1335.29797363,2002-09-18,2002-09-19
None,Moreirense,POR,1,1327.57299805,2002-09-20,2002-09-22
None,Moreirense,POR,1,1324.70495605,2002-09-23,2002-09-29
None,Moreirense,POR,1,1335.03662109,2002-09-30,2002-10-03
None,Moreirense,POR,1,1339.28894043,2002-10-04,2002-10-07
None,Moreirense,POR,1,1337.06091309,2002-10-08,2002-10-20
None,Moreirense,POR,1,1345.64868164,2002-10-21,2002-10-25
None,Moreirense,POR,1,1343.41711426,2002-10-26,2002-10-31
None,Moreirense,POR,1,1346.44702148,2002-11-01,2002-11-03
None,Moreirense,POR,1,1346.40979004,2002-11-04,2002-11-09
None,Moreirense,POR,1,1354.40185547,2002-11-10,2002-11-14
None,Moreirense,POR,1,1358.53771973,2002-11-15,2002-11-18
None,Moreirense,POR,1,1355.91882324,2002-11-19,2002-11-26
None,Moreirense,POR,1,1355.4597168,2002-11-27,2002-11-28
None,Moreirense,POR,1,1362.6574707,2002-11-29,2002-11-30
None,Moreirense,POR,1,1359.46765137,2002-12-01,2002-12-08
None,Moreirense,POR,1,1364.9510498,2002-12-09,2002-12-12
None,Moreirense,POR,1,1370.21313477,2002-12-13,2002-12-14
None,Moreirense,POR,1,1376.30041504,2002-12-15,2002-12-22
None,Moreirense,POR,1,1373.6895752,2002-12-23,2003-01-05
None,Moreirense,POR,1,1374.19384766,2003-01-06,2003-01-12
None,Moreirense,POR,1,1379.4510498,2003-01-13,2003-01-19
None,Moreirense,POR,1,1391.17089844,2003-01-20,2003-01-26
None,Moreirense,POR,1,1397.65319824,2003-01-27,2003-02-03
None,Moreirense,POR,1,1405.37121582,2003-02-04,2003-02-09
None,Moreirense,POR,1,1404.21765137,2003-02-10,2003-02-16
None,Moreirense,POR,1,1410.40185547,2003-02-17,2003-02-20
None,Moreirense,POR,1,1412.50268555,2003-02-21,2003-02-24
None,Moreirense,POR,1,1407.52941895,2003-02-25,2003-02-27
None,Moreirense,POR,1,1413.4050293,2003-02-28,2003-03-02
None,Moreirense,POR,1,1416.71435547,2003-03-03,2003-03-13
None,Moreirense,POR,1,1410.92895508,2003-03-14,2003-03-14
None,Moreirense,POR,1,1421.59655762,2003-03-15,2003-03-20
None,Moreirense,POR,1,1435.68225098,2003-03-21,2003-03-23
None,Moreirense,POR,1,1450.82775879,2003-03-24,2003-04-05
None,Moreirense,POR,1,1452.64526367,2003-04-06,2003-04-10
