Rank,Club,Country,Level,Elo,From,To
None,Oxford,ENG,2,1423.88427734,1968-07-02,1968-08-10
None,Oxford,ENG,2,1422.81030273,1968-08-11,1968-08-17
None,Oxford,ENG,2,1419.80566406,1968-08-18,1968-08-21
None,Oxford,ENG,2,1422.8293457,1968-08-22,1968-08-24
None,Oxford,ENG,2,1420.97143555,1968-08-25,1968-08-27
None,Oxford,ENG,2,1438.86450195,1968-08-28,1968-08-31
None,Oxford,ENG,2,1432.22290039,1968-09-01,1968-09-07
None,Oxford,ENG,2,1440.36083984,1968-09-08,1968-09-14
None,Oxford,ENG,2,1455.28747559,1968-09-15,1968-09-18
None,Oxford,ENG,2,1443.12768555,1968-09-19,1968-09-21
None,Oxford,ENG,2,1441.55407715,1968-09-22,1968-09-28
None,Oxford,ENG,2,1434.55639648,1968-09-29,1968-10-02
None,Oxford,ENG,2,1427.21899414,1968-10-03,1968-10-05
None,Oxford,ENG,2,1419.64001465,1968-10-06,1968-10-09
None,Oxford,ENG,2,1409.46252441,1968-10-10,1968-10-12
None,Oxford,ENG,2,1407.03173828,1968-10-13,1968-10-19
None,Oxford,ENG,2,1403.06408691,1968-10-20,1968-10-26
None,Oxford,ENG,2,1393.47912598,1968-10-27,1968-11-02
None,Oxford,ENG,2,1406.17834473,1968-11-03,1968-11-09
None,Oxford,ENG,2,1395.46496582,1968-11-10,1968-11-13
None,Oxford,ENG,2,1400.24584961,1968-11-14,1968-11-16
None,Oxford,ENG,2,1404.83898926,1968-11-17,1968-11-23
None,Oxford,ENG,2,1393.95935059,1968-11-24,1968-11-27
None,Oxford,ENG,2,1394.57873535,1968-11-28,1968-11-30
None,Oxford,ENG,2,1391.17028809,1968-12-01,1968-12-07
None,Oxford,ENG,2,1398.51916504,1968-12-08,1968-12-14
None,Oxford,ENG,2,1390.97131348,1968-12-15,1968-12-21
None,Oxford,ENG,2,1383.61914062,1968-12-22,1969-01-11
None,Oxford,ENG,2,1377.05822754,1969-01-12,1969-01-15
None,Oxford,ENG,2,1380.19104004,1969-01-16,1969-01-24
None,Oxford,ENG,2,1376.75964355,1969-01-25,1969-02-01
None,Oxford,ENG,2,1366.83569336,1969-02-02,1969-02-08
None,Oxford,ENG,2,1361.93151855,1969-02-09,1969-02-15
None,Oxford,ENG,2,1377.17016602,1969-02-16,1969-02-19
None,Oxford,ENG,2,1366.34130859,1969-02-20,1969-02-22
None,Oxford,ENG,2,1362.44689941,1969-02-23,1969-02-26
None,Oxford,ENG,2,1365.92480469,1969-02-27,1969-03-01
None,Oxford,ENG,2,1371.61474609,1969-03-02,1969-03-05
None,Oxford,ENG,2,1384.38537598,1969-03-06,1969-03-08
None,Oxford,ENG,2,1393.80688477,1969-03-09,1969-03-14
None,Oxford,ENG,2,1399.05895996,1969-03-15,1969-03-22
None,Oxford,ENG,2,1390.00366211,1969-03-23,1969-03-26
None,Oxford,ENG,2,1396.80700684,1969-03-27,1969-03-29
None,Oxford,ENG,2,1408.5078125,1969-03-30,1969-04-04
None,Oxford,ENG,2,1416.01831055,1969-04-05,1969-04-05
None,Oxford,ENG,2,1423.54089355,1969-04-06,1969-04-07
None,Oxford,ENG,2,1420.52990723,1969-04-08,1969-04-12
