Rank,Club,Country,Level,Elo,From,To
None,Rio Ave,POR,1,1246.97277832,1979-07-01,1979-08-26
None,Rio Ave,POR,1,1242.36682129,1979-08-27,1979-09-02
None,Rio Ave,POR,1,1239.20092773,1979-09-03,1979-09-09
None,Rio Ave,POR,1,1235.70837402,1979-09-10,1979-09-12
None,Rio Ave,POR,1,1234.76513672,1979-09-13,1979-09-16
None,Rio Ave,POR,1,1248.90112305,1979-09-17,1979-09-19
None,Rio Ave,POR,1,1240.43383789,1979-09-20,1979-09-23
None,Rio Ave,POR,1,1237.1776123,1979-09-24,1979-09-30
None,Rio Ave,POR,1,1231.69091797,1979-10-01,1979-10-03
None,Rio Ave,POR,1,1233.07861328,1979-10-04,1979-10-05
None,Rio Ave,POR,1,1235.20690918,1979-10-06,1979-10-07
None,Rio Ave,POR,1,1235.51953125,1979-10-08,1979-10-21
None,Rio Ave,POR,1,1229.30895996,1979-10-22,1979-10-24
None,Rio Ave,POR,1,1232.24108887,1979-10-25,1979-11-01
None,Rio Ave,POR,1,1231.23876953,1979-11-02,1979-11-04
None,Rio Ave,POR,1,1216.91235352,1979-11-05,1979-11-07
None,Rio Ave,POR,1,1208.7701416,1979-11-08,1979-11-11
None,Rio Ave,POR,1,1207.17443848,1979-11-12,1979-11-25
None,Rio Ave,POR,1,1202.32983398,1979-11-26,1979-12-09
None,Rio Ave,POR,1,1198.13232422,1979-12-10,1979-12-16
None,Rio Ave,POR,1,1191.52233887,1979-12-17,1979-12-30
None,Rio Ave,POR,1,1188.19384766,1979-12-31,1980-01-06
None,Rio Ave,POR,1,1198.28027344,1980-01-07,1980-01-20
None,Rio Ave,POR,1,1182.27868652,1980-01-21,1980-01-27
None,Rio Ave,POR,1,1181.39953613,1980-01-28,1980-02-10
None,Rio Ave,POR,1,1189.80322266,1980-02-11,1980-02-24
None,Rio Ave,POR,1,1187.50244141,1980-02-25,1980-03-02
None,Rio Ave,POR,1,1197.01147461,1980-03-03,1980-03-16
None,Rio Ave,POR,1,1186.7052002,1980-03-17,1980-03-23
None,Rio Ave,POR,1,1184.3302002,1980-03-24,1980-03-30
None,Rio Ave,POR,1,1181.75598145,1980-03-31,1980-04-13
None,Rio Ave,POR,1,1177.26428223,1980-04-14,1980-04-20
None,Rio Ave,POR,1,1171.56469727,1980-04-21,1980-04-27
None,Rio Ave,POR,1,1170.70031738,1980-04-28,1980-05-11
None,Rio Ave,POR,1,1179.43640137,1980-05-12,1980-05-18
None,Rio Ave,POR,1,1178.22644043,1980-05-19,1980-05-25
None,Rio Ave,POR,1,1164.0904541,1980-05-26,1980-06-01
None,Rio Ave,POR,1,1179.6763916,1980-06-02,1980-07-01
None,Rio Ave,POR,1,1240.13806152,1981-07-01,1981-08-23
None,Rio Ave,POR,1,1236.48828125,1981-08-24,1981-08-30
None,Rio Ave,POR,1,1234.16821289,1981-08-31,1981-09-06
None,Rio Ave,POR,1,1241.49169922,1981-09-07,1981-09-13
None,Rio Ave,POR,1,1236.06970215,1981-09-14,1981-09-16
None,Rio Ave,POR,1,1247.04504395,1981-09-17,1981-09-20
None,Rio Ave,POR,1,1253.41162109,1981-09-21,1981-09-27
None,Rio Ave,POR,1,1261.20214844,1981-09-28,1981-09-30
None,Rio Ave,POR,1,1261.27429199,1981-10-01,1981-10-01
None,Rio Ave,POR,1,1265.50817871,1981-10-02,1981-10-18
None,Rio Ave,POR,1,1279.49243164,1981-10-19,1981-10-21
