Rank,Club,Country,Level,Elo,From,To
None,Santa Clara,POR,1,1348.24487305,1999-07-01,1999-08-11
None,Santa Clara,POR,1,1354.45898438,1999-08-12,1999-08-21
None,Santa Clara,POR,1,1358.43811035,1999-08-22,1999-08-25
None,Santa Clara,POR,1,1361.60522461,1999-08-26,1999-08-29
None,Santa Clara,POR,1,1367.62194824,1999-08-30,1999-09-12
None,Santa Clara,POR,1,1360.17114258,1999-09-13,1999-09-14
None,Santa Clara,POR,1,1351.26940918,1999-09-15,1999-09-15
None,Santa Clara,POR,1,1355.15209961,1999-09-16,1999-09-16
None,Santa Clara,POR,1,1335.76000977,1999-09-17,1999-09-19
None,Santa Clara,POR,1,1330.64880371,1999-09-20,1999-09-21
None,Santa Clara,POR,1,1334.48657227,1999-09-22,1999-09-22
None,Santa Clara,POR,1,1332.92346191,1999-09-23,1999-09-26
None,Santa Clara,POR,1,1361.40808105,1999-09-27,1999-09-28
None,Santa Clara,POR,1,1359.06555176,1999-09-29,1999-09-29
None,Santa Clara,POR,1,1358.03503418,1999-09-30,1999-09-30
None,Santa Clara,POR,1,1367.49194336,1999-10-01,1999-10-05
None,Santa Clara,POR,1,1374.92858887,1999-10-06,1999-10-17
None,Santa Clara,POR,1,1378.65649414,1999-10-18,1999-10-19
None,Santa Clara,POR,1,1381.36730957,1999-10-20,1999-10-20
None,Santa Clara,POR,1,1384.8840332,1999-10-21,1999-10-21
None,Santa Clara,POR,1,1388.45288086,1999-10-22,1999-10-24
None,Santa Clara,POR,1,1386.86120605,1999-10-25,1999-10-26
None,Santa Clara,POR,1,1388.46618652,1999-10-27,1999-10-27
None,Santa Clara,POR,1,1386.70568848,1999-10-28,1999-10-31
None,Santa Clara,POR,1,1378.95361328,1999-11-01,1999-11-02
None,Santa Clara,POR,1,1383.17077637,1999-11-03,1999-11-03
None,Santa Clara,POR,1,1380.28637695,1999-11-04,1999-11-04
None,Santa Clara,POR,1,1374.01037598,1999-11-05,1999-11-08
None,Santa Clara,POR,1,1369.1583252,1999-11-09,1999-11-21
None,Santa Clara,POR,1,1381.16210938,1999-11-22,1999-11-23
None,Santa Clara,POR,1,1388.48522949,1999-11-24,1999-11-25
None,Santa Clara,POR,1,1384.48754883,1999-11-26,1999-11-28
None,Santa Clara,POR,1,1374.53613281,1999-11-29,1999-12-03
None,Santa Clara,POR,1,1373.87060547,1999-12-04,1999-12-08
None,Santa Clara,POR,1,1376.01416016,1999-12-09,1999-12-09
None,Santa Clara,POR,1,1375.79260254,1999-12-10,1999-12-12
None,Santa Clara,POR,1,1373.20996094,1999-12-13,1999-12-19
None,Santa Clara,POR,1,1366.2989502,1999-12-20,2000-01-08
None,Santa Clara,POR,1,1364.02282715,2000-01-09,2000-01-16
None,Santa Clara,POR,1,1361.75683594,2000-01-17,2000-01-22
None,Santa Clara,POR,1,1359.21179199,2000-01-23,2000-01-30
None,Santa Clara,POR,1,1360.51635742,2000-01-31,2000-02-06
None,Santa Clara,POR,1,1359.04138184,2000-02-07,2000-02-12
None,Santa Clara,POR,1,1357.64526367,2000-02-13,2000-02-19
None,Santa Clara,POR,1,1364.0123291,2000-02-20,2000-02-27
None,Santa Clara,POR,1,1359.19299316,2000-02-28,2000-03-01
None,Santa Clara,POR,1,1357.18395996,2000-03-02,2000-03-04
None,Santa Clara,POR,1,1347.63317871,2000-03-05,2000-03-07
None,Santa Clara,POR,1,1342.14697266,2000-03-08,2000-03-13
None,Santa Clara,POR,1,1348.30981445,2000-03-14,2000-03-15
None,Santa Clara,POR,1,1346.43237305,2000-03-16,2000-03-19
None,Santa Clara,POR,1,1345.47949219,2000-03-20,2000-03-21
None,Santa Clara,POR,1,1350.83776855,2000-03-22,2000-03-26
None,Santa Clara,POR,1,1349.07617188,2000-03-27,2000-04-01
None,Santa Clara,POR,1,1355.78039551,2000-04-02,2000-04-04
None,Santa Clara,POR,1,1354.4543457,2000-04-05,2000-04-09
None,Santa Clara,POR,1,1349.33312988,2000-04-10,2000-04-15
None,Santa Clara,POR,1,1345.83874512,2000-04-16,2000-04-19
None,Santa Clara,POR,1,1344.32373047,2000-04-20,2000-04-22
None,Santa Clara,POR,1,1339.59667969,2000-04-23,2000-04-30
None,Santa Clara,POR,1,1346.69335938,2000-05-01,2000-05-07
None,Santa Clara,POR,1,1343.21398926,2000-05-08,2000-05-14
None,Santa Clara,POR,1,1351.89831543,2000-05-15,2000-07-03
None,Santa Clara,POR,1,1359.79614258,2001-07-01,2001-07-25
None,Santa Clara,POR,1,1359.88806152,2001-07-26,2001-08-01
