Rank,Club,Country,Level,Elo,From,To
None,Telstar,NED,1,1228.36584473,1964-07-01,1964-08-23
None,Telstar,NED,1,1236.77185059,1964-08-24,1964-08-30
None,Telstar,NED,1,1234.50097656,1964-08-31,1964-09-06
None,Telstar,NED,1,1234.55834961,1964-09-07,1964-09-13
None,Telstar,NED,1,1239.80383301,1964-09-14,1964-09-20
None,Telstar,NED,1,1241.69787598,1964-09-21,1964-09-23
None,Telstar,NED,1,1247.92956543,1964-09-24,1964-09-27
None,Telstar,NED,1,1252.64172363,1964-09-28,1964-10-07
None,Telstar,NED,1,1264.71838379,1964-10-08,1964-10-11
None,Telstar,NED,1,1262.35864258,1964-10-12,1964-10-18
None,Telstar,NED,1,1257.14672852,1964-10-19,1964-11-01
None,Telstar,NED,1,1275.06774902,1964-11-02,1964-11-04
None,Telstar,NED,1,1276.85595703,1964-11-05,1964-11-08
None,Telstar,NED,1,1270.98486328,1964-11-09,1964-11-15
None,Telstar,NED,1,1269.14819336,1964-11-16,1964-11-18
None,Telstar,NED,1,1270.55310059,1964-11-19,1964-11-22
None,Telstar,NED,1,1266.58483887,1964-11-23,1964-11-29
None,Telstar,NED,1,1279.32214355,1964-11-30,1964-12-13
None,Telstar,NED,1,1281.83837891,1964-12-14,1964-12-20
None,Telstar,NED,1,1292.24584961,1964-12-21,1965-01-10
None,Telstar,NED,1,1296.68481445,1965-01-11,1965-01-17
None,Telstar,NED,1,1312.51635742,1965-01-18,1965-01-24
None,Telstar,NED,1,1321.22363281,1965-01-25,1965-02-07
None,Telstar,NED,1,1313.82055664,1965-02-08,1965-02-14
None,Telstar,NED,1,1305.05395508,1965-02-15,1965-02-21
None,Telstar,NED,1,1313.2010498,1965-02-22,1965-02-24
None,Telstar,NED,1,1310.51330566,1965-02-25,1965-03-07
None,Telstar,NED,1,1296.21838379,1965-03-08,1965-03-10
None,Telstar,NED,1,1294.6184082,1965-03-11,1965-03-14
None,Telstar,NED,1,1298.54418945,1965-03-15,1965-03-21
None,Telstar,NED,1,1300.60498047,1965-03-22,1965-03-28
None,Telstar,NED,1,1303.52307129,1965-03-29,1965-04-04
None,Telstar,NED,1,1298.2878418,1965-04-05,1965-04-11
None,Telstar,NED,1,1295.0447998,1965-04-12,1965-04-19
None,Telstar,NED,1,1306.43139648,1965-04-20,1965-04-25
None,Telstar,NED,1,1323.81518555,1965-04-26,1965-05-02
None,Telstar,NED,1,1315.02368164,1965-05-03,1965-08-22
None,Telstar,NED,1,1319.17260742,1965-08-23,1965-08-29
None,Telstar,NED,1,1314.07299805,1965-08-30,1965-09-05
None,Telstar,NED,1,1315.32104492,1965-09-06,1965-09-08
None,Telstar,NED,1,1316.74926758,1965-09-09,1965-09-12
None,Telstar,NED,1,1310.34777832,1965-09-13,1965-09-22
None,Telstar,NED,1,1307.48669434,1965-09-23,1965-09-26
None,Telstar,NED,1,1317.77075195,1965-09-27,1965-09-29
None,Telstar,NED,1,1314.49060059,1965-09-30,1965-10-03
None,Telstar,NED,1,1328.1854248,1965-10-04,1965-10-07
None,Telstar,NED,1,1328.4552002,1965-10-08,1965-10-10
None,Telstar,NED,1,1334.90930176,1965-10-11,1965-10-24
None,Telstar,NED,1,1328.97753906,1965-10-25,1965-10-31
None,Telstar,NED,1,1313.88195801,1965-11-01,1965-11-28
None,Telstar,NED,1,1309.20056152,1965-11-29,1965-12-05
None,Telstar,NED,1,1312.5032959,1965-12-06,1965-12-12
None,Telstar,NED,1,1307.09887695,1965-12-13,1965-12-26
None,Telstar,NED,1,1308.67041016,1965-12-27,1966-01-09
None,Telstar,NED,1,1300.59460449,1966-01-10,1966-01-30
None,Telstar,NED,1,1287.77062988,1966-01-31,1966-02-06
None,Telstar,NED,1,1296.92004395,1966-02-07,1966-02-27
None,Telstar,NED,1,1295.04467773,1966-02-28,1966-03-06
None,Telstar,NED,1,1303.63195801,1966-03-07,1966-03-13
None,Telstar,NED,1,1298.47546387,1966-03-14,1966-03-20
None,Telstar,NED,1,1308.46496582,1966-03-21,1966-03-27
None,Telstar,NED,1,1302.43408203,1966-03-28,1966-04-03
None,Telstar,NED,1,1293.62280273,1966-04-04,1966-04-09
None,Telstar,NED,1,1286.18225098,1966-04-10,1966-04-11
None,Telstar,NED,1,1287.80957031,1966-04-12,1966-04-24
None,Telstar,NED,1,1289.26782227,1966-04-25,1966-05-01
None,Telstar,NED,1,1285.75549316,1966-05-02,1966-05-08
None,Telstar,NED,1,1298.78027344,1966-05-09,1966-05-15
None,Telstar,NED,1,1294.9543457,1966-05-16,1966-05-19
None,Telstar,NED,1,1306.4588623,1966-05-20,1966-05-22
None,Telstar,NED,1,1300.31298828,1966-05-23,1966-08-14
None,Telstar,NED,1,1290.3001709,1966-08-15,1966-08-21
None,Telstar,NED,1,1283.60107422,1966-08-22,1966-08-28
None,Telstar,NED,1,1277.16870117,1966-08-29,1966-09-04
None,Telstar,NED,1,1264.08862305,1966-09-05,1966-09-11
None,Telstar,NED,1,1254.60302734,1966-09-12,1966-09-18
None,Telstar,NED,1,1254.85668945,1966-09-19,1966-09-25
None,Telstar,NED,1,1260.90991211,1966-09-26,1966-09-28
None,Telstar,NED,1,1263.75646973,1966-09-29,1966-10-02
None,Telstar,NED,1,1257.48010254,1966-10-03,1966-10-05
None,Telstar,NED,1,1265.95568848,1966-10-06,1966-10-09
None,Telstar,NED,1,1265.7142334,1966-10-10,1966-10-16
None,Telstar,NED,1,1285.55285645,1966-10-17,1966-10-23
None,Telstar,NED,1,1284.93615723,1966-10-24,1966-10-30
None,Telstar,NED,1,1283.26647949,1966-10-31,1966-11-09
None,Telstar,NED,1,1277.8482666,1966-11-10,1966-11-13
None,Telstar,NED,1,1279.95874023,1966-11-14,1966-11-16
None,Telstar,NED,1,1276.78771973,1966-11-17,1966-11-20
None,Telstar,NED,1,1275.36877441,1966-11-21,1966-11-27
None,Telstar,NED,1,1274.60668945,1966-11-28,1966-12-04
None,Telstar,NED,1,1268.59094238,1966-12-05,1966-12-07
None,Telstar,NED,1,1284.86706543,1966-12-08,1966-12-14
None,Telstar,NED,1,1301.85986328,1966-12-15,1966-12-18
None,Telstar,NED,1,1311.18554688,1966-12-19,1966-12-26
None,Telstar,NED,1,1321.59143066,1966-12-27,1966-12-31
None,Telstar,NED,1,1315.15039062,1967-01-01,1967-01-08
None,Telstar,NED,1,1313.16491699,1967-01-09,1967-01-15
None,Telstar,NED,1,1314.11791992,1967-01-16,1967-01-20
None,Telstar,NED,1,1321.17077637,1967-01-21,1967-02-05
None,Telstar,NED,1,1315.28625488,1967-02-06,1967-02-12
None,Telstar,NED,1,1304.81799316,1967-02-13,1967-02-19
None,Telstar,NED,1,1303.0871582,1967-02-20,1967-02-26
None,Telstar,NED,1,1319.13134766,1967-02-27,1967-03-01
None,Telstar,NED,1,1314.3392334,1967-03-02,1967-03-05
None,Telstar,NED,1,1316.52502441,1967-03-06,1967-03-08
None,Telstar,NED,1,1314.38085938,1967-03-09,1967-03-12
None,Telstar,NED,1,1309.3729248,1967-03-13,1967-03-19
None,Telstar,NED,1,1304.0970459,1967-03-20,1967-03-27
None,Telstar,NED,1,1301.27160645,1967-03-28,1967-04-09
None,Telstar,NED,1,1297.25390625,1967-04-10,1967-04-23
None,Telstar,NED,1,1290.58972168,1967-04-24,1967-04-30
None,Telstar,NED,1,1291.69348145,1967-05-01,1967-05-15
None,Telstar,NED,1,1307.04553223,1967-05-16,1967-05-21
None,Telstar,NED,1,1321.95141602,1967-05-22,1967-08-13
None,Telstar,NED,1,1313.92504883,1967-08-14,1967-08-20
None,Telstar,NED,1,1309.94702148,1967-08-21,1967-08-27
None,Telstar,NED,1,1304.88867188,1967-08-28,1967-09-03
None,Telstar,NED,1,1313.2310791,1967-09-04,1967-09-10
None,Telstar,NED,1,1311.27563477,1967-09-11,1967-09-17
None,Telstar,NED,1,1320.5534668,1967-09-18,1967-09-20
None,Telstar,NED,1,1319.17883301,1967-09-21,1967-09-21
None,Telstar,NED,1,1321.17944336,1967-09-22,1967-09-24
None,Telstar,NED,1,1308.06274414,1967-09-25,1967-10-01
None,Telstar,NED,1,1296.87280273,1967-10-02,1967-10-08
None,Telstar,NED,1,1294.61010742,1967-10-09,1967-10-11
None,Telstar,NED,1,1293.86608887,1967-10-12,1967-10-12
None,Telstar,NED,1,1293.61853027,1967-10-13,1967-10-15
None,Telstar,NED,1,1309.25683594,1967-10-16,1967-10-22
None,Telstar,NED,1,1310.20495605,1967-10-23,1967-10-29
None,Telstar,NED,1,1327.5892334,1967-10-30,1967-11-05
None,Telstar,NED,1,1325.56347656,1967-11-06,1967-11-12
None,Telstar,NED,1,1318.62927246,1967-11-13,1967-11-15
None,Telstar,NED,1,1314.16418457,1967-11-16,1967-11-19
None,Telstar,NED,1,1321.08520508,1967-11-20,1967-11-26
None,Telstar,NED,1,1312.24963379,1967-11-27,1967-11-29
None,Telstar,NED,1,1307.13842773,1967-11-30,1967-12-03
None,Telstar,NED,1,1298.61853027,1967-12-04,1967-12-17
None,Telstar,NED,1,1308.97717285,1967-12-18,1967-12-24
None,Telstar,NED,1,1307.58935547,1967-12-25,1968-01-07
None,Telstar,NED,1,1319.52624512,1968-01-08,1968-01-21
None,Telstar,NED,1,1321.96350098,1968-01-22,1968-01-28
None,Telstar,NED,1,1324.82946777,1968-01-29,1968-02-04
None,Telstar,NED,1,1320.85205078,1968-02-05,1968-02-11
None,Telstar,NED,1,1317.28161621,1968-02-12,1968-02-18
None,Telstar,NED,1,1322.54931641,1968-02-19,1968-03-03
None,Telstar,NED,1,1321.06835938,1968-03-04,1968-03-17
None,Telstar,NED,1,1326.95361328,1968-03-18,1968-03-31
None,Telstar,NED,1,1320.75708008,1968-04-01,1968-04-15
None,Telstar,NED,1,1316.55065918,1968-04-16,1968-04-21
None,Telstar,NED,1,1311.71606445,1968-04-22,1968-05-05
None,Telstar,NED,1,1324.04711914,1968-05-06,1968-05-12
None,Telstar,NED,1,1335.39660645,1968-05-13,1968-05-19
None,Telstar,NED,1,1334.63793945,1968-05-20,1968-05-26
None,Telstar,NED,1,1340.49035645,1968-05-27,1968-08-18
None,Telstar,NED,1,1334.12670898,1968-08-19,1968-08-25
None,Telstar,NED,1,1330.07629395,1968-08-26,1968-09-01
None,Telstar,NED,1,1336.67932129,1968-09-02,1968-09-08
None,Telstar,NED,1,1335.45471191,1968-09-09,1968-09-18
None,Telstar,NED,1,1344.53295898,1968-09-19,1968-09-19
None,Telstar,NED,1,1349.6973877,1968-09-20,1968-09-22
None,Telstar,NED,1,1345.11401367,1968-09-23,1968-09-29
None,Telstar,NED,1,1342.09143066,1968-09-30,1968-10-02
None,Telstar,NED,1,1361.39306641,1968-10-03,1968-10-03
None,Telstar,NED,1,1364.79907227,1968-10-04,1968-10-06
None,Telstar,NED,1,1360.29199219,1968-10-07,1968-10-13
None,Telstar,NED,1,1365.53833008,1968-10-14,1968-10-20
None,Telstar,NED,1,1363.7890625,1968-10-21,1968-11-03
None,Telstar,NED,1,1368.10180664,1968-11-04,1968-11-12
None,Telstar,NED,1,1363.85900879,1968-11-13,1968-11-13
None,Telstar,NED,1,1364.89819336,1968-11-14,1968-11-17
None,Telstar,NED,1,1375.6595459,1968-11-18,1968-11-24
None,Telstar,NED,1,1358.06896973,1968-11-25,1968-11-27
None,Telstar,NED,1,1356.49816895,1968-11-28,1968-11-28
None,Telstar,NED,1,1357.95605469,1968-11-29,1968-12-01
None,Telstar,NED,1,1364.19396973,1968-12-02,1968-12-08
None,Telstar,NED,1,1361.84765625,1968-12-09,1968-12-15
None,Telstar,NED,1,1367.3963623,1968-12-16,1968-12-22
None,Telstar,NED,1,1357.16369629,1968-12-23,1969-01-05
None,Telstar,NED,1,1341.37683105,1969-01-06,1969-01-12
None,Telstar,NED,1,1343.3638916,1969-01-13,1969-01-19
None,Telstar,NED,1,1344.71606445,1969-01-20,1969-01-26
None,Telstar,NED,1,1340.39941406,1969-01-27,1969-02-02
None,Telstar,NED,1,1350.48693848,1969-02-03,1969-02-12
None,Telstar,NED,1,1336.97509766,1969-02-13,1969-02-19
None,Telstar,NED,1,1352.98657227,1969-02-20,1969-03-02
None,Telstar,NED,1,1340.64160156,1969-03-03,1969-03-05
None,Telstar,NED,1,1359.33435059,1969-03-06,1969-03-16
None,Telstar,NED,1,1363.3449707,1969-03-17,1969-03-30
None,Telstar,NED,1,1356.25842285,1969-03-31,1969-04-07
None,Telstar,NED,1,1352.61206055,1969-04-08,1969-04-13
None,Telstar,NED,1,1353.34460449,1969-04-14,1969-04-20
None,Telstar,NED,1,1360.62597656,1969-04-21,1969-04-24
None,Telstar,NED,1,1359.16662598,1969-04-25,1969-04-27
None,Telstar,NED,1,1352.85864258,1969-04-28,1969-04-30
None,Telstar,NED,1,1341.69763184,1969-05-01,1969-05-11
None,Telstar,NED,1,1335.19226074,1969-05-12,1969-05-15
None,Telstar,NED,1,1350.0065918,1969-05-16,1969-05-18
None,Telstar,NED,1,1348.66491699,1969-05-19,1969-05-26
None,Telstar,NED,1,1346.25793457,1969-05-27,1969-05-28
None,Telstar,NED,1,1337.99169922,1969-05-29,1969-06-01
None,Telstar,NED,1,1343.93164062,1969-06-02,1969-08-10
None,Telstar,NED,1,1339.75305176,1969-08-11,1969-08-17
None,Telstar,NED,1,1333.64746094,1969-08-18,1969-08-24
None,Telstar,NED,1,1345.98986816,1969-08-25,1969-08-31
None,Telstar,NED,1,1355.96838379,1969-09-01,1969-09-14
None,Telstar,NED,1,1352.72229004,1969-09-15,1969-09-17
None,Telstar,NED,1,1363.68847656,1969-09-18,1969-09-21
None,Telstar,NED,1,1354.22155762,1969-09-22,1969-09-28
None,Telstar,NED,1,1352.37548828,1969-09-29,1969-09-30
None,Telstar,NED,1,1352.37768555,1969-10-01,1969-10-01
None,Telstar,NED,1,1354.7019043,1969-10-02,1969-10-05
None,Telstar,NED,1,1371.25476074,1969-10-06,1969-10-12
None,Telstar,NED,1,1363.75366211,1969-10-13,1969-10-26
None,Telstar,NED,1,1367.87976074,1969-10-27,1969-11-02
None,Telstar,NED,1,1369.13757324,1969-11-03,1969-11-09
None,Telstar,NED,1,1366.13476562,1969-11-10,1969-11-12
None,Telstar,NED,1,1366.19958496,1969-11-13,1969-11-16
None,Telstar,NED,1,1356.3894043,1969-11-17,1969-11-23
None,Telstar,NED,1,1355.61010742,1969-11-24,1969-11-26
None,Telstar,NED,1,1374.82983398,1969-11-27,1969-11-30
None,Telstar,NED,1,1355.23669434,1969-12-01,1969-12-07
None,Telstar,NED,1,1360.34643555,1969-12-08,1969-12-28
None,Telstar,NED,1,1358.38757324,1969-12-29,1970-01-18
None,Telstar,NED,1,1347.09277344,1970-01-19,1970-01-25
None,Telstar,NED,1,1346.36987305,1970-01-26,1970-02-01
None,Telstar,NED,1,1360.5892334,1970-02-02,1970-02-08
None,Telstar,NED,1,1360.86254883,1970-02-09,1970-02-22
None,Telstar,NED,1,1367.70544434,1970-02-23,1970-03-04
None,Telstar,NED,1,1365.02124023,1970-03-05,1970-03-08
None,Telstar,NED,1,1356.74084473,1970-03-09,1970-03-15
None,Telstar,NED,1,1360.56896973,1970-03-16,1970-03-18
None,Telstar,NED,1,1365.65820312,1970-03-19,1970-03-30
None,Telstar,NED,1,1371.75231934,1970-03-31,1970-04-01
None,Telstar,NED,1,1374.80126953,1970-04-02,1970-04-05
None,Telstar,NED,1,1381.34887695,1970-04-06,1970-04-15
None,Telstar,NED,1,1387.74487305,1970-04-16,1970-04-19
None,Telstar,NED,1,1387.83459473,1970-04-20,1970-04-26
None,Telstar,NED,1,1394.11035156,1970-04-27,1970-04-30
None,Telstar,NED,1,1388.51049805,1970-05-01,1970-05-03
None,Telstar,NED,1,1390.37438965,1970-05-04,1970-05-06
None,Telstar,NED,1,1399.45544434,1970-05-07,1970-05-07
None,Telstar,NED,1,1403.91015625,1970-05-08,1970-05-10
None,Telstar,NED,1,1411.30981445,1970-05-11,1970-05-18
None,Telstar,NED,1,1414.5435791,1970-05-19,1970-05-24
None,Telstar,NED,1,1403.19189453,1970-05-25,1970-08-23
None,Telstar,NED,1,1392.63244629,1970-08-24,1970-08-30
None,Telstar,NED,1,1399.75463867,1970-08-31,1970-09-06
None,Telstar,NED,1,1403.71191406,1970-09-07,1970-09-13
None,Telstar,NED,1,1397.22949219,1970-09-14,1970-09-16
None,Telstar,NED,1,1390.42700195,1970-09-17,1970-09-20
None,Telstar,NED,1,1389.35241699,1970-09-21,1970-09-29
None,Telstar,NED,1,1388.64611816,1970-09-30,1970-09-30
None,Telstar,NED,1,1383.46105957,1970-10-01,1970-10-04
None,Telstar,NED,1,1393.26623535,1970-10-05,1970-10-18
None,Telstar,NED,1,1384.50561523,1970-10-19,1970-10-21
None,Telstar,NED,1,1391.24401855,1970-10-22,1970-10-25
None,Telstar,NED,1,1405.63781738,1970-10-26,1970-11-01
None,Telstar,NED,1,1401.17211914,1970-11-02,1970-11-04
None,Telstar,NED,1,1404.26428223,1970-11-05,1970-11-15
None,Telstar,NED,1,1394.61865234,1970-11-16,1970-11-23
None,Telstar,NED,1,1399.49499512,1970-11-24,1970-11-29
None,Telstar,NED,1,1392.97192383,1970-11-30,1970-12-06
None,Telstar,NED,1,1397.03015137,1970-12-07,1970-12-13
None,Telstar,NED,1,1393.83605957,1970-12-14,1970-12-20
None,Telstar,NED,1,1403.67285156,1970-12-21,1971-01-10
None,Telstar,NED,1,1401.87097168,1971-01-11,1971-01-17
None,Telstar,NED,1,1405.28063965,1971-01-18,1971-01-24
None,Telstar,NED,1,1404.05957031,1971-01-25,1971-01-31
None,Telstar,NED,1,1410.13964844,1971-02-01,1971-02-07
None,Telstar,NED,1,1419.66577148,1971-02-08,1971-02-21
None,Telstar,NED,1,1423.04052734,1971-02-22,1971-02-28
None,Telstar,NED,1,1420.76489258,1971-03-01,1971-03-10
None,Telstar,NED,1,1434.08081055,1971-03-11,1971-03-21
None,Telstar,NED,1,1444.42578125,1971-03-22,1971-03-24
None,Telstar,NED,1,1447.75952148,1971-03-25,1971-03-28
None,Telstar,NED,1,1445.82641602,1971-03-29,1971-04-12
None,Telstar,NED,1,1455.15661621,1971-04-13,1971-04-14
None,Telstar,NED,1,1451.07141113,1971-04-15,1971-04-18
None,Telstar,NED,1,1442.6270752,1971-04-19,1971-04-25
None,Telstar,NED,1,1434.88171387,1971-04-26,1971-04-28
None,Telstar,NED,1,1444.46191406,1971-04-29,1971-05-02
None,Telstar,NED,1,1433.66760254,1971-05-03,1971-05-09
None,Telstar,NED,1,1431.93786621,1971-05-10,1971-05-16
None,Telstar,NED,1,1429.45983887,1971-05-17,1971-05-23
None,Telstar,NED,1,1422.24584961,1971-05-24,1971-05-31
None,Telstar,NED,1,1431.82763672,1971-06-01,1971-06-02
None,Telstar,NED,1,1433.26489258,1971-06-03,1971-06-06
None,Telstar,NED,1,1437.75939941,1971-06-07,1971-08-15
None,Telstar,NED,1,1447.47546387,1971-08-16,1971-08-22
None,Telstar,NED,1,1442.83581543,1971-08-23,1971-08-29
None,Telstar,NED,1,1446.2355957,1971-08-30,1971-09-05
None,Telstar,NED,1,1457.71069336,1971-09-06,1971-09-12
None,Telstar,NED,1,1453.43713379,1971-09-13,1971-09-14
None,Telstar,NED,1,1453.50427246,1971-09-15,1971-09-15
None,Telstar,NED,1,1455.26965332,1971-09-16,1971-09-16
None,Telstar,NED,1,1460.61315918,1971-09-17,1971-09-19
None,Telstar,NED,1,1457.82958984,1971-09-20,1971-09-22
