Rank,Club,Country,Level,Elo,From,To
None,Utrecht,NED,1,1069.13220215,1956-07-01,1956-09-02
None,Utrecht,NED,1,1058.98583984,1956-09-03,1956-09-09
None,Utrecht,NED,1,1053.89685059,1956-09-10,1956-09-23
None,Utrecht,NED,1,1043.74291992,1956-09-24,1956-09-30
None,Utrecht,NED,1,1063.4017334,1956-10-01,1956-10-07
None,Utrecht,NED,1,1068.94372559,1956-10-08,1956-10-21
None,Utrecht,NED,1,1091.63586426,1956-10-22,1956-10-28
None,Utrecht,NED,1,1103.00488281,1956-10-29,1956-11-01
None,Utrecht,NED,1,1102.9831543,1956-11-02,1956-11-11
None,Utrecht,NED,1,1111.83520508,1956-11-12,1956-11-14
None,Utrecht,NED,1,1111.78747559,1956-11-15,1956-11-18
None,Utrecht,NED,1,1094.43188477,1956-11-19,1956-12-02
None,Utrecht,NED,1,1080.9074707,1956-12-03,1956-12-09
None,Utrecht,NED,1,1072.71789551,1956-12-10,1956-12-16
None,Utrecht,NED,1,1059.23010254,1956-12-17,1956-12-23
None,Utrecht,NED,1,1068.69726562,1956-12-24,1956-12-30
None,Utrecht,NED,1,1078.65979004,1956-12-31,1957-01-06
None,Utrecht,NED,1,1086.65136719,1957-01-07,1957-01-13
None,Utrecht,NED,1,1088.77258301,1957-01-14,1957-01-20
None,Utrecht,NED,1,1079.85437012,1957-01-21,1957-01-27
None,Utrecht,NED,1,1092.10632324,1957-01-28,1957-02-03
None,Utrecht,NED,1,1098.04187012,1957-02-04,1957-02-10
None,Utrecht,NED,1,1089.35778809,1957-02-11,1957-02-17
None,Utrecht,NED,1,1106.06298828,1957-02-18,1957-02-24
None,Utrecht,NED,1,1093.94689941,1957-02-25,1957-03-03
None,Utrecht,NED,1,1104.76965332,1957-03-04,1957-03-10
None,Utrecht,NED,1,1095.52233887,1957-03-11,1957-03-17
None,Utrecht,NED,1,1102.79309082,1957-03-18,1957-03-24
None,Utrecht,NED,1,1089.65869141,1957-03-25,1957-03-31
None,Utrecht,NED,1,1075.56860352,1957-04-01,1957-04-07
None,Utrecht,NED,1,1073.08178711,1957-04-08,1957-04-14
None,Utrecht,NED,1,1084.24645996,1957-04-15,1957-04-22
None,Utrecht,NED,1,1093.70666504,1957-04-23,1957-05-05
None,Utrecht,NED,1,1098.48352051,1957-05-06,1957-05-12
None,Utrecht,NED,1,1087.49072266,1957-05-13,1957-05-19
None,Utrecht,NED,1,1078.30578613,1957-05-20,1957-06-02
None,Utrecht,NED,1,1089.17590332,1957-06-03,1957-08-25
None,Utrecht,NED,1,1091.65722656,1957-08-26,1957-09-01
None,Utrecht,NED,1,1098.34375,1957-09-02,1957-09-08
None,Utrecht,NED,1,1098.61767578,1957-09-09,1957-09-15
None,Utrecht,NED,1,1102.83996582,1957-09-16,1957-09-22
None,Utrecht,NED,1,1091.05163574,1957-09-23,1957-09-29
None,Utrecht,NED,1,1097.35144043,1957-09-30,1957-10-06
None,Utrecht,NED,1,1103.6081543,1957-10-07,1957-10-13
None,Utrecht,NED,1,1126.29797363,1957-10-14,1957-10-20
None,Utrecht,NED,1,1121.33764648,1957-10-21,1957-10-27
None,Utrecht,NED,1,1107.70727539,1957-10-28,1957-11-03
None,Utrecht,NED,1,1113.30126953,1957-11-04,1957-11-10
None,Utrecht,NED,1,1116.64355469,1957-11-11,1957-11-20
None,Utrecht,NED,1,1168.37341309,1957-11-21,1957-11-24
None,Utrecht,NED,1,1168.82519531,1957-11-25,1957-11-27
None,Utrecht,NED,1,1188.94726562,1957-11-28,1957-12-01
None,Utrecht,NED,1,1185.48803711,1957-12-02,1957-12-08
None,Utrecht,NED,1,1190.20837402,1957-12-09,1957-12-15
None,Utrecht,NED,1,1191.89294434,1957-12-16,1957-12-22
None,Utrecht,NED,1,1187.28149414,1957-12-23,1958-01-05
None,Utrecht,NED,1,1197.90124512,1958-01-06,1958-01-12
None,Utrecht,NED,1,1192.51159668,1958-01-13,1958-02-02
None,Utrecht,NED,1,1201.40600586,1958-02-03,1958-02-05
None,Utrecht,NED,1,1201.5234375,1958-02-06,1958-02-09
None,Utrecht,NED,1,1208.97509766,1958-02-10,1958-02-16
None,Utrecht,NED,1,1213.6796875,1958-02-17,1958-02-23
None,Utrecht,NED,1,1219.70568848,1958-02-24,1958-02-26
None,Utrecht,NED,1,1219.37353516,1958-02-27,1958-03-16
None,Utrecht,NED,1,1212.83459473,1958-03-17,1958-03-30
None,Utrecht,NED,1,1217.40234375,1958-03-31,1958-04-07
None,Utrecht,NED,1,1215.39355469,1958-04-08,1958-04-20
None,Utrecht,NED,1,1220.75500488,1958-04-21,1958-04-27
None,Utrecht,NED,1,1237.6517334,1958-04-28,1958-05-11
None,Utrecht,NED,1,1225.06237793,1958-05-12,1958-05-15
None,Utrecht,NED,1,1233.7845459,1958-05-16,1958-05-18
None,Utrecht,NED,1,1248.37316895,1958-05-19,1958-05-26
None,Utrecht,NED,1,1253.87683105,1958-05-27,1958-06-01
None,Utrecht,NED,1,1262.17504883,1958-06-02,1958-06-04
None,Utrecht,NED,1,1259.73095703,1958-06-05,1958-08-24
None,Utrecht,NED,1,1254.04443359,1958-08-25,1958-08-31
None,Utrecht,NED,1,1260.3013916,1958-09-01,1958-09-07
None,Utrecht,NED,1,1256.67236328,1958-09-08,1958-09-14
None,Utrecht,NED,1,1242.25891113,1958-09-15,1958-09-21
None,Utrecht,NED,1,1245.2298584,1958-09-22,1958-10-01
None,Utrecht,NED,1,1242.24438477,1958-10-02,1958-10-05
None,Utrecht,NED,1,1249.34448242,1958-10-06,1958-10-08
None,Utrecht,NED,1,1248.98400879,1958-10-09,1958-10-12
None,Utrecht,NED,1,1255.72155762,1958-10-13,1958-10-19
None,Utrecht,NED,1,1264.28076172,1958-10-20,1958-10-26
None,Utrecht,NED,1,1245.35681152,1958-10-27,1958-11-09
None,Utrecht,NED,1,1253.95690918,1958-11-10,1958-11-16
None,Utrecht,NED,1,1256.50036621,1958-11-17,1958-11-23
None,Utrecht,NED,1,1268.34265137,1958-11-24,1958-11-30
None,Utrecht,NED,1,1275.7746582,1958-12-01,1958-12-07
None,Utrecht,NED,1,1275.57128906,1958-12-08,1958-12-14
None,Utrecht,NED,1,1285.04089355,1958-12-15,1958-12-21
None,Utrecht,NED,1,1294.70861816,1958-12-22,1958-12-26
None,Utrecht,NED,1,1283.23388672,1958-12-27,1958-12-28
None,Utrecht,NED,1,1271.30126953,1958-12-29,1959-01-04
None,Utrecht,NED,1,1261.85766602,1959-01-05,1959-01-25
None,Utrecht,NED,1,1260.17321777,1959-01-26,1959-02-01
None,Utrecht,NED,1,1270.2755127,1959-02-02,1959-02-22
None,Utrecht,NED,1,1263.46716309,1959-02-23,1959-03-01
None,Utrecht,NED,1,1253.99523926,1959-03-02,1959-03-08
None,Utrecht,NED,1,1257.37768555,1959-03-09,1959-03-15
None,Utrecht,NED,1,1256.07543945,1959-03-16,1959-03-22
None,Utrecht,NED,1,1265.79272461,1959-03-23,1959-03-30
None,Utrecht,NED,1,1268.71191406,1959-03-31,1959-04-05
None,Utrecht,NED,1,1265.3248291,1959-04-06,1959-04-12
None,Utrecht,NED,1,1277.9609375,1959-04-13,1959-04-26
None,Utrecht,NED,1,1282.15454102,1959-04-27,1959-05-03
None,Utrecht,NED,1,1272.73596191,1959-05-04,1959-05-18
None,Utrecht,NED,1,1267.92797852,1959-05-19,1959-05-24
None,Utrecht,NED,1,1264.46508789,1959-05-25,1959-05-31
None,Utrecht,NED,1,1273.73815918,1959-06-01,1959-08-23
None,Utrecht,NED,1,1286.39685059,1959-08-24,1959-08-30
None,Utrecht,NED,1,1290.04711914,1959-08-31,1959-09-06
None,Utrecht,NED,1,1293.50146484,1959-09-07,1959-09-13
None,Utrecht,NED,1,1291.60705566,1959-09-14,1959-09-20
None,Utrecht,NED,1,1304.51916504,1959-09-21,1959-09-27
None,Utrecht,NED,1,1297.6328125,1959-09-28,1959-10-11
None,Utrecht,NED,1,1285.43249512,1959-10-12,1959-10-18
None,Utrecht,NED,1,1270.66809082,1959-10-19,1959-10-25
None,Utrecht,NED,1,1284.09680176,1959-10-26,1959-11-01
None,Utrecht,NED,1,1268.99572754,1959-11-02,1959-11-05
None,Utrecht,NED,1,1262.30334473,1959-11-06,1959-11-08
None,Utrecht,NED,1,1265.26245117,1959-11-09,1959-11-15
None,Utrecht,NED,1,1254.99609375,1959-11-16,1959-11-22
None,Utrecht,NED,1,1264.74755859,1959-11-23,1959-11-25
None,Utrecht,NED,1,1312.51708984,1959-11-26,1959-11-29
None,Utrecht,NED,1,1307.35961914,1959-11-30,1959-12-06
None,Utrecht,NED,1,1317.11035156,1959-12-07,1959-12-13
None,Utrecht,NED,1,1305.94555664,1959-12-14,1959-12-20
None,Utrecht,NED,1,1319.02941895,1959-12-21,1959-12-27
None,Utrecht,NED,1,1307.74182129,1959-12-28,1960-01-03
None,Utrecht,NED,1,1289.47607422,1960-01-04,1960-01-10
None,Utrecht,NED,1,1282.46105957,1960-01-11,1960-01-24
None,Utrecht,NED,1,1285.92211914,1960-01-25,1960-01-31
None,Utrecht,NED,1,1285.69104004,1960-02-01,1960-02-14
