Rank,Club,Country,Level,Elo,From,To
None,Vizela,POR,1,1314.50891113,1984-07-01,1984-08-26
None,Vizela,POR,1,1312.1427002,1984-08-27,1984-09-02
None,Vizela,POR,1,1309.80981445,1984-09-03,1984-09-16
None,Vizela,POR,1,1301.17419434,1984-09-17,1984-09-19
None,Vizela,POR,1,1301.02722168,1984-09-20,1984-09-23
None,Vizela,POR,1,1319.50793457,1984-09-24,1984-09-30
None,Vizela,POR,1,1315.13989258,1984-10-01,1984-10-03
None,Vizela,POR,1,1312.14477539,1984-10-04,1984-10-07
None,Vizela,POR,1,1305.08215332,1984-10-08,1984-10-21
None,Vizela,POR,1,1301.93481445,1984-10-22,1984-10-24
None,Vizela,POR,1,1303.79077148,1984-10-25,1984-10-28
None,Vizela,POR,1,1308.45275879,1984-10-29,1984-11-04
None,Vizela,POR,1,1301.96533203,1984-11-05,1984-11-07
None,Vizela,POR,1,1296.05969238,1984-11-08,1984-11-18
None,Vizela,POR,1,1291.35791016,1984-11-19,1984-11-25
None,Vizela,POR,1,1288.34265137,1984-11-26,1984-12-02
None,Vizela,POR,1,1296.81591797,1984-12-03,1984-12-16
None,Vizela,POR,1,1295.92443848,1984-12-17,1984-12-23
None,Vizela,POR,1,1301.30224609,1984-12-24,1984-12-30
None,Vizela,POR,1,1309.22521973,1984-12-31,1985-01-13
None,Vizela,POR,1,1308.5958252,1985-01-14,1985-01-20
None,Vizela,POR,1,1315.39648438,1985-01-21,1985-01-27
None,Vizela,POR,1,1311.30944824,1985-01-28,1985-02-16
None,Vizela,POR,1,1299.29931641,1985-02-17,1985-03-03
None,Vizela,POR,1,1295.79797363,1985-03-04,1985-03-10
None,Vizela,POR,1,1283.65258789,1985-03-11,1985-03-24
None,Vizela,POR,1,1289.44958496,1985-03-25,1985-03-31
None,Vizela,POR,1,1285.19262695,1985-04-01,1985-04-14
None,Vizela,POR,1,1284.38671875,1985-04-15,1985-04-21
None,Vizela,POR,1,1274.42687988,1985-04-22,1985-04-28
None,Vizela,POR,1,1266.71179199,1985-04-29,1985-05-12
None,Vizela,POR,1,1264.7388916,1985-05-13,1985-05-19
None,Vizela,POR,1,1272.33679199,1985-05-20,1985-05-26
None,Vizela,POR,1,1268.63903809,1985-05-27,1985-06-02
None,Vizela,POR,1,1258.96191406,1985-06-03,1985-07-02
None,Vizela,POR,1,1359.26000977,2021-07-01,2021-07-22
None,Vizela,POR,1,1359.62280273,2021-07-23,2021-07-29
None,Vizela,POR,1,1359.89868164,2021-07-30,2021-08-04
None,Vizela,POR,1,1361.37304688,2021-08-05,2021-08-05
None,Vizela,POR,1,1362.9675293,2021-08-06,2021-08-06
None,Vizela,POR,1,1360.93884277,2021-08-07,2021-08-10
None,Vizela,POR,1,1361.68969727,2021-08-11,2021-08-12
None,Vizela,POR,1,1362.89111328,2021-08-13,2021-08-14
None,Vizela,POR,1,1371.27233887,2021-08-15,2021-08-18
None,Vizela,POR,1,1372.52734375,2021-08-19,2021-08-19
None,Vizela,POR,1,1375.72521973,2021-08-20,2021-08-22
None,Vizela,POR,1,1366.78356934,2021-08-23,2021-08-24
None,Vizela,POR,1,1368.75634766,2021-08-25,2021-08-26
None,Vizela,POR,1,1361.96643066,2021-08-27,2021-08-28
None,Vizela,POR,1,1363.87988281,2021-08-29,2021-09-12
None,Vizela,POR,1,1367.89477539,2021-09-13,2021-09-14
None,Vizela,POR,1,1367.63708496,2021-09-15,2021-09-15
None,Vizela,POR,1,1363.21887207,2021-09-16,2021-09-16
None,Vizela,POR,1,1361.25549316,2021-09-17,2021-09-19
None,Vizela,POR,1,1362.86157227,2021-09-20,2021-09-26
None,Vizela,POR,1,1366.51086426,2021-09-27,2021-09-28
None,Vizela,POR,1,1360.19555664,2021-09-29,2021-09-29
None,Vizela,POR,1,1366.64404297,2021-09-30,2021-09-30
None,Vizela,POR,1,1369.83129883,2021-10-01,2021-10-02
None,Vizela,POR,1,1371.31665039,2021-10-03,2021-10-19
