Rank,Club,Country,Level,Elo,From,To
None,Volendam,NED,1,1122.36132812,1959-07-04,1959-08-23
None,Volendam,NED,1,1129.34570312,1959-08-24,1959-08-30
None,Volendam,NED,1,1125.69543457,1959-08-31,1959-09-03
None,Volendam,NED,1,1123.4206543,1959-09-04,1959-09-06
None,Volendam,NED,1,1142.2623291,1959-09-07,1959-09-13
None,Volendam,NED,1,1149.2890625,1959-09-14,1959-09-27
None,Volendam,NED,1,1140.24963379,1959-09-28,1959-10-11
None,Volendam,NED,1,1149.7890625,1959-10-12,1959-10-18
None,Volendam,NED,1,1157.25805664,1959-10-19,1959-10-25
None,Volendam,NED,1,1164.35498047,1959-10-26,1959-11-01
None,Volendam,NED,1,1153.47143555,1959-11-02,1959-11-05
None,Volendam,NED,1,1146.77905273,1959-11-06,1959-11-08
None,Volendam,NED,1,1152.71875,1959-11-09,1959-11-15
None,Volendam,NED,1,1146.54638672,1959-11-16,1959-11-22
None,Volendam,NED,1,1135.02246094,1959-11-23,1959-11-25
None,Volendam,NED,1,1182.79199219,1959-11-26,1959-11-29
None,Volendam,NED,1,1177.32666016,1959-11-30,1959-12-06
None,Volendam,NED,1,1170.56835938,1959-12-07,1959-12-13
None,Volendam,NED,1,1163.5168457,1959-12-14,1959-12-20
None,Volendam,NED,1,1162.2109375,1959-12-21,1959-12-27
None,Volendam,NED,1,1154.03210449,1959-12-28,1960-01-03
None,Volendam,NED,1,1172.29797363,1960-01-04,1960-01-10
None,Volendam,NED,1,1176.83398438,1960-01-11,1960-01-24
None,Volendam,NED,1,1171.80957031,1960-01-25,1960-02-07
None,Volendam,NED,1,1157.95385742,1960-02-08,1960-02-14
None,Volendam,NED,1,1152.57592773,1960-02-15,1960-02-21
None,Volendam,NED,1,1158.70837402,1960-02-22,1960-03-06
None,Volendam,NED,1,1163.35900879,1960-03-07,1960-03-09
None,Volendam,NED,1,1162.5723877,1960-03-10,1960-03-13
None,Volendam,NED,1,1157.453125,1960-03-14,1960-03-16
None,Volendam,NED,1,1158.19543457,1960-03-17,1960-03-20
None,Volendam,NED,1,1146.2355957,1960-03-21,1960-03-27
None,Volendam,NED,1,1141.04333496,1960-03-28,1960-03-30
None,Volendam,NED,1,1138.46704102,1960-03-31,1960-04-10
None,Volendam,NED,1,1124.74279785,1960-04-11,1960-04-18
None,Volendam,NED,1,1120.53405762,1960-04-19,1960-05-01
None,Volendam,NED,1,1129.2421875,1960-05-02,1960-05-08
None,Volendam,NED,1,1126.33557129,1960-05-09,1960-05-15
None,Volendam,NED,1,1116.5213623,1960-05-16,1960-05-22
None,Volendam,NED,1,1112.22241211,1960-05-23,1960-07-01
None,Volendam,NED,1,1102.32946777,1961-07-02,1961-08-20
None,Volendam,NED,1,1113.88916016,1961-08-21,1961-08-27
None,Volendam,NED,1,1115.28747559,1961-08-28,1961-09-03
None,Volendam,NED,1,1131.52612305,1961-09-04,1961-09-06
None,Volendam,NED,1,1160.92285156,1961-09-07,1961-09-10
None,Volendam,NED,1,1152.43103027,1961-09-11,1961-09-13
None,Volendam,NED,1,1162.76733398,1961-09-14,1961-09-17
None,Volendam,NED,1,1149.19665527,1961-09-18,1961-09-24
None,Volendam,NED,1,1145.66931152,1961-09-25,1961-10-01
None,Volendam,NED,1,1154.17150879,1961-10-02,1961-10-08
None,Volendam,NED,1,1152.57214355,1961-10-09,1961-10-15
None,Volendam,NED,1,1164.65197754,1961-10-16,1961-10-24
None,Volendam,NED,1,1160.69665527,1961-10-25,1961-10-29
None,Volendam,NED,1,1151.81347656,1961-10-30,1961-11-02
None,Volendam,NED,1,1153.72607422,1961-11-03,1961-11-05
None,Volendam,NED,1,1168.81103516,1961-11-06,1961-11-19
None,Volendam,NED,1,1173.56848145,1961-11-20,1961-11-26
None,Volendam,NED,1,1180.72705078,1961-11-27,1961-11-29
None,Volendam,NED,1,1178.66479492,1961-11-30,1961-12-03
None,Volendam,NED,1,1171.49658203,1961-12-04,1961-12-10
None,Volendam,NED,1,1182.32641602,1961-12-11,1961-12-17
None,Volendam,NED,1,1176.24963379,1961-12-18,1962-01-14
None,Volendam,NED,1,1186.8503418,1962-01-15,1962-01-21
None,Volendam,NED,1,1190.01757812,1962-01-22,1962-01-28
None,Volendam,NED,1,1202.47949219,1962-01-29,1962-02-04
None,Volendam,NED,1,1192.99975586,1962-02-05,1962-02-11
None,Volendam,NED,1,1210.00427246,1962-02-12,1962-02-18
None,Volendam,NED,1,1203.45788574,1962-02-19,1962-02-25
None,Volendam,NED,1,1225.26257324,1962-02-26,1962-03-04
None,Volendam,NED,1,1218.06091309,1962-03-05,1962-03-11
None,Volendam,NED,1,1223.60803223,1962-03-12,1962-03-18
None,Volendam,NED,1,1215.49743652,1962-03-19,1962-03-25
None,Volendam,NED,1,1222.12084961,1962-03-26,1962-04-08
None,Volendam,NED,1,1215.79968262,1962-04-09,1962-04-15
None,Volendam,NED,1,1228.1697998,1962-04-16,1962-04-21
None,Volendam,NED,1,1222.15893555,1962-04-22,1962-04-23
None,Volendam,NED,1,1211.2121582,1962-04-24,1962-05-06
None,Volendam,NED,1,1222.55932617,1962-05-07,1962-05-13
None,Volendam,NED,1,1229.72814941,1962-05-14,1962-05-20
None,Volendam,NED,1,1220.49853516,1962-05-21,1962-08-26
None,Volendam,NED,1,1217.95605469,1962-08-27,1962-09-02
None,Volendam,NED,1,1218.06652832,1962-09-03,1962-09-09
None,Volendam,NED,1,1211.99694824,1962-09-10,1962-09-12
None,Volendam,NED,1,1239.66992188,1962-09-13,1962-09-16
None,Volendam,NED,1,1264.2064209,1962-09-17,1962-09-19
None,Volendam,NED,1,1232.67492676,1962-09-20,1962-09-23
None,Volendam,NED,1,1233.8145752,1962-09-24,1962-09-30
None,Volendam,NED,1,1243.37548828,1962-10-01,1962-10-03
None,Volendam,NED,1,1244.41992188,1962-10-04,1962-10-07
None,Volendam,NED,1,1245.74462891,1962-10-08,1962-10-17
None,Volendam,NED,1,1273.04650879,1962-10-18,1962-10-21
None,Volendam,NED,1,1271.13549805,1962-10-22,1962-10-28
None,Volendam,NED,1,1267.21594238,1962-10-29,1962-11-04
None,Volendam,NED,1,1254.63989258,1962-11-05,1962-11-14
None,Volendam,NED,1,1253.97814941,1962-11-15,1962-11-18
None,Volendam,NED,1,1241.7166748,1962-11-19,1962-11-25
None,Volendam,NED,1,1250.11193848,1962-11-26,1962-11-28
None,Volendam,NED,1,1250.75598145,1962-11-29,1962-12-02
None,Volendam,NED,1,1247.13134766,1962-12-03,1962-12-12
None,Volendam,NED,1,1270.34436035,1962-12-13,1962-12-23
None,Volendam,NED,1,1266.86328125,1962-12-24,1962-12-26
None,Volendam,NED,1,1264.73852539,1962-12-27,1963-02-06
None,Volendam,NED,1,1279.96594238,1963-02-07,1963-03-01
None,Volendam,NED,1,1283.43859863,1963-03-02,1963-03-13
None,Volendam,NED,1,1287.40454102,1963-03-14,1963-03-24
None,Volendam,NED,1,1283.3894043,1963-03-25,1963-04-07
None,Volendam,NED,1,1300.93823242,1963-04-08,1963-04-10
None,Volendam,NED,1,1300.44909668,1963-04-11,1963-04-13
None,Volendam,NED,1,1292.61499023,1963-04-14,1963-04-21
None,Volendam,NED,1,1298.52563477,1963-04-22,1963-04-28
None,Volendam,NED,1,1302.50012207,1963-04-29,1963-05-05
None,Volendam,NED,1,1287.6159668,1963-05-06,1963-05-08
None,Volendam,NED,1,1286.73339844,1963-05-09,1963-05-12
None,Volendam,NED,1,1281.23474121,1963-05-13,1963-05-19
None,Volendam,NED,1,1290.7298584,1963-05-20,1963-05-23
None,Volendam,NED,1,1294.55566406,1963-05-24,1963-05-26
None,Volendam,NED,1,1285.42944336,1963-05-27,1963-06-01
None,Volendam,NED,1,1290.94848633,1963-06-02,1963-06-03
None,Volendam,NED,1,1290.16638184,1963-06-04,1963-06-05
None,Volendam,NED,1,1303.54199219,1963-06-06,1963-06-16
None,Volendam,NED,1,1298.5168457,1963-06-17,1963-08-25
None,Volendam,NED,1,1290.43933105,1963-08-26,1963-09-01
None,Volendam,NED,1,1282.67651367,1963-09-02,1963-09-08
None,Volendam,NED,1,1274.92041016,1963-09-09,1963-09-15
None,Volendam,NED,1,1261.11303711,1963-09-16,1963-09-22
None,Volendam,NED,1,1256.75695801,1963-09-23,1963-09-25
None,Volendam,NED,1,1270.60412598,1963-09-26,1963-10-06
None,Volendam,NED,1,1257.54382324,1963-10-07,1963-10-09
None,Volendam,NED,1,1279.60437012,1963-10-10,1963-10-13
None,Volendam,NED,1,1271.19299316,1963-10-14,1963-10-15
None,Volendam,NED,1,1270.35131836,1963-10-16,1963-10-27
None,Volendam,NED,1,1266.52075195,1963-10-28,1963-11-03
None,Volendam,NED,1,1267.4732666,1963-11-04,1963-11-10
None,Volendam,NED,1,1265.52307129,1963-11-11,1963-11-13
None,Volendam,NED,1,1274.63684082,1963-11-14,1963-11-24
None,Volendam,NED,1,1275.2244873,1963-11-25,1963-11-27
None,Volendam,NED,1,1273.99133301,1963-11-28,1963-12-01
None,Volendam,NED,1,1266.15222168,1963-12-02,1963-12-08
None,Volendam,NED,1,1280.10998535,1963-12-09,1963-12-15
None,Volendam,NED,1,1274.17285156,1963-12-16,1963-12-22
None,Volendam,NED,1,1272.94958496,1963-12-23,1964-01-05
None,Volendam,NED,1,1270.35327148,1964-01-06,1964-01-12
None,Volendam,NED,1,1271.29504395,1964-01-13,1964-01-19
None,Volendam,NED,1,1257.75842285,1964-01-20,1964-02-02
None,Volendam,NED,1,1262.95568848,1964-02-03,1964-02-16
None,Volendam,NED,1,1264.41540527,1964-02-17,1964-03-01
None,Volendam,NED,1,1261.48132324,1964-03-02,1964-03-04
None,Volendam,NED,1,1259.40270996,1964-03-05,1964-03-11
None,Volendam,NED,1,1252.08508301,1964-03-12,1964-03-15
None,Volendam,NED,1,1261.2989502,1964-03-16,1964-03-30
None,Volendam,NED,1,1274.72009277,1964-03-31,1964-04-05
None,Volendam,NED,1,1269.77075195,1964-04-06,1964-04-19
None,Volendam,NED,1,1281.70397949,1964-04-20,1964-04-26
None,Volendam,NED,1,1275.25878906,1964-04-27,1964-05-07
None,Volendam,NED,1,1279.75146484,1964-05-08,1964-05-10
None,Volendam,NED,1,1282.35827637,1964-05-11,1964-05-16
None,Volendam,NED,1,1280.15673828,1964-05-17,1964-05-18
None,Volendam,NED,1,1282.70776367,1964-05-19,1964-07-01
None,Volendam,NED,1,1323.20715332,1967-07-02,1967-08-13
None,Volendam,NED,1,1328.18505859,1967-08-14,1967-08-20
None,Volendam,NED,1,1340.25,1967-08-21,1967-08-27
None,Volendam,NED,1,1345.79052734,1967-08-28,1967-09-03
None,Volendam,NED,1,1342.88305664,1967-09-04,1967-09-10
None,Volendam,NED,1,1340.39404297,1967-09-11,1967-09-17
None,Volendam,NED,1,1346.20153809,1967-09-18,1967-09-20
None,Volendam,NED,1,1344.8269043,1967-09-21,1967-09-21
None,Volendam,NED,1,1346.82751465,1967-09-22,1967-09-24
None,Volendam,NED,1,1331.61474609,1967-09-25,1967-10-01
None,Volendam,NED,1,1334.39172363,1967-10-02,1967-10-08
None,Volendam,NED,1,1329.61120605,1967-10-09,1967-10-11
None,Volendam,NED,1,1328.8671875,1967-10-12,1967-10-12
None,Volendam,NED,1,1328.61975098,1967-10-13,1967-10-15
None,Volendam,NED,1,1312.98144531,1967-10-16,1967-10-22
None,Volendam,NED,1,1307.49511719,1967-10-23,1967-10-29
None,Volendam,NED,1,1313.72973633,1967-10-30,1967-11-05
None,Volendam,NED,1,1313.97680664,1967-11-06,1967-11-12
None,Volendam,NED,1,1319.28430176,1967-11-13,1967-11-15
None,Volendam,NED,1,1314.81921387,1967-11-16,1967-11-19
None,Volendam,NED,1,1319.84399414,1967-11-20,1967-11-26
None,Volendam,NED,1,1323.08544922,1967-11-27,1967-11-29
None,Volendam,NED,1,1317.97424316,1967-11-30,1967-12-03
None,Volendam,NED,1,1315.99353027,1967-12-04,1967-12-17
None,Volendam,NED,1,1325.12719727,1967-12-18,1967-12-24
None,Volendam,NED,1,1328.69506836,1967-12-25,1968-01-07
None,Volendam,NED,1,1321.98144531,1968-01-08,1968-01-21
None,Volendam,NED,1,1325.40100098,1968-01-22,1968-01-28
None,Volendam,NED,1,1320.87524414,1968-01-29,1968-02-04
None,Volendam,NED,1,1334.6751709,1968-02-05,1968-02-11
None,Volendam,NED,1,1331.9095459,1968-02-12,1968-02-18
None,Volendam,NED,1,1328.57531738,1968-02-19,1968-03-03
None,Volendam,NED,1,1338.14428711,1968-03-04,1968-03-17
None,Volendam,NED,1,1332.2590332,1968-03-18,1968-03-31
None,Volendam,NED,1,1337.44628906,1968-04-01,1968-04-15
None,Volendam,NED,1,1335.22424316,1968-04-16,1968-04-21
None,Volendam,NED,1,1328.6953125,1968-04-22,1968-05-05
None,Volendam,NED,1,1327.42871094,1968-05-06,1968-05-12
None,Volendam,NED,1,1320.88598633,1968-05-13,1968-05-19
None,Volendam,NED,1,1331.04187012,1968-05-20,1968-05-26
None,Volendam,NED,1,1326.52185059,1968-05-27,1968-08-18
None,Volendam,NED,1,1321.70922852,1968-08-19,1968-08-25
None,Volendam,NED,1,1332.3470459,1968-08-26,1968-09-01
None,Volendam,NED,1,1329.89978027,1968-09-02,1968-09-08
None,Volendam,NED,1,1326.62670898,1968-09-09,1968-09-16
None,Volendam,NED,1,1327.88830566,1968-09-17,1968-09-18
None,Volendam,NED,1,1336.96643066,1968-09-19,1968-09-19
None,Volendam,NED,1,1342.13085938,1968-09-20,1968-09-22
None,Volendam,NED,1,1347.88354492,1968-09-23,1968-09-29
None,Volendam,NED,1,1353.18444824,1968-09-30,1968-10-02
None,Volendam,NED,1,1372.48608398,1968-10-03,1968-10-03
None,Volendam,NED,1,1375.89208984,1968-10-04,1968-10-06
None,Volendam,NED,1,1374.84155273,1968-10-07,1968-10-13
None,Volendam,NED,1,1380.76696777,1968-10-14,1968-10-20
None,Volendam,NED,1,1378.45776367,1968-10-21,1968-11-03
None,Volendam,NED,1,1370.93554688,1968-11-04,1968-11-12
None,Volendam,NED,1,1366.69274902,1968-11-13,1968-11-13
None,Volendam,NED,1,1367.73193359,1968-11-14,1968-11-17
None,Volendam,NED,1,1356.97058105,1968-11-18,1968-11-24
None,Volendam,NED,1,1354.69567871,1968-11-25,1968-11-27
None,Volendam,NED,1,1353.12487793,1968-11-28,1968-11-28
None,Volendam,NED,1,1354.58276367,1968-11-29,1968-12-01
None,Volendam,NED,1,1349.31518555,1968-12-02,1968-12-08
None,Volendam,NED,1,1343.53710938,1968-12-09,1968-12-15
None,Volendam,NED,1,1334.86425781,1968-12-16,1968-12-22
None,Volendam,NED,1,1329.76953125,1968-12-23,1969-01-05
None,Volendam,NED,1,1331.48059082,1969-01-06,1969-01-12
None,Volendam,NED,1,1336.49743652,1969-01-13,1969-01-19
None,Volendam,NED,1,1327.07788086,1969-01-20,1969-01-26
None,Volendam,NED,1,1318.42138672,1969-01-27,1969-02-02
None,Volendam,NED,1,1327.95031738,1969-02-03,1969-02-12
None,Volendam,NED,1,1314.43835449,1969-02-13,1969-02-19
None,Volendam,NED,1,1330.44995117,1969-02-20,1969-03-02
None,Volendam,NED,1,1332.72058105,1969-03-03,1969-03-05
None,Volendam,NED,1,1351.41320801,1969-03-06,1969-03-30
None,Volendam,NED,1,1348.37658691,1969-03-31,1969-04-07
None,Volendam,NED,1,1352.38842773,1969-04-08,1969-04-13
None,Volendam,NED,1,1350.50830078,1969-04-14,1969-04-20
None,Volendam,NED,1,1343.22692871,1969-04-21,1969-04-24
None,Volendam,NED,1,1341.76757812,1969-04-25,1969-04-27
None,Volendam,NED,1,1352.47363281,1969-04-28,1969-05-11
None,Volendam,NED,1,1351.70080566,1969-05-12,1969-05-15
None,Volendam,NED,1,1349.0300293,1969-05-16,1969-05-18
None,Volendam,NED,1,1346.03881836,1969-05-19,1969-05-26
None,Volendam,NED,1,1347.76635742,1969-05-27,1969-05-28
None,Volendam,NED,1,1339.50024414,1969-05-29,1969-06-01
None,Volendam,NED,1,1342.39306641,1969-06-02,1969-06-11
None,Volendam,NED,1,1346.99060059,1969-06-12,1969-07-01
None,Volendam,NED,1,1394.90856934,1970-07-01,1970-08-23
None,Volendam,NED,1,1389.54614258,1970-08-24,1970-08-30
None,Volendam,NED,1,1387.63757324,1970-08-31,1970-09-06
None,Volendam,NED,1,1394.32202148,1970-09-07,1970-09-13
None,Volendam,NED,1,1390.41064453,1970-09-14,1970-09-16
None,Volendam,NED,1,1383.6081543,1970-09-17,1970-09-20
None,Volendam,NED,1,1380.61279297,1970-09-21,1970-09-27
None,Volendam,NED,1,1392.11791992,1970-09-28,1970-09-30
None,Volendam,NED,1,1386.93286133,1970-10-01,1970-10-04
None,Volendam,NED,1,1376.37780762,1970-10-05,1970-10-18
None,Volendam,NED,1,1375.22741699,1970-10-19,1970-10-21
None,Volendam,NED,1,1381.96582031,1970-10-22,1970-10-25
None,Volendam,NED,1,1382.86315918,1970-10-26,1970-11-01
None,Volendam,NED,1,1374.33728027,1970-11-02,1970-11-04
None,Volendam,NED,1,1377.42956543,1970-11-05,1970-11-15
None,Volendam,NED,1,1388.61376953,1970-11-16,1970-11-22
None,Volendam,NED,1,1387.14770508,1970-11-23,1970-11-29
None,Volendam,NED,1,1385.46643066,1970-11-30,1970-12-06
None,Volendam,NED,1,1387.80285645,1970-12-07,1970-12-13
None,Volendam,NED,1,1390.99694824,1970-12-14,1970-12-20
None,Volendam,NED,1,1399.86340332,1970-12-21,1971-01-17
None,Volendam,NED,1,1394.5480957,1971-01-18,1971-01-24
None,Volendam,NED,1,1390.13098145,1971-01-25,1971-01-31
None,Volendam,NED,1,1396.29638672,1971-02-01,1971-02-07
None,Volendam,NED,1,1394.70544434,1971-02-08,1971-02-13
None,Volendam,NED,1,1393.07226562,1971-02-14,1971-02-21
None,Volendam,NED,1,1392.07434082,1971-02-22,1971-02-28
None,Volendam,NED,1,1396.76611328,1971-03-01,1971-03-10
None,Volendam,NED,1,1410.08215332,1971-03-11,1971-03-21
None,Volendam,NED,1,1407.2265625,1971-03-22,1971-03-24
None,Volendam,NED,1,1410.56030273,1971-03-25,1971-03-28
None,Volendam,NED,1,1416.64428711,1971-03-29,1971-04-12
None,Volendam,NED,1,1421.09924316,1971-04-13,1971-04-14
None,Volendam,NED,1,1417.01391602,1971-04-15,1971-04-18
None,Volendam,NED,1,1424.16625977,1971-04-19,1971-04-25
None,Volendam,NED,1,1427.96569824,1971-04-26,1971-04-28
None,Volendam,NED,1,1437.54589844,1971-04-29,1971-05-02
None,Volendam,NED,1,1432.05895996,1971-05-03,1971-05-09
None,Volendam,NED,1,1435.91821289,1971-05-10,1971-05-16
None,Volendam,NED,1,1439.65661621,1971-05-17,1971-05-23
None,Volendam,NED,1,1446.87060547,1971-05-24,1971-05-31
None,Volendam,NED,1,1448.53833008,1971-06-01,1971-06-02
None,Volendam,NED,1,1449.97558594,1971-06-03,1971-06-06
None,Volendam,NED,1,1451.58178711,1971-06-07,1971-08-15
None,Volendam,NED,1,1447.52185059,1971-08-16,1971-08-22
None,Volendam,NED,1,1451.42565918,1971-08-23,1971-08-29
None,Volendam,NED,1,1452.80639648,1971-08-30,1971-09-05
None,Volendam,NED,1,1449.7956543,1971-09-06,1971-09-11
None,Volendam,NED,1,1446.43969727,1971-09-12,1971-09-14
None,Volendam,NED,1,1446.50695801,1971-09-15,1971-09-15
None,Volendam,NED,1,1448.27233887,1971-09-16,1971-09-16
None,Volendam,NED,1,1453.61572266,1971-09-17,1971-09-19
None,Volendam,NED,1,1444.46704102,1971-09-20,1971-09-22
None,Volendam,NED,1,1444.47729492,1971-09-23,1971-09-26
None,Volendam,NED,1,1439.7935791,1971-09-27,1971-09-28
None,Volendam,NED,1,1439.78930664,1971-09-29,1971-09-29
None,Volendam,NED,1,1446.54943848,1971-09-30,1971-10-03
None,Volendam,NED,1,1447.2800293,1971-10-04,1971-10-17
None,Volendam,NED,1,1442.60778809,1971-10-18,1971-10-20
None,Volendam,NED,1,1431.38793945,1971-10-21,1971-10-24
