Rank,Club,Country,Level,Elo,From,To
None,Waalwijk,NED,1,1393.67602539,1988-07-03,1988-08-21
None,Waalwijk,NED,1,1386.37988281,1988-08-22,1988-08-24
None,Waalwijk,NED,1,1388.64135742,1988-08-25,1988-08-28
None,Waalwijk,NED,1,1412.8972168,1988-08-29,1988-08-31
None,Waalwijk,NED,1,1409.45056152,1988-09-01,1988-09-04
None,Waalwijk,NED,1,1421.14685059,1988-09-05,1988-09-07
None,Waalwijk,NED,1,1422.73657227,1988-09-08,1988-09-17
None,Waalwijk,NED,1,1413.02038574,1988-09-18,1988-09-25
None,Waalwijk,NED,1,1430.9152832,1988-09-26,1988-10-05
None,Waalwijk,NED,1,1422.5032959,1988-10-06,1988-10-07
None,Waalwijk,NED,1,1414.98864746,1988-10-08,1988-10-11
None,Waalwijk,NED,1,1420.99133301,1988-10-12,1988-10-12
None,Waalwijk,NED,1,1420.16711426,1988-10-13,1988-10-23
None,Waalwijk,NED,1,1414.75317383,1988-10-24,1988-10-26
None,Waalwijk,NED,1,1430.39782715,1988-10-27,1988-10-30
None,Waalwijk,NED,1,1417.97192383,1988-10-31,1988-11-05
None,Waalwijk,NED,1,1413.88220215,1988-11-06,1988-11-09
None,Waalwijk,NED,1,1420.09985352,1988-11-10,1988-11-12
None,Waalwijk,NED,1,1419.26428223,1988-11-13,1988-11-22
None,Waalwijk,NED,1,1414.87805176,1988-11-23,1988-11-27
None,Waalwijk,NED,1,1427.81201172,1988-11-28,1988-12-06
None,Waalwijk,NED,1,1427.39599609,1988-12-07,1988-12-11
None,Waalwijk,NED,1,1438.45581055,1988-12-12,1988-12-16
None,Waalwijk,NED,1,1432.03759766,1988-12-17,1989-01-22
None,Waalwijk,NED,1,1438.25170898,1989-01-23,1989-01-25
None,Waalwijk,NED,1,1452.2076416,1989-01-26,1989-01-29
None,Waalwijk,NED,1,1465.91003418,1989-01-30,1989-02-11
None,Waalwijk,NED,1,1469.42871094,1989-02-12,1989-02-19
None,Waalwijk,NED,1,1460.59265137,1989-02-20,1989-02-25
None,Waalwijk,NED,1,1451.60510254,1989-02-26,1989-03-01
None,Waalwijk,NED,1,1449.68115234,1989-03-02,1989-03-05
None,Waalwijk,NED,1,1438.54931641,1989-03-06,1989-03-12
None,Waalwijk,NED,1,1437.19165039,1989-03-13,1989-03-15
None,Waalwijk,NED,1,1437.30102539,1989-03-16,1989-03-19
None,Waalwijk,NED,1,1435.38891602,1989-03-20,1989-03-27
None,Waalwijk,NED,1,1440.28674316,1989-03-28,1989-04-02
None,Waalwijk,NED,1,1442.63793945,1989-04-03,1989-04-09
None,Waalwijk,NED,1,1438.37756348,1989-04-10,1989-04-16
None,Waalwijk,NED,1,1447.10668945,1989-04-17,1989-04-30
None,Waalwijk,NED,1,1453.50170898,1989-05-01,1989-05-07
None,Waalwijk,NED,1,1457.5612793,1989-05-08,1989-05-13
None,Waalwijk,NED,1,1466.22131348,1989-05-14,1989-05-15
None,Waalwijk,NED,1,1477.68041992,1989-05-16,1989-05-21
None,Waalwijk,NED,1,1483.02404785,1989-05-22,1989-08-13
None,Waalwijk,NED,1,1493.60083008,1989-08-14,1989-08-16
None,Waalwijk,NED,1,1508.96789551,1989-08-17,1989-08-19
None,Waalwijk,NED,1,1520.09594727,1989-08-20,1989-08-23
None,Waalwijk,NED,1,1516.68945312,1989-08-24,1989-08-27
None,Waalwijk,NED,1,1509.92614746,1989-08-28,1989-09-10
None,Waalwijk,NED,1,1514.96936035,1989-09-11,1989-09-13
None,Waalwijk,NED,1,1511.26818848,1989-09-14,1989-09-14
None,Waalwijk,NED,1,1509.7052002,1989-09-15,1989-09-17
None,Waalwijk,NED,1,1516.95202637,1989-09-18,1989-09-24
None,Waalwijk,NED,1,1520.30456543,1989-09-25,1989-09-26
None,Waalwijk,NED,1,1523.75390625,1989-09-27,1989-09-27
None,Waalwijk,NED,1,1515.0925293,1989-09-28,1989-10-01
None,Waalwijk,NED,1,1508.96960449,1989-10-02,1989-10-15
None,Waalwijk,NED,1,1507.82678223,1989-10-16,1989-10-18
None,Waalwijk,NED,1,1506.69848633,1989-10-19,1989-10-21
None,Waalwijk,NED,1,1495.67883301,1989-10-22,1989-10-29
None,Waalwijk,NED,1,1489.28735352,1989-10-30,1989-11-01
None,Waalwijk,NED,1,1498.44030762,1989-11-02,1989-11-05
None,Waalwijk,NED,1,1487.14453125,1989-11-06,1989-11-19
None,Waalwijk,NED,1,1482.22827148,1989-11-20,1989-11-26
None,Waalwijk,NED,1,1480.32641602,1989-11-27,1989-12-02
None,Waalwijk,NED,1,1484.48242188,1989-12-03,1989-12-17
None,Waalwijk,NED,1,1495.56799316,1989-12-18,1989-12-24
None,Waalwijk,NED,1,1499.57666016,1989-12-25,1990-01-21
None,Waalwijk,NED,1,1511.60412598,1990-01-22,1990-01-28
None,Waalwijk,NED,1,1507.95947266,1990-01-29,1990-02-04
None,Waalwijk,NED,1,1521.57055664,1990-02-05,1990-02-11
None,Waalwijk,NED,1,1532.4798584,1990-02-12,1990-02-17
None,Waalwijk,NED,1,1523.78527832,1990-02-18,1990-03-04
None,Waalwijk,NED,1,1514.49658203,1990-03-05,1990-03-07
None,Waalwijk,NED,1,1515.84411621,1990-03-08,1990-03-11
None,Waalwijk,NED,1,1517.5526123,1990-03-12,1990-03-18
None,Waalwijk,NED,1,1526.93505859,1990-03-19,1990-03-21
None,Waalwijk,NED,1,1520.66247559,1990-03-22,1990-03-25
None,Waalwijk,NED,1,1533.07250977,1990-03-26,1990-04-01
None,Waalwijk,NED,1,1528.15441895,1990-04-02,1990-04-11
None,Waalwijk,NED,1,1524.88354492,1990-04-12,1990-04-14
None,Waalwijk,NED,1,1527.8840332,1990-04-15,1990-04-19
None,Waalwijk,NED,1,1525.07531738,1990-04-20,1990-04-22
None,Waalwijk,NED,1,1526.32006836,1990-04-23,1990-04-29
None,Waalwijk,NED,1,1535.17736816,1990-04-30,1990-05-06
None,Waalwijk,NED,1,1523.18664551,1990-05-07,1990-08-26
None,Waalwijk,NED,1,1520.91943359,1990-08-27,1990-09-02
None,Waalwijk,NED,1,1513.86547852,1990-09-03,1990-09-09
None,Waalwijk,NED,1,1517.84838867,1990-09-10,1990-09-15
None,Waalwijk,NED,1,1518.53442383,1990-09-16,1990-09-18
None,Waalwijk,NED,1,1511.57287598,1990-09-19,1990-09-19
None,Waalwijk,NED,1,1510.29858398,1990-09-20,1990-09-23
None,Waalwijk,NED,1,1513.85095215,1990-09-24,1990-09-30
None,Waalwijk,NED,1,1505.82434082,1990-10-01,1990-10-02
None,Waalwijk,NED,1,1505.69091797,1990-10-03,1990-10-03
None,Waalwijk,NED,1,1492.29394531,1990-10-04,1990-10-07
None,Waalwijk,NED,1,1498.21081543,1990-10-08,1990-10-20
None,Waalwijk,NED,1,1495.56164551,1990-10-21,1990-10-24
None,Waalwijk,NED,1,1497.75183105,1990-10-25,1990-10-26
None,Waalwijk,NED,1,1493.05407715,1990-10-27,1990-11-04
None,Waalwijk,NED,1,1482.15332031,1990-11-05,1990-11-07
None,Waalwijk,NED,1,1498.47253418,1990-11-08,1990-11-11
None,Waalwijk,NED,1,1506.11315918,1990-11-12,1990-11-25
None,Waalwijk,NED,1,1513.34655762,1990-11-26,1990-11-28
None,Waalwijk,NED,1,1507.06835938,1990-11-29,1990-12-02
None,Waalwijk,NED,1,1507.7668457,1990-12-03,1990-12-09
None,Waalwijk,NED,1,1506.41674805,1990-12-10,1990-12-12
None,Waalwijk,NED,1,1505.91174316,1990-12-13,1990-12-22
None,Waalwijk,NED,1,1496.8638916,1990-12-23,1991-01-20
None,Waalwijk,NED,1,1495.22033691,1991-01-21,1991-01-26
None,Waalwijk,NED,1,1498.77612305,1991-01-27,1991-02-03
None,Waalwijk,NED,1,1495.12011719,1991-02-04,1991-03-03
None,Waalwijk,NED,1,1501.59765625,1991-03-04,1991-03-09
None,Waalwijk,NED,1,1509.71606445,1991-03-10,1991-03-17
None,Waalwijk,NED,1,1502.03479004,1991-03-18,1991-03-23
None,Waalwijk,NED,1,1487.15478516,1991-03-24,1991-04-01
None,Waalwijk,NED,1,1492.84008789,1991-04-02,1991-04-07
