Rank,Club,Country,Level,Elo,From,To
None,Willem II,NED,1,1069.13220215,1956-07-01,1956-09-02
None,Willem II,NED,1,1066.33093262,1956-09-03,1956-09-09
None,Willem II,NED,1,1091.94360352,1956-09-10,1956-09-23
None,Willem II,NED,1,1085.65600586,1956-09-24,1956-09-30
None,Willem II,NED,1,1083.08776855,1956-10-01,1956-10-07
None,Willem II,NED,1,1079.88098145,1956-10-08,1956-10-21
None,Willem II,NED,1,1070.28601074,1956-10-22,1956-10-28
None,Willem II,NED,1,1062.5645752,1956-10-29,1956-11-01
None,Willem II,NED,1,1062.54272461,1956-11-02,1956-11-11
None,Willem II,NED,1,1053.6907959,1956-11-12,1956-11-14
None,Willem II,NED,1,1053.64306641,1956-11-15,1956-11-18
None,Willem II,NED,1,1044.01989746,1956-11-19,1956-12-02
None,Willem II,NED,1,1039.77832031,1956-12-03,1956-12-09
None,Willem II,NED,1,1037.68640137,1956-12-10,1956-12-16
None,Willem II,NED,1,1030.14562988,1956-12-17,1956-12-23
None,Willem II,NED,1,1034.57946777,1956-12-24,1956-12-30
None,Willem II,NED,1,1038.91271973,1956-12-31,1957-01-06
None,Willem II,NED,1,1031.47851562,1957-01-07,1957-01-20
None,Willem II,NED,1,1027.71398926,1957-01-21,1957-01-27
None,Willem II,NED,1,1019.51580811,1957-01-28,1957-02-03
None,Willem II,NED,1,1025.51477051,1957-02-04,1957-02-10
None,Willem II,NED,1,1019.67126465,1957-02-11,1957-02-17
None,Willem II,NED,1,1010.17529297,1957-02-18,1957-02-24
None,Willem II,NED,1,1022.48034668,1957-02-25,1957-03-03
None,Willem II,NED,1,1014.02044678,1957-03-04,1957-03-10
None,Willem II,NED,1,1028.2310791,1957-03-11,1957-03-17
None,Willem II,NED,1,1020.96020508,1957-03-18,1957-03-24
None,Willem II,NED,1,1014.20648193,1957-03-25,1957-03-31
None,Willem II,NED,1,1009.32269287,1957-04-01,1957-04-07
None,Willem II,NED,1,998.716796875,1957-04-08,1957-04-14
None,Willem II,NED,1,993.365966797,1957-04-15,1957-04-22
None,Willem II,NED,1,993.032531738,1957-04-23,1957-04-30
None,Willem II,NED,1,985.460571289,1957-05-01,1957-05-05
None,Willem II,NED,1,994.564025879,1957-05-06,1957-05-12
None,Willem II,NED,1,1010.06274414,1957-05-13,1957-05-19
None,Willem II,NED,1,1014.19915771,1957-05-20,1957-06-02
None,Willem II,NED,1,1025.29516602,1957-06-03,1957-07-06
None,Willem II,NED,1,1199.80725098,1958-07-01,1958-08-24
None,Willem II,NED,1,1196.50646973,1958-08-25,1958-08-31
None,Willem II,NED,1,1191.88476562,1958-09-01,1958-09-07
None,Willem II,NED,1,1198.63562012,1958-09-08,1958-09-14
None,Willem II,NED,1,1189.2923584,1958-09-15,1958-09-21
None,Willem II,NED,1,1182.9362793,1958-09-22,1958-10-01
None,Willem II,NED,1,1180.99255371,1958-10-02,1958-10-05
None,Willem II,NED,1,1163.52099609,1958-10-06,1958-10-08
None,Willem II,NED,1,1163.29272461,1958-10-09,1958-10-12
None,Willem II,NED,1,1151.53039551,1958-10-13,1958-10-19
None,Willem II,NED,1,1150.20031738,1958-10-20,1958-10-26
