Rank,Club,Country,Level,Elo,From,To
None,Wrexham,ENG,0,1393.08276367,1972-07-01,1972-09-12
None,Wrexham,ENG,0,1394.42468262,1972-09-13,1972-09-13
None,Wrexham,ENG,0,1408.99291992,1972-09-14,1972-09-14
None,Wrexham,ENG,0,1408.92810059,1972-09-15,1972-09-26
None,Wrexham,ENG,0,1410.03369141,1972-09-27,1972-09-27
None,Wrexham,ENG,0,1409.79992676,1972-09-28,1972-10-24
None,Wrexham,ENG,0,1410.26611328,1972-10-25,1972-10-25
None,Wrexham,ENG,0,1429.43554688,1972-10-26,1972-11-07
None,Wrexham,ENG,0,1429.5814209,1972-11-08,1972-11-08
None,Wrexham,ENG,0,1416.44567871,1972-11-09,1972-11-29
None,Wrexham,ENG,0,1419.37695312,1972-11-30,1972-12-13
None,Wrexham,ENG,0,1421.27404785,1972-12-14,1973-03-07
None,Wrexham,ENG,0,1421.85375977,1973-03-08,1973-03-21
None,Wrexham,ENG,0,1429.30737305,1973-03-22,1973-04-11
None,Wrexham,ENG,0,1425.47253418,1973-04-12,1973-04-25
None,Wrexham,ENG,0,1422.28320312,1973-04-26,1973-05-10
None,Wrexham,ENG,0,1426.48583984,1973-05-11,1973-05-16
None,Wrexham,ENG,0,1422.45422363,1973-05-17,1973-05-23
None,Wrexham,ENG,0,1421.61779785,1973-05-24,1973-07-01
None,Wrexham,ENG,0,1388.86096191,1975-07-02,1975-09-17
None,Wrexham,ENG,0,1384.54614258,1975-09-18,1975-09-30
None,Wrexham,ENG,0,1387.70129395,1975-10-01,1975-10-01
None,Wrexham,ENG,0,1404.22521973,1975-10-02,1975-10-22
None,Wrexham,ENG,0,1424.6373291,1975-10-23,1975-11-04
None,Wrexham,ENG,0,1425.55859375,1975-11-05,1975-11-05
None,Wrexham,ENG,0,1415.87548828,1975-11-06,1975-11-26
None,Wrexham,ENG,0,1416.55004883,1975-11-27,1975-12-10
None,Wrexham,ENG,0,1416.86035156,1975-12-11,1976-03-03
None,Wrexham,ENG,0,1418.45715332,1976-03-04,1976-03-17
None,Wrexham,ENG,0,1418.15002441,1976-03-18,1976-03-30
None,Wrexham,ENG,0,1421.60400391,1976-03-31,1976-03-31
None,Wrexham,ENG,0,1423.58984375,1976-04-01,1976-04-14
None,Wrexham,ENG,0,1428.03613281,1976-04-15,1976-04-28
None,Wrexham,ENG,0,1426.34143066,1976-04-29,1976-05-05
None,Wrexham,ENG,0,1421.34594727,1976-05-06,1976-05-19
None,Wrexham,ENG,0,1424.98474121,1976-05-20,1976-07-03
None,Wrexham,ENG,2,1441.99304199,1978-07-01,1978-08-19
None,Wrexham,ENG,2,1442.87280273,1978-08-20,1978-08-22
None,Wrexham,ENG,2,1455.17871094,1978-08-23,1978-08-26
None,Wrexham,ENG,2,1467.47705078,1978-08-27,1978-09-02
None,Wrexham,ENG,2,1466.91601562,1978-09-03,1978-09-09
None,Wrexham,ENG,2,1470.45959473,1978-09-10,1978-09-13
None,Wrexham,ENG,2,1464.31323242,1978-09-14,1978-09-16
None,Wrexham,ENG,2,1464.51916504,1978-09-17,1978-09-23
None,Wrexham,ENG,2,1459.76086426,1978-09-24,1978-09-27
None,Wrexham,ENG,2,1468.98632812,1978-09-28,1978-09-30
None,Wrexham,ENG,2,1458.23876953,1978-10-01,1978-10-07
None,Wrexham,ENG,2,1454.15673828,1978-10-08,1978-10-14
None,Wrexham,ENG,2,1462.59460449,1978-10-15,1978-10-18
None,Wrexham,ENG,2,1465.87487793,1978-10-19,1978-10-21
None,Wrexham,ENG,2,1466.08068848,1978-10-22,1978-10-28
None,Wrexham,ENG,2,1469.24304199,1978-10-29,1978-11-01
None,Wrexham,ENG,2,1468.22143555,1978-11-02,1978-11-04
None,Wrexham,ENG,2,1477.97119141,1978-11-05,1978-11-11
None,Wrexham,ENG,2,1474.60644531,1978-11-12,1978-11-18
None,Wrexham,ENG,2,1483.05175781,1978-11-19,1978-11-22
None,Wrexham,ENG,2,1490.81774902,1978-11-23,1978-11-25
None,Wrexham,ENG,2,1498.87268066,1978-11-26,1978-12-06
None,Wrexham,ENG,2,1494.46655273,1978-12-07,1978-12-09
None,Wrexham,ENG,2,1504.28271484,1978-12-10,1978-12-16
None,Wrexham,ENG,2,1497.23046875,1978-12-17,1978-12-26
None,Wrexham,ENG,2,1491.52209473,1978-12-27,1979-02-24
None,Wrexham,ENG,2,1485.85754395,1979-02-25,1979-02-28
None,Wrexham,ENG,2,1496.67041016,1979-03-01,1979-03-03
None,Wrexham,ENG,2,1492.19946289,1979-03-04,1979-03-07
None,Wrexham,ENG,2,1485.93017578,1979-03-08,1979-03-10
None,Wrexham,ENG,2,1490.49182129,1979-03-11,1979-03-21
None,Wrexham,ENG,2,1469.74853516,1979-03-22,1979-03-24
None,Wrexham,ENG,2,1468.33435059,1979-03-25,1979-04-02
None,Wrexham,ENG,2,1465.78674316,1979-04-03,1979-04-07
None,Wrexham,ENG,2,1473.27978516,1979-04-08,1979-04-11
None,Wrexham,ENG,2,1468.78442383,1979-04-12,1979-04-14
None,Wrexham,ENG,2,1474.72436523,1979-04-15,1979-04-16
None,Wrexham,ENG,2,1478.66674805,1979-04-17,1979-04-17
None,Wrexham,ENG,2,1481.66052246,1979-04-18,1979-04-21
None,Wrexham,ENG,2,1474.13989258,1979-04-22,1979-04-24
None,Wrexham,ENG,2,1468.30725098,1979-04-25,1979-04-25
None,Wrexham,ENG,2,1476.91638184,1979-04-26,1979-04-28
None,Wrexham,ENG,2,1483.29345703,1979-04-29,1979-05-01
None,Wrexham,ENG,2,1486.95678711,1979-05-02,1979-05-05
None,Wrexham,ENG,2,1480.06225586,1979-05-06,1979-05-07
None,Wrexham,ENG,2,1488.50256348,1979-05-08,1979-05-08
None,Wrexham,ENG,2,1481.86962891,1979-05-09,1979-05-10
None,Wrexham,ENG,2,1471.21105957,1979-05-11,1979-05-14
None,Wrexham,ENG,2,1466.60424805,1979-05-15,1979-05-17
None,Wrexham,ENG,2,1469.67553711,1979-05-18,1979-05-30
None,Wrexham,ENG,2,1470.42651367,1979-05-31,1979-08-18
None,Wrexham,ENG,2,1479.59350586,1979-08-19,1979-08-21
None,Wrexham,ENG,2,1490.19128418,1979-08-22,1979-08-25
None,Wrexham,ENG,2,1484.38464355,1979-08-26,1979-09-01
None,Wrexham,ENG,2,1474.67480469,1979-09-02,1979-09-08
None,Wrexham,ENG,2,1484.63244629,1979-09-09,1979-09-15
None,Wrexham,ENG,2,1490.25390625,1979-09-16,1979-09-19
None,Wrexham,ENG,2,1485.71716309,1979-09-20,1979-09-22
None,Wrexham,ENG,2,1481.76171875,1979-09-23,1979-09-29
None,Wrexham,ENG,2,1487.95654297,1979-09-30,1979-10-03
None,Wrexham,ENG,2,1453.36853027,1979-10-04,1979-10-06
None,Wrexham,ENG,2,1468.86682129,1979-10-07,1979-10-08
None,Wrexham,ENG,2,1466.25073242,1979-10-09,1979-10-13
None,Wrexham,ENG,2,1474.64526367,1979-10-14,1979-10-20
None,Wrexham,ENG,2,1464.15808105,1979-10-21,1979-10-24
None,Wrexham,ENG,2,1462.02282715,1979-10-25,1979-10-27
None,Wrexham,ENG,2,1469.78479004,1979-10-28,1979-11-01
None,Wrexham,ENG,2,1451.05432129,1979-11-02,1979-11-03
None,Wrexham,ENG,2,1447.23706055,1979-11-04,1979-11-07
None,Wrexham,ENG,2,1452.72851562,1979-11-08,1979-11-10
None,Wrexham,ENG,2,1440.5333252,1979-11-11,1979-11-17
None,Wrexham,ENG,2,1431.61865234,1979-11-18,1979-11-24
None,Wrexham,ENG,2,1425.64868164,1979-11-25,1979-12-01
None,Wrexham,ENG,2,1431.14428711,1979-12-02,1979-12-08
None,Wrexham,ENG,2,1436.97314453,1979-12-09,1979-12-15
None,Wrexham,ENG,2,1446.75830078,1979-12-16,1979-12-21
None,Wrexham,ENG,2,1440.18078613,1979-12-22,1979-12-26
None,Wrexham,ENG,2,1445.84545898,1979-12-27,1979-12-29
None,Wrexham,ENG,2,1456.74975586,1979-12-30,1980-01-01
None,Wrexham,ENG,2,1464.51342773,1980-01-02,1980-01-12
None,Wrexham,ENG,2,1458.765625,1980-01-13,1980-01-19
None,Wrexham,ENG,2,1462.47570801,1980-01-20,1980-02-02
None,Wrexham,ENG,2,1450.79626465,1980-02-03,1980-02-09
None,Wrexham,ENG,2,1458.18737793,1980-02-10,1980-02-23
None,Wrexham,ENG,2,1453.50378418,1980-02-24,1980-02-26
None,Wrexham,ENG,2,1456.19458008,1980-02-27,1980-03-01
None,Wrexham,ENG,2,1445.31005859,1980-03-02,1980-03-05
None,Wrexham,ENG,2,1441.26757812,1980-03-06,1980-03-15
None,Wrexham,ENG,2,1436.43334961,1980-03-16,1980-03-18
None,Wrexham,ENG,2,1426.95617676,1980-03-19,1980-03-19
None,Wrexham,ENG,2,1437.60351562,1980-03-20,1980-03-22
None,Wrexham,ENG,2,1431.62353516,1980-03-23,1980-03-29
None,Wrexham,ENG,2,1438.4888916,1980-03-30,1980-04-04
None,Wrexham,ENG,2,1442.8807373,1980-04-05,1980-04-05
None,Wrexham,ENG,2,1446.69909668,1980-04-06,1980-04-07
None,Wrexham,ENG,2,1439.56298828,1980-04-08,1980-04-09
None,Wrexham,ENG,2,1438.84509277,1980-04-10,1980-04-12
None,Wrexham,ENG,2,1432.73950195,1980-04-13,1980-04-19
None,Wrexham,ENG,2,1424.74560547,1980-04-20,1980-04-23
None,Wrexham,ENG,2,1433.04040527,1980-04-24,1980-04-26
None,Wrexham,ENG,2,1426.93017578,1980-04-27,1980-05-03
None,Wrexham,ENG,2,1416.57958984,1980-05-04,1980-05-14
None,Wrexham,ENG,2,1415.95263672,1980-05-15,1980-05-28
None,Wrexham,ENG,2,1421.21850586,1980-05-29,1980-08-16
None,Wrexham,ENG,2,1426.85302734,1980-08-17,1980-08-19
None,Wrexham,ENG,2,1416.74145508,1980-08-20,1980-08-23
None,Wrexham,ENG,2,1411.3470459,1980-08-24,1980-08-30
None,Wrexham,ENG,2,1418.6348877,1980-08-31,1980-09-06
None,Wrexham,ENG,2,1423.97290039,1980-09-07,1980-09-13
None,Wrexham,ENG,2,1433.37731934,1980-09-14,1980-09-17
None,Wrexham,ENG,2,1425.67456055,1980-09-18,1980-09-20
None,Wrexham,ENG,2,1440.17944336,1980-09-21,1980-09-27
None,Wrexham,ENG,2,1429.80334473,1980-09-28,1980-10-01
None,Wrexham,ENG,2,1424.30334473,1980-10-02,1980-10-04
None,Wrexham,ENG,2,1422.76965332,1980-10-05,1980-10-07
None,Wrexham,ENG,2,1418.51293945,1980-10-08,1980-10-11
None,Wrexham,ENG,2,1413.21984863,1980-10-12,1980-10-18
None,Wrexham,ENG,2,1403.21826172,1980-10-19,1980-10-21
None,Wrexham,ENG,2,1411.89025879,1980-10-22,1980-10-22
None,Wrexham,ENG,2,1419.51940918,1980-10-23,1980-10-25
None,Wrexham,ENG,2,1433.06677246,1980-10-26,1980-11-01
None,Wrexham,ENG,2,1432.69238281,1980-11-02,1980-11-05
None,Wrexham,ENG,2,1435.00524902,1980-11-06,1980-11-08
None,Wrexham,ENG,2,1430.13806152,1980-11-09,1980-11-12
None,Wrexham,ENG,2,1424.76989746,1980-11-13,1980-11-15
None,Wrexham,ENG,2,1410.44665527,1980-11-16,1980-11-22
None,Wrexham,ENG,2,1422.99719238,1980-11-23,1980-11-26
None,Wrexham,ENG,2,1424.60778809,1980-11-27,1980-11-29
None,Wrexham,ENG,2,1426.55578613,1980-11-30,1980-12-06
None,Wrexham,ENG,2,1436.64672852,1980-12-07,1980-12-10
None,Wrexham,ENG,2,1436.58862305,1980-12-11,1980-12-13
None,Wrexham,ENG,2,1435.55102539,1980-12-14,1980-12-20
None,Wrexham,ENG,2,1438.98840332,1980-12-21,1980-12-26
None,Wrexham,ENG,2,1429.68444824,1980-12-27,1980-12-27
None,Wrexham,ENG,2,1442.15881348,1980-12-28,1981-01-10
None,Wrexham,ENG,2,1439.22509766,1981-01-11,1981-01-31
None,Wrexham,ENG,2,1424.92822266,1981-02-01,1981-02-07
None,Wrexham,ENG,2,1420.50085449,1981-02-08,1981-02-17
None,Wrexham,ENG,2,1438.00024414,1981-02-18,1981-02-21
None,Wrexham,ENG,2,1442.23510742,1981-02-22,1981-02-28
None,Wrexham,ENG,2,1442.48706055,1981-03-01,1981-03-04
None,Wrexham,ENG,2,1449.83569336,1981-03-05,1981-03-06
None,Wrexham,ENG,2,1443.91296387,1981-03-07,1981-03-18
None,Wrexham,ENG,2,1442.4576416,1981-03-19,1981-03-21
None,Wrexham,ENG,2,1459.68664551,1981-03-22,1981-03-28
None,Wrexham,ENG,2,1459.05224609,1981-03-29,1981-03-31
None,Wrexham,ENG,2,1457.97265625,1981-04-01,1981-04-05
None,Wrexham,ENG,2,1462.68322754,1981-04-06,1981-04-08
None,Wrexham,ENG,2,1460.92407227,1981-04-09,1981-04-11
None,Wrexham,ENG,2,1473.24926758,1981-04-12,1981-04-18
None,Wrexham,ENG,2,1462.30224609,1981-04-19,1981-04-20
None,Wrexham,ENG,2,1466.44116211,1981-04-21,1981-04-22
None,Wrexham,ENG,2,1478.3951416,1981-04-23,1981-04-25
None,Wrexham,ENG,2,1483.75708008,1981-04-26,1981-05-02
None,Wrexham,ENG,2,1481.5982666,1981-05-03,1981-05-04
None,Wrexham,ENG,2,1471.38720703,1981-05-05,1981-05-06
None,Wrexham,ENG,2,1476.37536621,1981-05-07,1981-05-20
None,Wrexham,ENG,2,1475.53771973,1981-05-21,1981-05-27
None,Wrexham,ENG,2,1478.9276123,1981-05-28,1981-08-29
None,Wrexham,ENG,2,1466.67285156,1981-08-30,1981-09-05
None,Wrexham,ENG,2,1463.75756836,1981-09-06,1981-09-12
None,Wrexham,ENG,2,1457.64233398,1981-09-13,1981-09-16
None,Wrexham,ENG,2,1456.57946777,1981-09-17,1981-09-19
None,Wrexham,ENG,2,1459.63012695,1981-09-20,1981-09-22
None,Wrexham,ENG,2,1450.93786621,1981-09-23,1981-09-26
None,Wrexham,ENG,2,1456.04833984,1981-09-27,1981-09-29
None,Wrexham,ENG,2,1456.0411377,1981-09-30,1981-09-30
None,Wrexham,ENG,2,1434.88183594,1981-10-01,1981-10-03
None,Wrexham,ENG,2,1456.64294434,1981-10-04,1981-10-10
None,Wrexham,ENG,2,1449.29431152,1981-10-11,1981-10-17
None,Wrexham,ENG,2,1440.39343262,1981-10-18,1981-10-21
None,Wrexham,ENG,2,1436.78527832,1981-10-22,1981-10-24
None,Wrexham,ENG,2,1426.95446777,1981-10-25,1981-10-31
None,Wrexham,ENG,2,1431.77612305,1981-11-01,1981-11-04
None,Wrexham,ENG,2,1420.35119629,1981-11-05,1981-11-07
None,Wrexham,ENG,2,1430.2019043,1981-11-08,1981-11-14
None,Wrexham,ENG,2,1425.99609375,1981-11-15,1981-11-21
None,Wrexham,ENG,2,1429.1072998,1981-11-22,1981-11-24
None,Wrexham,ENG,2,1437.52563477,1981-11-25,1981-11-28
None,Wrexham,ENG,2,1421.73876953,1981-11-29,1981-12-05
None,Wrexham,ENG,2,1432.92529297,1981-12-06,1982-01-16
None,Wrexham,ENG,2,1437.7668457,1982-01-17,1982-01-30
None,Wrexham,ENG,2,1426.8972168,1982-01-31,1982-02-06
None,Wrexham,ENG,2,1418.86682129,1982-02-07,1982-02-13
None,Wrexham,ENG,2,1410.13146973,1982-02-14,1982-02-20
None,Wrexham,ENG,2,1404.99353027,1982-02-21,1982-02-23
None,Wrexham,ENG,2,1398.0177002,1982-02-24,1982-02-27
None,Wrexham,ENG,2,1406.00427246,1982-02-28,1982-03-03
None,Wrexham,ENG,2,1410.73730469,1982-03-04,1982-03-09
None,Wrexham,ENG,2,1417.49182129,1982-03-10,1982-03-12
None,Wrexham,ENG,2,1424.38647461,1982-03-13,1982-03-16
None,Wrexham,ENG,2,1427.41943359,1982-03-17,1982-03-17
None,Wrexham,ENG,2,1425.88916016,1982-03-18,1982-03-20
None,Wrexham,ENG,2,1434.88330078,1982-03-21,1982-03-27
None,Wrexham,ENG,2,1437.08288574,1982-03-28,1982-04-03
None,Wrexham,ENG,2,1434.96289062,1982-04-04,1982-04-06
None,Wrexham,ENG,2,1446.47912598,1982-04-07,1982-04-07
None,Wrexham,ENG,2,1443.92749023,1982-04-08,1982-04-10
None,Wrexham,ENG,2,1434.7722168,1982-04-11,1982-04-12
None,Wrexham,ENG,2,1440.63122559,1982-04-13,1982-04-17
None,Wrexham,ENG,2,1438.76794434,1982-04-18,1982-04-20
None,Wrexham,ENG,2,1440.11987305,1982-04-21,1982-04-21
None,Wrexham,ENG,2,1442.85241699,1982-04-22,1982-04-24
None,Wrexham,ENG,2,1437.00134277,1982-04-25,1982-05-01
None,Wrexham,ENG,2,1434.05065918,1982-05-02,1982-05-04
None,Wrexham,ENG,2,1429.77441406,1982-05-05,1982-05-08
None,Wrexham,ENG,2,1422.23376465,1982-05-09,1982-05-11
None,Wrexham,ENG,2,1416.77490234,1982-05-12,1982-05-15
None,Wrexham,ENG,2,1424.80749512,1982-05-16,1982-05-26
None,Wrexham,ENG,2,1429.57128906,1982-05-27,1982-07-06
None,Wrexham,ENG,0,1363.49951172,1984-07-01,1984-09-18
None,Wrexham,ENG,0,1363.51306152,1984-09-19,1984-09-19
None,Wrexham,ENG,0,1366.41552734,1984-09-20,1984-10-02
None,Wrexham,ENG,0,1366.65795898,1984-10-03,1984-10-03
None,Wrexham,ENG,0,1384.32897949,1984-10-04,1984-10-24
None,Wrexham,ENG,0,1393.6763916,1984-10-25,1984-11-07
None,Wrexham,ENG,0,1390.18103027,1984-11-08,1984-11-28
None,Wrexham,ENG,0,1387.97290039,1984-11-29,1984-12-12
None,Wrexham,ENG,0,1396.53967285,1984-12-13,1985-03-06
None,Wrexham,ENG,0,1391.70532227,1985-03-07,1985-03-20
None,Wrexham,ENG,0,1391.09082031,1985-03-21,1985-04-10
None,Wrexham,ENG,0,1394.71704102,1985-04-11,1985-04-24
