Rank,Club,Country,Level,Elo,From,To
None,Zwolle,NED,1,1461.61462402,1978-07-01,1978-08-27
None,Zwolle,NED,1,1469.20629883,1978-08-28,1978-08-30
None,Zwolle,NED,1,1467.38378906,1978-08-31,1978-09-03
None,Zwolle,NED,1,1466.25866699,1978-09-04,1978-09-06
None,Zwolle,NED,1,1461.27539062,1978-09-07,1978-09-10
None,Zwolle,NED,1,1467.14794922,1978-09-11,1978-09-13
None,Zwolle,NED,1,1455.24707031,1978-09-14,1978-09-16
None,Zwolle,NED,1,1438.78515625,1978-09-17,1978-09-23
None,Zwolle,NED,1,1443.53808594,1978-09-24,1978-09-27
None,Zwolle,NED,1,1447.70837402,1978-09-28,1978-09-30
None,Zwolle,NED,1,1449.14428711,1978-10-01,1978-10-07
None,Zwolle,NED,1,1453.94165039,1978-10-08,1978-10-18
None,Zwolle,NED,1,1453.33764648,1978-10-19,1978-10-21
None,Zwolle,NED,1,1456.67590332,1978-10-22,1978-10-29
None,Zwolle,NED,1,1452.30554199,1978-10-30,1978-11-01
None,Zwolle,NED,1,1442.50402832,1978-11-02,1978-11-04
None,Zwolle,NED,1,1442.85754395,1978-11-05,1978-11-11
None,Zwolle,NED,1,1460.14379883,1978-11-12,1978-11-22
None,Zwolle,NED,1,1452.76977539,1978-11-23,1978-11-25
None,Zwolle,NED,1,1458.10754395,1978-11-26,1978-12-03
None,Zwolle,NED,1,1451.52270508,1978-12-04,1978-12-06
None,Zwolle,NED,1,1450.4140625,1978-12-07,1978-12-17
None,Zwolle,NED,1,1447.59460449,1978-12-18,1979-03-03
None,Zwolle,NED,1,1451.77514648,1979-03-04,1979-03-10
None,Zwolle,NED,1,1453.46069336,1979-03-11,1979-03-17
None,Zwolle,NED,1,1460.92370605,1979-03-18,1979-03-24
None,Zwolle,NED,1,1464.40820312,1979-03-25,1979-03-31
None,Zwolle,NED,1,1471.46948242,1979-04-01,1979-04-04
None,Zwolle,NED,1,1462.39599609,1979-04-05,1979-04-08
None,Zwolle,NED,1,1468.86169434,1979-04-09,1979-04-14
None,Zwolle,NED,1,1474.09533691,1979-04-15,1979-04-16
None,Zwolle,NED,1,1477.17651367,1979-04-17,1979-04-21
None,Zwolle,NED,1,1474.61657715,1979-04-22,1979-04-28
None,Zwolle,NED,1,1481.5357666,1979-04-29,1979-05-05
None,Zwolle,NED,1,1479.2010498,1979-05-06,1979-05-12
None,Zwolle,NED,1,1484.08093262,1979-05-13,1979-05-19
None,Zwolle,NED,1,1488.49060059,1979-05-20,1979-05-27
None,Zwolle,NED,1,1497.40783691,1979-05-28,1979-06-02
None,Zwolle,NED,1,1493.96740723,1979-06-03,1979-06-04
None,Zwolle,NED,1,1491.27709961,1979-06-05,1979-06-09
None,Zwolle,NED,1,1491.7467041,1979-06-10,1979-08-19
None,Zwolle,NED,1,1489.34338379,1979-08-20,1979-08-22
None,Zwolle,NED,1,1489.96191406,1979-08-23,1979-08-25
None,Zwolle,NED,1,1480.35888672,1979-08-26,1979-08-29
None,Zwolle,NED,1,1483.00610352,1979-08-30,1979-09-08
None,Zwolle,NED,1,1473.78149414,1979-09-09,1979-09-15
None,Zwolle,NED,1,1470.11987305,1979-09-16,1979-09-19
None,Zwolle,NED,1,1460.95227051,1979-09-20,1979-09-22
None,Zwolle,NED,1,1472.76965332,1979-09-23,1979-09-29
None,Zwolle,NED,1,1482.23864746,1979-09-30,1979-10-03
None,Zwolle,NED,1,1485.39782715,1979-10-04,1979-10-06
None,Zwolle,NED,1,1481.26464844,1979-10-07,1979-10-20
None,Zwolle,NED,1,1487.60803223,1979-10-21,1979-10-24
None,Zwolle,NED,1,1493.38464355,1979-10-25,1979-10-28
None,Zwolle,NED,1,1491.97021484,1979-10-29,1979-11-01
None,Zwolle,NED,1,1472.22180176,1979-11-02,1979-11-03
None,Zwolle,NED,1,1480.69238281,1979-11-04,1979-11-07
