league,season,n_games,n_players,n_rows,pct_starter_known
ENG-Premier League,2012-2013,380,522,10385,0.0
ENG-Premier League,2013-2014,380,542,10451,100.0
ENG-Premier League,2014-2015,380,509,9981,100.0
ENG-Premier League,2015-2016,380,549,10468,100.0
ENG-Premier League,2016-2017,380,524,10474,100.0
ENG-Premier League,2017-2018,380,514,10447,100.0
ENG-Premier League,2018-2019,380,497,10454,100.0
ENG-Premier League,2019-2020,380,512,10578,100.0
ENG-Premier League,2020-2021,380,522,10356,100.0
ENG-Premier League,2021-2022,380,508,10369,100.0
ENG-Premier League,2022-2023,380,554,11345,100.0
ENG-Premier League,2023-2024,380,570,11384,100.0
ENG-Premier League,2024-2025,380,562,11567,100.0
ENG-Premier League,2025-2026,380,537,11492,100.0
ESP-La Liga,2012-2013,380,538,10553,0.0
ESP-La Liga,2013-2014,380,537,10586,100.0
ESP-La Liga,2014-2015,380,466,9451,100.0
ESP-La Liga,2015-2016,380,536,10521,100.0
ESP-La Liga,2016-2017,380,539,10559,100.0
ESP-La Liga,2017-2018,380,556,10554,100.0
ESP-La Liga,2018-2019,380,520,10551,87.3
ESP-La Liga,2019-2020,380,552,10922,100.0
ESP-La Liga,2020-2021,380,553,11139,100.0
ESP-La Liga,2021-2022,380,507,11468,99.8
ESP-La Liga,2022-2023,380,581,11838,100.0
ESP-La Liga,2023-2024,380,596,11883,100.0
ESP-La Liga,2024-2025,380,586,11899,100.0
ESP-La Liga,2025-2026,380,599,11953,100.0
FRA-Ligue 1,2012-2013,380,549,10433,0.0
FRA-Ligue 1,2013-2014,380,543,10474,100.0
FRA-Ligue 1,2014-2015,380,528,10297,100.0
FRA-Ligue 1,2015-2016,380,575,10559,100.0
FRA-Ligue 1,2016-2017,380,559,10496,100.0
FRA-Ligue 1,2017-2018,380,540,10515,99.7
FRA-Ligue 1,2018-2019,380,541,10523,100.0
FRA-Ligue 1,2019-2020,279,529,7710,100.0
FRA-Ligue 1,2020-2021,380,574,11456,100.0
FRA-Ligue 1,2021-2022,380,521,11217,100.0
FRA-Ligue 1,2022-2023,380,582,11529,99.5
FRA-Ligue 1,2023-2024,306,523,9394,100.0
FRA-Ligue 1,2024-2025,306,542,9413,100.0
FRA-Ligue 1,2025-2026,305,547,9379,100.0
GER-Bundesliga,2012-2013,306,471,8461,0.0
GER-Bundesliga,2013-2014,306,467,8466,100.0
GER-Bundesliga,2014-2015,306,452,8426,100.0
GER-Bundesliga,2015-2016,306,477,8483,100.0
GER-Bundesliga,2016-2017,306,470,8509,100.0
GER-Bundesliga,2017-2018,306,472,8508,100.0
GER-Bundesliga,2018-2019,306,468,8496,100.0
GER-Bundesliga,2019-2020,306,486,8749,100.0
GER-Bundesliga,2020-2021,306,495,9253,100.0
GER-Bundesliga,2021-2022,306,480,9244,100.0
GER-Bundesliga,2022-2023,306,503,9412,100.0
GER-Bundesliga,2023-2024,306,494,9526,100.0
GER-Bundesliga,2024-2025,306,481,9528,100.0
GER-Bundesliga,2025-2026,306,497,9552,100.0
ITA-Serie A,2012-2013,379,582,10521,0.0
ITA-Serie A,2013-2014,380,570,10581,100.0
ITA-Serie A,2014-2015,380,549,10106,100.0
ITA-Serie A,2015-2016,380,551,10593,100.0
ITA-Serie A,2016-2017,380,560,10607,100.0
ITA-Serie A,2017-2018,380,533,10587,100.0
ITA-Serie A,2018-2019,380,531,10549,100.0
ITA-Serie A,2019-2020,380,571,10956,100.0
ITA-Serie A,2020-2021,380,592,11622,100.0
ITA-Serie A,2021-2022,380,542,11456,100.0
ITA-Serie A,2022-2023,380,577,11885,100.0
ITA-Serie A,2023-2024,380,590,11910,100.0
ITA-Serie A,2024-2025,380,599,11888,100.0
ITA-Serie A,2025-2026,380,585,11926,99.7
