source_id,publisher,title,publication_date,retrieval_date,url,claim_supported,source_tier
pl_needs_2026,Premier League,Summer 2026 transfer window: What do each Premier League club need?,2026-07-09,2026-07-20,https://www.premierleague.com/en/news/4674463/summer-2026-transfer-window-what-does-each-premier-league-club-need,Arsenal need anchor is direct left-winger; Chelsea need anchor is defender with back-three know-how.,1
chelsea_official_transfers_2026,Chelsea FC,"Summer transfers 2026: All the Chelsea ins, outs and new contracts so far",,2026-07-20,https://www.chelseafc.com/en/news/article/summer-transfers-2026-all-the-chelsea-ins-outs-and-new-contracts-so-far,Chelsea official transfer tracker checked; reviewed rumour players are not confirmed unless explicitly named.,1
tm_arsenal_rumour_attempt,Transfermarkt,Arsenal FC - Club transfer rumours,,2026-07-20,https://www.transfermarkt.co.uk/arsenal-fc/geruechte/verein/11,HUMAN_CHECK_REQUIRED: page required JavaScript/anti-bot verification; no bypass attempted.,3
tm_chelsea_rumour_attempt,Transfermarkt,Chelsea FC - Club transfer rumours,,2026-07-20,https://www.transfermarkt.com/fc-chelsea/geruechte/verein/631,HUMAN_CHECK_REQUIRED: page required JavaScript/anti-bot verification; no bypass attempted.,3
sky_tzolis_arsenal,Sky Sports,Christos Tzolis: Arsenal agree fee with Club Brugge to sign Greek winger as replacement for Leandro Trossard,2026-07-17,2026-07-20,https://www.skysports.com/transfer/news/12691/13564048/christos-tzolis-arsenal-agree-fee-with-club-brugge-to-sign-greek-winger-as-replacement-for-leandro-trossard,Arsenal agreement reported for Tzolis as a left-wing/Trossard replacement.,2
guardian_tzolis_arsenal,The Guardian,Arsenal close in on £34m deal for Club Brugge forward Christos Tzolis,2026-07-16,2026-07-20,https://www.theguardian.com/football/2026/jul/16/arsenal-34m-deal-club-brugge-forward-christos-tzolis-premier-league,Arsenal close to Tzolis and have monitored Alvarez and Barcola.,2
independent_alvarez_arsenal,The Independent,Arsenal set Julian Alvarez transfer deadline as Mikel Arteta's spree laid bare,2026-07-12,2026-07-20,https://www.independent.co.uk/sport/football/arsenal-julian-alvarez-transfer-deadline-b2790584.html,Arsenal interest in Julian Alvarez reported; not official confirmation.,2
guardian_bruno_arsenal,The Guardian,Arsenal on alert after Bruno Guimarães tells Newcastle he wants to leave,2026-07-08,2026-07-20,https://www.theguardian.com/football/2026/jul/08/arsenal-on-alert-after-bruno-guimaraes-tells-newcastle-he-wants-to-leave,Bruno Guimaraes Arsenal interest/availability reporting.,2
sky_bruno_arsenal,Sky Sports,Bruno Guimaraes transfer news: Newcastle captain tells club he wants to join Arsenal,2026-07-09,2026-07-20,https://www.skysports.com/transfer/news/11095/13561780/bruno-guimaraes-transfer-news-newcastle-captain-tells-club-he-wants-to-join-arsenal-after-world-cup-exit-with-brazil,"Sky reports Bruno wants Arsenal move, with no completed deal.",2
sun_stones_arsenal,The Sun,Arsenal transfer news LIVE: John Stones targeted,2026-07-20,2026-07-20,https://www.thesun.co.uk/sport/39415117/arsenal-transfer-news-live-morgan-rogers-stones-alvarez-updates/,Low-tier reporting of Arsenal interest in John Stones.,4
guardian_rogers_chelsea,The Guardian,Chelsea poised to sign Morgan Rogers from Aston Villa in record-breaking £117m deal,2026-07-18,2026-07-20,https://www.theguardian.com/football/2026/jul/18/chelsea-morgan-rogers-aston-villa-117m,Chelsea advanced reporting for Morgan Rogers; not official completion.,2
talksport_rogers_chelsea,talkSPORT,What £117m Morgan Rogers transfer means for Cole Palmer and Enzo Fernandez at Chelsea,2026-07-20,2026-07-20,https://talksport.com/football/4442898/morgan-rogers-transfer-cole-palmer-enzo-fernandez-chelsea/,Morgan Rogers integration and price-risk context.,2
talksport_lacroix_chelsea,talkSPORT,Chelsea hold talks with Premier League rivals over signing £55m-rated World Cup star,2026-07-20,2026-07-20,https://talksport.com/football/4441021/chelsea-talks-crystal-palace-maxence-lacroix-transfer-news/,Chelsea talks with Crystal Palace over Maxence Lacroix reported.,2
as_carreras_chelsea,AS,El Chelsea se fija... en Carreras,2026-06-16,2026-07-20,https://as.com/futbol/primera/el-chelsea-se-fija-en-carreras-f202606-n/,Chelsea interest in Alvaro Carreras reported.,2
teamtalk_cambiaso_chelsea,TEAMtalk,Chelsea swap deal ON for top Juventus star,2026-06-19,2026-07-20,https://www.teamtalk.com/chelsea/chelsea-hold-andrea-cambiaso-transfer-talks-swap-deal-nicolas-jackson,Low-tier reporting of Chelsea talks for Andrea Cambiaso.,4
bundesliga_tapsoba_extension,Bundesliga,Edmond Tapsoba signs Bayer Leverkusen contract extension,2026-04-29,2026-07-20,https://www.bundesliga.com/en/bundesliga/news/edmond-tapsoba-bayer-leverkusen-contract-extension-37130,Tapsoba extension to 2031; no current Chelsea corroboration.,1
