era,to_league,pos_group,age_band,transfer_type,row_count,positive_fee_rows,positive_fee_rate,mv_coverage
2010-2019,Unknown,FWD,21-24,loan,1906,83.0,0.04354669464847849,0.8646379853095488
2010-2019,Unknown,DEF,21-24,loan,1651,42.0,0.025439127801332527,0.8503937007874016
2010-2019,Unknown,MID,21-24,loan,1537,44.0,0.028627195836044242,0.8484059856864021
2010-2019,Unknown,FWD,<21,loan,1307,44.0,0.03366488140780413,0.8056618209640398
2010-2019,Unknown,MID,<21,loan,1189,23.0,0.01934398654331371,0.8023549201009251
2010-2019,Unknown,DEF,<21,loan,1104,22.0,0.019927536231884056,0.7853260869565217
2020+,Unknown,Attack,21-24,loan,846,41.0,0.04846335697399527,0.983451536643026
2020+,Unknown,Midfield,21-24,loan,706,29.0,0.04107648725212465,0.9660056657223796
2010-2019,Unknown,FWD,21-24,permanent,703,415.0,0.5903271692745377,0.8406827880512091
2020+,Unknown,Defender,21-24,loan,695,23.0,0.033093525179856115,0.9712230215827338
2020+,Unknown,Attack,<21,loan,690,16.0,0.02318840579710145,0.7347826086956522
2010-2019,Unknown,FWD,25-28,loan,683,48.0,0.07027818448023426,0.8565153733528551
2010-2019,Unknown,MID,21-24,permanent,679,369.0,0.5434462444771723,0.8041237113402062
2000-2009,Unknown,FWD,<21,loan,663,5.0,0.007541478129713424,0.2956259426847662
2000-2009,Unknown,MID,21-24,loan,643,5.0,0.007776049766718507,0.18040435458786935
2020+,Unknown,Midfield,<21,loan,618,9.0,0.014563106796116505,0.7249190938511327
2010-2019,Unknown,DEF,21-24,permanent,605,315.0,0.5206611570247934,0.8264462809917356
2020+,Unknown,Defender,<21,loan,600,19.0,0.03166666666666667,0.7266666666666667
2010-2019,Unknown,GK,21-24,loan,591,14.0,0.023688663282571912,0.8629441624365483
2000-2009,Unknown,DEF,<21,loan,582,3.0,0.005154639175257732,0.24398625429553264
2000-2009,Unknown,FWD,21-24,loan,581,4.0,0.0068846815834767644,0.3098106712564544
2000-2009,Unknown,MID,<21,loan,580,2.0,0.0034482758620689655,0.22241379310344828
2010-2019,Unknown,FWD,25-28,permanent,550,406.0,0.7381818181818182,0.850909090909091
2000-2009,Unknown,DEF,21-24,loan,539,8.0,0.014842300556586271,0.2523191094619666
2010-2019,Unknown,MID,21-24,free,530,0.0,0.0,0.730188679245283
2010-2019,Unknown,DEF,25-28,loan,516,24.0,0.046511627906976744,0.8585271317829457
<2000,Unknown,MID,25-28,permanent,514,167.0,0.32490272373540857,0.0
2010-2019,Premier League,FWD,21-24,end_of_loan,500,4.0,0.008,0.878
2010-2019,Unknown,DEF,21-24,free,500,0.0,0.0,0.708
2010-2019,Unknown,MID,25-28,loan,497,28.0,0.056338028169014086,0.8571428571428571
2020+,Unknown,FWD,21-24,loan,474,15.0,0.03164556962025317,0.8375527426160337
<2000,Unknown,DEF,25-28,permanent,474,151.0,0.31856540084388185,0.0
2010-2019,Unknown,FWD,21-24,free,470,0.0,0.0,0.7702127659574468
2010-2019,Unknown,DEF,25-28,permanent,467,321.0,0.6873661670235546,0.8758029978586723
2000-2009,Unknown,MID,21-24,permanent,461,224.0,0.48590021691973967,0.21258134490238612
2010-2019,Unknown,MID,25-28,permanent,441,300.0,0.6802721088435374,0.8390022675736961
2000-2009,Unknown,DEF,21-24,permanent,440,220.0,0.5,0.2727272727272727
2020+,Unknown,Attack,25-28,loan,440,33.0,0.075,1.0
<2000,Unknown,MID,21-24,permanent,438,122.0,0.2785388127853881,0.0
<2000,Unknown,FWD,25-28,permanent,437,136.0,0.3112128146453089,0.0
2010-2019,Premier League,DEF,21-24,end_of_loan,435,3.0,0.006896551724137931,0.8735632183908046
2010-2019,Unknown,DEF,29-32,free,421,0.0,0.0,0.7743467933491687
2000-2009,Unknown,MID,25-28,permanent,420,211.0,0.5023809523809524,0.14285714285714285
2000-2009,Unknown,FWD,25-28,permanent,417,252.0,0.60431654676259,0.18225419664268586
2010-2019,Serie A,FWD,<21,permanent,400,184.0,0.46,0.8575
<2000,Unknown,DEF,21-24,permanent,400,108.0,0.27,0.0
2010-2019,Premier League,MID,21-24,end_of_loan,397,5.0,0.012594458438287154,0.871536523929471
2000-2009,Unknown,FWD,21-24,permanent,396,213.0,0.5378787878787878,0.22727272727272727
2020+,Unknown,DEF,21-24,loan,393,10.0,0.02544529262086514,0.8371501272264631
2000-2009,Unknown,DEF,25-28,permanent,391,198.0,0.5063938618925832,0.17902813299232737
2010-2019,Serie A,DEF,21-24,permanent,387,306.0,0.7906976744186046,0.896640826873385
2010-2019,Serie A,MID,<21,permanent,387,142.0,0.3669250645994832,0.8527131782945736
2010-2019,Unknown,DEF,25-28,free,383,0.0,0.0,0.7754569190600522
2010-2019,Unknown,FWD,21-24,end_of_loan,378,3.0,0.007936507936507936,0.9576719576719577
2010-2019,Unknown,GK,<21,loan,368,1.0,0.002717391304347826,0.7907608695652174
<2000,Unknown,MID,29-32,permanent,364,75.0,0.20604395604395603,0.0
2000-2009,Unknown,DEF,29-32,permanent,352,93.0,0.26420454545454547,0.036931818181818184
2010-2019,Serie A,DEF,<21,permanent,352,143.0,0.40625,0.875
2010-2019,Serie A,MID,21-24,permanent,352,297.0,0.84375,0.8863636363636364
2010-2019,Unknown,MID,29-32,free,349,0.0,0.0,0.7220630372492837
