position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
FWD,Unknown,21-24,6361,0.15044804276057225,0.641251375569879,0.46753655085678353,0.3629932400565949
MID,Unknown,21-24,6131,0.140433860707878,0.5566791714239113,0.40499102919588975,0.34398956124612623
DEF,Unknown,21-24,6012,0.13273453093812376,0.6047904191616766,0.41833000665335995,0.35479041916167664
FWD,Unknown,25-28,4138,0.22861285645239246,0.541565973900435,0.4635089415176414,0.29386176897051713
DEF,Unknown,25-28,3810,0.1994750656167979,0.5325459317585302,0.4559055118110236,0.32020997375328086
MID,Unknown,25-28,3715,0.20915208613728128,0.47698519515477794,0.4107671601615074,0.2966352624495289
FWD,Unknown,<21,3517,0.07250497583167473,0.5436451521182827,0.40858686380437875,0.3423372192209269
MID,Unknown,<21,3458,0.05436668594563331,0.5008675534991325,0.3357432041642568,0.31058415268941586
DEF,Unknown,<21,3219,0.05778191985088537,0.5007766387076732,0.3376825100963032,0.31220876048462254
DEF,Unknown,29-32,2628,0.13508371385083714,0.4375951293759513,0.4025875190258752,0.23706240487062405
MID,Unknown,29-32,2538,0.16548463356973994,0.4085894405043341,0.3806146572104019,0.2466509062253743
FWD,Unknown,29-32,2457,0.18396418396418396,0.4599104599104599,0.4208384208384208,0.2389092389092389
GK,Unknown,21-24,1843,0.061855670103092786,0.6304937601736299,0.4747693977211069,0.4579489962018448
Attack,Unknown,21-24,1537,0.21275211450878334,0.9603122966818478,0.18998048145738453,0.1320754716981132
DEF,Premier League,21-24,1490,0.33557046979865773,0.6348993288590604,0.5731543624161074,0.49395973154362416
FWD,Premier League,21-24,1489,0.3277367360644728,0.6722632639355272,0.5943586299529886,0.4654130288784419
FWD,La Liga,21-24,1450,0.2710344827586207,0.66,0.6144827586206897,0.17724137931034484
FWD,Premier League,<21,1432,0.18365921787709497,0.441340782122905,0.4518156424581006,0.37639664804469275
DEF,Serie A,21-24,1414,0.43564356435643564,0.6117397454031117,0.5785007072135785,0.4292786421499293
DEF,Premier League,<21,1368,0.1476608187134503,0.3742690058479532,0.41228070175438597,0.3991228070175439
MID,Premier League,<21,1325,0.13962264150943396,0.390188679245283,0.4,0.38113207547169814
MID,Premier League,21-24,1323,0.3287981859410431,0.6341647770219199,0.5706727135298564,0.5215419501133787
Defender,Unknown,21-24,1311,0.17848970251716248,0.9496567505720824,0.19374523264683446,0.16704805491990846
Attack,Unknown,<21,1300,0.12307692307692308,0.5907692307692308,0.14615384615384616,0.01
FWD,Ligue 1,21-24,1290,0.3085271317829457,0.6488372093023256,0.6217054263565891,0.4496124031007752
DEF,La Liga,21-24,1279,0.24237685691946834,0.616106333072713,0.5746677091477717,0.16106333072713058
MID,La Liga,21-24,1266,0.2575039494470774,0.5537124802527646,0.5387045813586098,0.16587677725118483
Midfield,Unknown,21-24,1264,0.19145569620253164,0.9493670886075949,0.16376582278481014,0.17325949367088608
