season,taxonomy,fee_source,row_count,fee_nonnull_rows,positive_fee_rows
1992,disclosed_free_transfer,spine,103,103,0.0
1992,loan_return,no_fee_source,103,0,0.0
1992,loan_without_fee_or_unknown,no_fee_source,132,0,0.0
1992,paid_permanent_transfer,spine,223,223,223.0
1992,permanent_undisclosed_fee,no_fee_source,1060,0,0.0
1993,disclosed_free_transfer,spine,141,141,0.0
1993,loan_return,no_fee_source,124,0,0.0
1993,loan_without_fee_or_unknown,no_fee_source,169,0,0.0
1993,paid_permanent_transfer,spine,296,296,296.0
1993,permanent_undisclosed_fee,no_fee_source,921,0,0.0
1994,disclosed_free_transfer,spine,175,175,0.0
1994,loan_return,no_fee_source,149,0,0.0
1994,loan_without_fee_or_unknown,no_fee_source,175,0,0.0
1994,paid_permanent_transfer,spine,362,362,362.0
1994,permanent_undisclosed_fee,no_fee_source,980,0,0.0
1995,disclosed_free_transfer,spine,181,181,0.0
1995,loan_return,no_fee_source,162,0,0.0
1995,loan_without_fee_or_unknown,no_fee_source,173,0,0.0
1995,paid_permanent_transfer,spine,428,428,428.0
1995,permanent_undisclosed_fee,no_fee_source,962,0,0.0
1996,disclosed_free_transfer,spine,241,241,0.0
1996,loan_return,no_fee_source,152,0,0.0
1996,loan_with_fee,spine,1,1,1.0
1996,loan_without_fee_or_unknown,no_fee_source,213,0,0.0
1996,paid_permanent_transfer,spine,434,434,434.0
1996,permanent_undisclosed_fee,no_fee_source,1082,0,0.0
1997,disclosed_free_transfer,spine,297,297,0.0
1997,loan_return,no_fee_source,179,0,0.0
1997,loan_without_fee_or_unknown,no_fee_source,234,0,0.0
1997,paid_permanent_transfer,spine,499,499,499.0
1997,permanent_undisclosed_fee,no_fee_source,1037,0,0.0
1998,disclosed_free_transfer,spine,300,300,0.0
1998,loan_return,no_fee_source,216,0,0.0
1998,loan_with_fee,spine,1,1,1.0
1998,loan_without_fee_or_unknown,no_fee_source,340,0,0.0
1998,paid_permanent_transfer,spine,505,505,505.0
1998,permanent_undisclosed_fee,no_fee_source,1054,0,0.0
