prediction_key,player_id,player_name,role,to_league,outcome_season,next_minutes,s0_pred,s1_pred,s1_lo,s1_hi,shrunk_prior_sporting_rate,feature_tier,club_match_confidence
spmvp1|101213|2015-07-01|1038|379|permanent|k-101213-2015-summer-uc-sampdoria-west-ham-united|000,101213,Pedro Obiang,MID,Premier League,2016,1088.0,1528.3330080031233,1528.3330080031233,938.6618024235815,2118.004213582665,0.0,high,high
spmvp1|102427|2015-07-01|31|289|permanent|k-102427-2015-summer-liverpool-sunderland-afc|000,102427,Sebastián Coates,DEF,Premier League,2016,1229.0,1607.9235665137614,1607.9235665137614,775.2063761255913,2440.6407569019316,0.0,low,exact
spmvp1|103565|2016-01-30|40|289|permanent|k-103565-2015-winter-fc-girondins-bordeaux-sunderland-afc|000,103565,Wahbi Khazri,FWD,Premier League,2016,1071.0,1473.3092282784673,1473.3092282784673,869.4630744323134,2077.155382124621,0.0,high,exact
spmvp1|105521|2015-07-12|16|368|loan|k-105521-2015-summer-borussia-dortmund-sevilla-fc|000,105521,Ciro Immobile,FWD,La Liga,2016,332.0,1624.9994117647059,1624.9994117647059,1027.208756205126,2222.7900673242857,0.0,high,exact
spmvp1|105521|2015-07-12|16|368|permanent|k-105521-2015-winter-borussia-dortmund-sevilla-fc|000,105521,Ciro Immobile,FWD,La Liga,2016,332.0,1624.9994117647059,1624.9994117647059,1027.208756205126,2222.7900673242857,0.0,high,exact
spmvp1|105521|2016-01-14|368|416|loan|k-105521-2015-winter-sevilla-fc-torino-fc|000,105521,Ciro Immobile,FWD,Serie A,2016,987.0,1624.9994117647059,1624.9994117647059,1027.208756205126,2222.7900673242857,0.0,high,exact
spmvp1|107010|2015-07-20|430|13|permanent|k-107010-2015-summer-acf-fiorentina-atl-tico-de-madrid|000,107010,Stefan Savic,DEF,La Liga,2016,927.0,1607.9235665137614,1607.9235665137614,1024.2933977047169,2191.553735322806,0.0,high,exact
spmvp1|108354|2015-07-27|1158|405|permanent|k-108354-2015-summer-fc-lorient-aston-villa|000,108354,Jordan Ayew,FWD,Premier League,2016,2349.0,1473.3092282784673,1473.3092282784673,900.1583206653544,2046.4601358915802,0.0,high,exact
spmvp1|110036|2015-07-01|2|3|permanent|k-110036-2015-summer-1-fc-kaiserslautern-1-fc-k-ln|000,110036,Dominique Heintz,DEF,Bundesliga,2016,2872.0,1447.4788015463917,1447.4788015463917,356.6691735376389,2538.2884295551444,0.0,low,exact
spmvp1|111275|2015-08-04|48|167|permanent|k-111275-2015-summer-karlsruher-sc-fc-augsburg|000,111275,Philipp Max,DEF,Bundesliga,2016,2106.0,1447.4788015463917,1447.4788015463917,350.13366880302897,2544.823934289754,0.0,low,exact
spmvp1|111508|2015-07-14|410|1010|free|k-111508-2015-summer-udinese-calcio-watford-fc|000,111508,Allan Nyom,DEF,Premier League,2016,2469.0,1759.61375,1759.61375,1202.8015458968962,2316.425954103104,0.0,high,exact
spmvp1|111961|2016-01-04|5|252|loan|k-111961-2015-winter-ac-milan-genoa-cfc|000,111961,Suso,FWD,Serie A,2016,1166.0,1473.3092282784673,1473.3092282784673,829.4626646130438,2117.155791943891,0.0,high,high
spmvp1|112302|2015-07-01|410|506|permanent|k-112302-2015-summer-udinese-calcio-juventus-fc|000,112302,Roberto Pereyra,MID,Serie A,2016,802.0,1528.3330080031233,1528.3330080031233,954.4615989743955,2102.204417031851,0.0,high,exact
spmvp1|113045|2015-01-22|13|16795|permanent|k-113045-2015-summer-atl-tico-de-madrid-granada-cf|000,113045,Rubén Pérez,MID,La Liga,2016,2475.0,1680.0231914893616,1680.0231914893616,1117.9256753900054,2242.120707588718,0.0,high,exact
spmvp1|113707|2015-08-19|762|244|loan|k-113707-2015-summer-newcastle-united-olympique-marseille|000,113707,Rémy Cabella,MID,Ligue 1,2016,2556.0,1680.0231914893616,1680.0231914893616,1116.531127997298,2243.515254981425,0.0,high,high
spmvp1|118022|2016-01-06|338|33|loan|k-118022-2015-winter-dynamo-kyiv-fc-schalke-04|000,118022,Younès Belhanda,MID,Bundesliga,2016,814.0,1680.0231914893616,1680.0231914893616,1125.996177982608,2234.050204996115,0.0,high,exact
spmvp1|118847|2015-07-01|15|167|permanent|k-118847-2015-summer-bayer-04-leverkusen-fc-augsburg|000,118847,Dominik Kohr,MID,Bundesliga,2016,2479.0,1367.8882430357535,1367.8882430357535,474.3022372048497,2261.474248866657,0.0,low,exact
spmvp1|119211|2015-07-01|27|44|free|k-119211-2015-summer-bayern-munich-hertha-bsc|000,119211,Mitchell Weiser,DEF,Bundesliga,2016,2427.0,1447.4788015463917,1447.4788015463917,435.6304603141641,2459.3271427786194,0.0,low,exact
spmvp1|119228|2015-07-01|410|1038|permanent|k-119228-2015-summer-udinese-calcio-uc-sampdoria|000,119228,Luis Muriel,FWD,Serie A,2016,1692.0,1473.3092282784673,1473.3092282784673,880.1415264151133,2066.4769301418214,0.0,high,high
spmvp1|122155|2015-07-30|18075|472|loan|k-122155-2015-summer-club-deportivo-maldonado-ud-las-palmas|000,122155,Willian José,FWD,La Liga,2016,1733.0,1473.3092282784673,1473.3092282784673,388.26047421562885,2558.3579823413056,0.0,low,exact
spmvp1|122797|2015-07-02|1071|1162|permanent|k-122797-2015-summer-wigan-athletic-sm-caen|000,122797,Andy Delort,FWD,Ligue 1,2016,3137.0,1473.3092282784673,1473.3092282784673,586.212454084919,2360.4060024720156,0.0,low,high
spmvp1|124555|2015-08-27|46|16795|loan|k-124555-2015-summer-inter-milan-granada-cf|000,124555,Cristiano Biraghi,DEF,La Liga,2016,2819.0,1607.9235665137614,1607.9235665137614,888.2327609808078,2327.6143720467153,0.0,medium,exact
spmvp1|124560|2015-08-04|46|8970|loan|k-124560-2015-summer-inter-milan-frosinone-calcio|000,124560,Samuele Longo,FWD,Serie A,2016,332.0,1473.3092282784673,1473.3092282784673,711.0459936985742,2235.5724628583603,0.0,medium,exact
spmvp1|125783|2015-08-31|273|416|loan|k-125783-2015-summer-stade-rennais-torino-fc|000,125783,Sanjin Prcic,MID,Serie A,2016,29.0,1367.8882430357535,1367.8882430357535,668.4054207232303,2067.3710653482767,0.0,high,exact
spmvp1|126516|2015-07-09|405|1533|free|k-126516-2015-summer-aston-villa-sd-eibar|000,126516,Antonio Luna,DEF,La Liga,2016,1003.0,1607.9235665137614,1607.9235665137614,1012.7022651559762,2203.144867871547,0.0,high,high
spmvp1|126625|2015-07-01|1075|1084|loan|k-126625-2015-summer-sc-braga-m-laga-cf|000,126625,Juankar,DEF,La Liga,2016,1248.0,1759.61375,1759.61375,1146.9494478927604,2372.2780521072395,0.0,high,exact
spmvp1|126664|2015-08-26|583|12|loan|k-126664-2015-summer-paris-saint-germain-as-roma|000,126664,Lucas Digne,DEF,Serie A,2016,2857.0,1607.9235665137614,1607.9235665137614,1021.4266900120796,2194.420443015443,0.0,high,exact
spmvp1|126665|2015-07-10|1082|405|permanent|k-126665-2015-summer-losc-lille-aston-villa|000,126665,Idrissa Gueye,MID,Premier League,2016,3071.0,1680.0231914893616,1680.0231914893616,1112.0045493429957,2248.0418336357275,0.0,high,exact
spmvp1|126687|2015-08-18|417|618|loan|k-126687-2015-summer-ogc-nice-saint-tienne|000,126687,Valentin Eysseric,MID,Ligue 1,2016,1727.0,1528.3330080031233,1528.3330080031233,917.4955695794779,2139.1704464267686,0.0,high,exact
spmvp1|126710|2015-08-27|162|583|permanent|k-126710-2015-summer-monaco-paris-saint-germain|000,126710,Layvin Kurzawa,DEF,Ligue 1,2016,1289.0,1607.9235665137614,1607.9235665137614,960.7846019361048,2255.0625310914184,0.0,high,alias
spmvp1|126737|2015-07-01|1084|180|permanent|k-126737-2015-summer-m-laga-cf-southampton-fc|000,126737,Juanmi,FWD,Premier League,2016,173.0,1473.3092282784673,1473.3092282784673,784.2997778059437,2162.3186787509912,0.0,high,exact
spmvp1|127032|2015-07-01|415|583|permanent|k-127032-2015-summer-toulouse-paris-saint-germain|000,127032,Serge Aurier,DEF,Ligue 1,2016,1886.0,1607.9235665137614,1607.9235665137614,1052.1499660179961,2163.6971670095268,0.0,high,alias
spmvp1|127048|2015-08-19|20|1050|permanent|k-127048-2015-summer-bursaspor-villarreal-cf|000,127048,Cédric Bakambu,FWD,La Liga,2016,1859.0,1473.3092282784673,1473.3092282784673,886.6318607022233,2059.9865958547116,0.0,high,exact
spmvp1|127076|2015-06-30|750|969|end-of-loan|k-127076-2015-summer-fc-sochaux-montb-liard-montpellier-hsc|000,127076,Jérôme Roussillon,DEF,Ligue 1,2016,2656.0,1607.9235665137614,1607.9235665137614,948.9129658070476,2266.9341672204755,0.0,high,high
spmvp1|127160|2015-07-21|148|583|permanent|k-127160-2015-summer-tottenham-hotspur-paris-saint-germain|000,127160,Benjamin Stambouli,MID,Ligue 1,2016,1500.0,1528.3330080031233,1528.3330080031233,966.4135033591604,2090.2525126470864,0.0,high,alias
spmvp1|127187|2016-02-02|1010|16795|loan|k-127187-2015-winter-watford-granada-cf|000,127187,Abdoulaye Doucouré,MID,La Liga,2016,1157.0,1528.3330080031233,1528.3330080031233,802.4860820307267,2254.17993397552,0.0,medium,exact
spmvp1|127189|2015-07-01|162|46|permanent|k-127189-2015-summer-monaco-inter-milan|000,127189,Geoffrey Kondogbia,MID,Serie A,2016,1988.0,1528.3330080031233,1528.3330080031233,910.480541831146,2146.1854741751004,0.0,high,high
spmvp1|128220|2015-07-06|31|897|loan|k-128220-2015-summer-liverpool-fc-deportivo-de-la-coru-a|000,128220,Luis Alberto,MID,La Liga,2016,2098.0,1528.3330080031233,1528.3330080031233,562.0117644798072,2494.654251526439,0.0,low,exact
spmvp1|129476|2015-07-01|131|29|permanent|k-129476-2015-summer-fc-barcelona-everton-fc|000,129476,Gerard Deulofeu,FWD,Premier League,2016,1383.0,1312.8644633110976,1312.8644633110976,521.9161874490286,2103.8127391731664,0.0,medium,exact
spmvp1|130360|2015-08-16|5|1533|loan|k-130360-2015-summer-ac-milan-sd-eibar|000,130360,Simone Verdi,MID,La Liga,2016,293.0,1528.3330080031233,1528.3330080031233,462.8879818251128,2593.778034181134,0.0,low,high
spmvp1|130360|2016-02-01|5|4102|loan|k-130360-2015-winter-ac-milan-carpi-fc-1909|000,130360,Simone Verdi,MID,Serie A,2016,273.0,1528.3330080031233,1528.3330080031233,462.8879818251128,2593.778034181134,0.0,low,exact
spmvp1|130756|2016-02-01|720|512|permanent|k-130756-2015-winter-fc-porto-stoke-city|000,130756,Giannelli Imbula,MID,Premier League,2016,1260.0,1528.3330080031233,1528.3330080031233,783.2127174901864,2273.4532985160604,0.0,medium,exact
spmvp1|134425|2015-07-14|31|281|permanent|k-134425-2015-summer-liverpool-manchester-city|000,134425,Raheem Sterling,FWD,Premier League,2016,1920.0,1312.8644633110976,1312.8644633110976,702.5703456640388,1923.1585809581563,0.0,high,exact
spmvp1|134883|2015-07-10|800|416|permanent|k-134883-2015-summer-atalanta-bc-torino-fc|000,134883,Daniele Baselli,MID,Serie A,2016,2264.0,1528.3330080031233,1528.3330080031233,793.9580080031233,2262.7080080031233,0.0,medium,exact
spmvp1|135490|2016-07-01|1041|1158|loan|k-135490-2015-winter-olympique-lyon-fc-lorient|000,135490,Lindsay Rose,DEF,Ligue 1,2016,900.0,1607.9235665137614,1607.9235665137614,914.9285700877429,2300.91856293978,0.0,high,exact
spmvp1|135492|2015-08-31|583|995|loan|k-135492-2015-summer-paris-saint-germain-fc-nantes|000,135492,Youssouf Sabaly,DEF,Ligue 1,2016,2500.0,1607.9235665137614,1607.9235665137614,973.1594037985132,2242.6877292290096,0.0,high,exact
spmvp1|136610|2016-01-21|631|86|loan|k-136610-2015-winter-chelsea-sv-werder-bremen|000,136610,Papy Djilobodji,DEF,Bundesliga,2016,1260.0,1759.61375,1759.61375,1097.2565641912206,2421.9709358087794,0.0,high,exact
