season,league,role,cohort_size,viable_for_percentile
2010,Bundesliga,Attack,77,True
2010,Bundesliga,Defender,109,True
2010,Bundesliga,Goalkeeper,28,True
2010,Bundesliga,Midfield,97,True
2010,Bundesliga,unknown,178,True
2010,La Liga,Attack,93,True
2010,La Liga,Defender,112,True
2010,La Liga,Goalkeeper,26,True
2010,La Liga,Midfield,90,True
2010,La Liga,Missing,2,False
2010,La Liga,unknown,222,True
2010,Ligue 1,Attack,88,True
2010,Ligue 1,Defender,110,True
2010,Ligue 1,Goalkeeper,29,True
2010,Ligue 1,Midfield,109,True
2010,Ligue 1,Missing,1,False
2010,Ligue 1,unknown,192,True
2010,Premier League,Attack,92,True
2010,Premier League,Defender,138,True
2010,Premier League,Goalkeeper,29,True
2010,Premier League,Midfield,100,True
2010,Premier League,unknown,207,True
2010,Serie A,Attack,97,True
2010,Serie A,Defender,134,True
2010,Serie A,Goalkeeper,42,True
2010,Serie A,Midfield,109,True
2010,Serie A,unknown,194,True
2011,Bundesliga,Attack,97,True
2011,Bundesliga,Defender,113,True
2011,Bundesliga,Goalkeeper,27,True
2011,Bundesliga,Midfield,99,True
2011,Bundesliga,unknown,141,True
2011,La Liga,Attack,105,True
2011,La Liga,Defender,126,True
2011,La Liga,Goalkeeper,35,True
2011,La Liga,Midfield,121,True
2011,La Liga,unknown,169,True
2011,Ligue 1,Attack,116,True
2011,Ligue 1,Defender,129,True
2011,Ligue 1,Goalkeeper,26,True
2011,Ligue 1,Midfield,118,True
2011,Ligue 1,Missing,1,False
2011,Ligue 1,unknown,153,True
2011,Premier League,Attack,114,True
2011,Premier League,Defender,145,True
2011,Premier League,Goalkeeper,28,True
2011,Premier League,Midfield,125,True
2011,Premier League,unknown,151,True
2011,Serie A,Attack,114,True
2011,Serie A,Defender,149,True
2011,Serie A,Goalkeeper,36,True
2011,Serie A,Midfield,131,True
2011,Serie A,unknown,141,True
2012,Bundesliga,Attack,122,True
2012,Bundesliga,Defender,140,True
2012,Bundesliga,Goalkeeper,30,True
2012,Bundesliga,Midfield,119,True
2012,Bundesliga,unknown,78,True
2012,La Liga,Attack,123,True
2012,La Liga,Defender,145,True
2012,La Liga,Goalkeeper,37,True
2012,La Liga,Midfield,132,True
2012,La Liga,unknown,114,True
2012,Ligue 1,Attack,120,True
2012,Ligue 1,Defender,155,True
2012,Ligue 1,Goalkeeper,29,True
2012,Ligue 1,Midfield,144,True
2012,Ligue 1,unknown,101,True
2012,Premier League,Attack,128,True
2012,Premier League,Defender,156,True
2012,Premier League,Goalkeeper,36,True
2012,Premier League,Midfield,140,True
2012,Premier League,unknown,100,True
2012,Serie A,Attack,117,True
2012,Serie A,Defender,159,True
2012,Serie A,Goalkeeper,44,True
2012,Serie A,Midfield,159,True
2012,Serie A,unknown,108,True
2013,Bundesliga,Attack,126,True
2013,Bundesliga,Defender,149,True
2013,Bundesliga,Goalkeeper,33,True
2013,Bundesliga,Midfield,136,True
2013,Bundesliga,unknown,35,True
2013,La Liga,Attack,134,True
2013,La Liga,Defender,169,True
2013,La Liga,Goalkeeper,44,True
2013,La Liga,Midfield,146,True
2013,La Liga,unknown,59,True
2013,Ligue 1,Attack,140,True
2013,Ligue 1,Defender,172,True
2013,Ligue 1,Goalkeeper,37,True
2013,Ligue 1,Midfield,166,True
2013,Ligue 1,Missing,1,False
2013,Ligue 1,unknown,46,True
2013,Premier League,Attack,133,True
2013,Premier League,Defender,169,True
2013,Premier League,Goalkeeper,41,True
2013,Premier League,Midfield,169,True
2013,Premier League,unknown,25,True
2013,Serie A,Attack,151,True
2013,Serie A,Defender,201,True
2013,Serie A,Goalkeeper,49,True
2013,Serie A,Midfield,191,True
2013,Serie A,Missing,1,False
2013,Serie A,unknown,34,True
2014,Bundesliga,Attack,113,True
2014,Bundesliga,Defender,151,True
2014,Bundesliga,Goalkeeper,34,True
2014,Bundesliga,Midfield,143,True
2014,Bundesliga,unknown,35,True
2014,La Liga,Attack,144,True
2014,La Liga,Defender,168,True
2014,La Liga,Goalkeeper,37,True
2014,La Liga,Midfield,142,True
2014,La Liga,Missing,1,False
2014,La Liga,unknown,51,True
2014,Ligue 1,Attack,148,True
2014,Ligue 1,Defender,164,True
2014,Ligue 1,Goalkeeper,41,True
2014,Ligue 1,Midfield,168,True
2014,Ligue 1,unknown,39,True
2014,Premier League,Attack,160,True
2014,Premier League,Defender,168,True
2014,Premier League,Goalkeeper,39,True
2014,Premier League,Midfield,168,True
2014,Premier League,unknown,26,True
2014,Serie A,Attack,140,True
