season,league,role,minutes_band,player_seasons
2010,Bundesliga,Attack,1800+,22
2010,Bundesliga,Attack,450-899,13
2010,Bundesliga,Attack,900-1799,25
2010,Bundesliga,Attack,<450,17
2010,Bundesliga,Defender,1800+,53
2010,Bundesliga,Defender,450-899,8
2010,Bundesliga,Defender,900-1799,30
2010,Bundesliga,Defender,<450,18
2010,Bundesliga,Goalkeeper,1800+,11
2010,Bundesliga,Goalkeeper,450-899,2
2010,Bundesliga,Goalkeeper,<450,15
2010,Bundesliga,Midfield,1800+,36
2010,Bundesliga,Midfield,450-899,11
2010,Bundesliga,Midfield,900-1799,22
2010,Bundesliga,Midfield,<450,28
2010,Bundesliga,unknown,1800+,36
2010,Bundesliga,unknown,450-899,32
2010,Bundesliga,unknown,900-1799,33
2010,Bundesliga,unknown,<450,77
2010,La Liga,Attack,1800+,35
2010,La Liga,Attack,450-899,11
2010,La Liga,Attack,900-1799,26
2010,La Liga,Attack,<450,21
2010,La Liga,Defender,1800+,50
2010,La Liga,Defender,450-899,9
2010,La Liga,Defender,900-1799,32
2010,La Liga,Defender,<450,21
2010,La Liga,Goalkeeper,1800+,12
2010,La Liga,Goalkeeper,450-899,3
2010,La Liga,Goalkeeper,900-1799,6
2010,La Liga,Goalkeeper,<450,5
2010,La Liga,Midfield,1800+,41
2010,La Liga,Midfield,450-899,8
2010,La Liga,Midfield,900-1799,23
2010,La Liga,Midfield,<450,18
2010,La Liga,Missing,450-899,1
2010,La Liga,Missing,<450,1
2010,La Liga,unknown,1800+,53
2010,La Liga,unknown,450-899,42
2010,La Liga,unknown,900-1799,63
2010,La Liga,unknown,<450,64
2010,Ligue 1,Attack,1800+,32
2010,Ligue 1,Attack,450-899,11
2010,Ligue 1,Attack,900-1799,23
2010,Ligue 1,Attack,<450,22
2010,Ligue 1,Defender,1800+,58
2010,Ligue 1,Defender,450-899,14
2010,Ligue 1,Defender,900-1799,21
2010,Ligue 1,Defender,<450,17
2010,Ligue 1,Goalkeeper,1800+,13
2010,Ligue 1,Goalkeeper,450-899,3
2010,Ligue 1,Goalkeeper,900-1799,5
2010,Ligue 1,Goalkeeper,<450,8
2010,Ligue 1,Midfield,1800+,50
2010,Ligue 1,Midfield,450-899,15
2010,Ligue 1,Midfield,900-1799,22
2010,Ligue 1,Midfield,<450,22
2010,Ligue 1,Missing,1800+,1
2010,Ligue 1,unknown,1800+,48
2010,Ligue 1,unknown,450-899,28
2010,Ligue 1,unknown,900-1799,54
2010,Ligue 1,unknown,<450,62
2010,Premier League,Attack,1800+,32
2010,Premier League,Attack,450-899,9
2010,Premier League,Attack,900-1799,24
2010,Premier League,Attack,<450,27
2010,Premier League,Defender,1800+,57
2010,Premier League,Defender,450-899,14
2010,Premier League,Defender,900-1799,31
2010,Premier League,Defender,<450,36
2010,Premier League,Goalkeeper,1800+,13
2010,Premier League,Goalkeeper,450-899,4
2010,Premier League,Goalkeeper,900-1799,2
2010,Premier League,Goalkeeper,<450,10
2010,Premier League,Midfield,1800+,39
2010,Premier League,Midfield,450-899,11
2010,Premier League,Midfield,900-1799,24
2010,Premier League,Midfield,<450,26
2010,Premier League,unknown,1800+,59
2010,Premier League,unknown,450-899,37
2010,Premier League,unknown,900-1799,50
2010,Premier League,unknown,<450,61
2010,Serie A,Attack,1800+,29
2010,Serie A,Attack,450-899,14
2010,Serie A,Attack,900-1799,25
2010,Serie A,Attack,<450,29
2010,Serie A,Defender,1800+,63
2010,Serie A,Defender,450-899,12
2010,Serie A,Defender,900-1799,39
2010,Serie A,Defender,<450,20
2010,Serie A,Goalkeeper,1800+,17
2010,Serie A,Goalkeeper,450-899,4
2010,Serie A,Goalkeeper,900-1799,3
2010,Serie A,Goalkeeper,<450,18
2010,Serie A,Midfield,1800+,49
2010,Serie A,Midfield,450-899,8
2010,Serie A,Midfield,900-1799,24
2010,Serie A,Midfield,<450,28
2010,Serie A,unknown,1800+,33
2010,Serie A,unknown,450-899,44
2010,Serie A,unknown,900-1799,47
2010,Serie A,unknown,<450,70
2011,Bundesliga,Attack,1800+,22
2011,Bundesliga,Attack,450-899,15
2011,Bundesliga,Attack,900-1799,33
2011,Bundesliga,Attack,<450,27
2011,Bundesliga,Defender,1800+,48
2011,Bundesliga,Defender,450-899,10
2011,Bundesliga,Defender,900-1799,32
2011,Bundesliga,Defender,<450,23
2011,Bundesliga,Goalkeeper,1800+,11
2011,Bundesliga,Goalkeeper,450-899,4
2011,Bundesliga,Goalkeeper,900-1799,8
2011,Bundesliga,Goalkeeper,<450,4
2011,Bundesliga,Midfield,1800+,41
2011,Bundesliga,Midfield,450-899,9
2011,Bundesliga,Midfield,900-1799,28
2011,Bundesliga,Midfield,<450,21
2011,Bundesliga,unknown,1800+,28
2011,Bundesliga,unknown,450-899,30
2011,Bundesliga,unknown,900-1799,22
2011,Bundesliga,unknown,<450,61
2011,La Liga,Attack,1800+,41
2011,La Liga,Attack,450-899,15
2011,La Liga,Attack,900-1799,26
2011,La Liga,Attack,<450,23
2011,La Liga,Defender,1800+,61
2011,La Liga,Defender,450-899,11
2011,La Liga,Defender,900-1799,31
2011,La Liga,Defender,<450,23
2011,La Liga,Goalkeeper,1800+,15
2011,La Liga,Goalkeeper,450-899,4
2011,La Liga,Goalkeeper,900-1799,8
2011,La Liga,Goalkeeper,<450,8
2011,La Liga,Midfield,1800+,38
2011,La Liga,Midfield,450-899,17
2011,La Liga,Midfield,900-1799,32
2011,La Liga,Midfield,<450,34
2011,La Liga,unknown,1800+,43
2011,La Liga,unknown,450-899,28
2011,La Liga,unknown,900-1799,40
2011,La Liga,unknown,<450,58
2011,Ligue 1,Attack,1800+,37
2011,Ligue 1,Attack,450-899,19
2011,Ligue 1,Attack,900-1799,22
2011,Ligue 1,Attack,<450,38
2011,Ligue 1,Defender,1800+,69
2011,Ligue 1,Defender,450-899,16
