tm_club_name,fbref_squad,confidence,comp,to_league,to_club_name
AFC Bournemouth,Bournemouth,exact,Premier League,Premier League,AFC Bournemouth
Arsenal,Arsenal,exact,Premier League,Premier League,Arsenal
Arsenal FC,Arsenal,exact,Premier League,Premier League,Arsenal FC
Aston Villa,Aston Villa,exact,Premier League,Premier League,Aston Villa
Barnsley FC,Burnley,low,Premier League,Premier League,Barnsley FC
Birmingham City,Birmingham City,exact,Premier League,Premier League,Birmingham City
Blackburn Rovers,Blackburn,high,Premier League,Premier League,Blackburn Rovers
Blackpool FC,Blackpool,exact,Premier League,Premier League,Blackpool FC
Bolton Wanderers,Bolton,high,Premier League,Premier League,Bolton Wanderers
Bournemouth,Bournemouth,exact,Premier League,Premier League,Bournemouth
Bradford City,,unmatched,Premier League,Premier League,Bradford City
Brentford,Brentford,exact,Premier League,Premier League,Brentford
Brentford FC,Brentford,exact,Premier League,Premier League,Brentford FC
Brighton,Brighton,exact,Premier League,Premier League,Brighton
Brighton & Hove Albion,Brighton,high,Premier League,Premier League,Brighton & Hove Albion
Burnley,Burnley,exact,Premier League,Premier League,Burnley
Burnley FC,Burnley,exact,Premier League,Premier League,Burnley FC
Cardiff,Cardiff City,low,Premier League,Premier League,Cardiff
Cardiff City,Cardiff City,exact,Premier League,Premier League,Cardiff City
Charlton Athletic,,unmatched,Premier League,Premier League,Charlton Athletic
Chelsea,Chelsea,exact,Premier League,Premier League,Chelsea
Chelsea FC,Chelsea,exact,Premier League,Premier League,Chelsea FC
Coventry City,,unmatched,Premier League,Premier League,Coventry City
Crystal Palace,Crystal Palace,exact,Premier League,Premier League,Crystal Palace
Derby County,,unmatched,Premier League,Premier League,Derby County
Everton,Everton,exact,Premier League,Premier League,Everton
Everton FC,Everton,exact,Premier League,Premier League,Everton FC
Fulham,Fulham,exact,Premier League,Premier League,Fulham
Fulham FC,Fulham,exact,Premier League,Premier League,Fulham FC
Huddersfield,Huddersfield,exact,Premier League,Premier League,Huddersfield
Huddersfield Town,Huddersfield,high,Premier League,Premier League,Huddersfield Town
Hull City,Hull City,exact,Premier League,Premier League,Hull City
Ipswich,Ipswich Town,low,Premier League,Premier League,Ipswich
Ipswich Town,Ipswich Town,exact,Premier League,Premier League,Ipswich Town
Leeds,,unmatched,Premier League,Premier League,Leeds
Leeds United,Leeds United,exact,Premier League,Premier League,Leeds United
Leicester,Leicester City,low,Premier League,Premier League,Leicester
Leicester City,Leicester City,exact,Premier League,Premier League,Leicester City
Liverpool,Liverpool,exact,Premier League,Premier League,Liverpool
Liverpool FC,Liverpool,exact,Premier League,Premier League,Liverpool FC
Luton,Bolton,low,Premier League,Premier League,Luton
Man City,,unmatched,Premier League,Premier League,Man City
Man Utd,Manchester Utd,low,Premier League,Premier League,Man Utd
Manchester City,Manchester City,exact,Premier League,Premier League,Manchester City
Manchester United,Manchester Utd,exact,Premier League,Premier League,Manchester United
Middlesbrough,Middlesbrough,exact,Premier League,Premier League,Middlesbrough
Middlesbrough FC,Middlesbrough,exact,Premier League,Premier League,Middlesbrough FC
Newcastle,Newcastle Utd,low,Premier League,Premier League,Newcastle
Newcastle United,Newcastle Utd,exact,Premier League,Premier League,Newcastle United
Norwich,Norwich City,low,Premier League,Premier League,Norwich
Norwich City,Norwich City,exact,Premier League,Premier League,Norwich City
Nott'm Forest,Nott'ham Forest,high,Premier League,Premier League,Nott'm Forest
Nottingham Forest,Nott'ham Forest,low,Premier League,Premier League,Nottingham Forest
Nottm Forest,Nott'ham Forest,low,Premier League,Premier League,Nottm Forest
Oldham Athletic,,unmatched,Premier League,Premier League,Oldham Athletic
Portsmouth,Portsmouth,exact,Premier League,Premier League,Portsmouth
Portsmouth FC,Portsmouth,exact,Premier League,Premier League,Portsmouth FC
QPR,QPR,exact,Premier League,Premier League,QPR
Queens Park Rangers,,unmatched,Premier League,Premier League,Queens Park Rangers
Reading,Reading,exact,Premier League,Premier League,Reading
Reading FC,Reading,exact,Premier League,Premier League,Reading FC
Sheff Utd,Sheffield Utd,low,Premier League,Premier League,Sheff Utd
Sheffield United,Sheffield Utd,exact,Premier League,Premier League,Sheffield United
Sheffield Wednesday,,unmatched,Premier League,Premier League,Sheffield Wednesday
Southampton,Southampton,exact,Premier League,Premier League,Southampton
Southampton FC,Southampton,exact,Premier League,Premier League,Southampton FC
Stoke City,Stoke City,exact,Premier League,Premier League,Stoke City
Sunderland,Sunderland,exact,Premier League,Premier League,Sunderland
Sunderland AFC,Sunderland,exact,Premier League,Premier League,Sunderland AFC
Swansea,Swansea City,low,Premier League,Premier League,Swansea
Swansea City,Swansea City,exact,Premier League,Premier League,Swansea City
Swindon Town,,unmatched,Premier League,Premier League,Swindon Town
Tottenham,Tottenham,exact,Premier League,Premier League,Tottenham
